"query","search interest","increase percent"
"dow jones",9,"1,350%"
"dow jones today",3,"1,100%"
"peru vs australia",4,"950%"
"dow",12,"950%"
"ariana debose",1,"550%"
"blooket",2,"550%"
"stock market",5,"500%"
"kahoot",2,"400%"
"spy stock",1,"400%"
"google classroom",3,"350%"
"yahoo finance",3,"350%"
"btc",3,"250%"
"amazon stock",2,"250%"
"cnbc",2,"200%"
"bitcoin",12,"200%"
"btc price",1,"180%"
"bitcoin price",7,"180%"
"tony awards 2022",3,"180%"
"ups tracking",3,"180%"
"outlook",8,"170%"
"cool math games",2,"160%"
"fedex tracking",3,"160%"
"linkedin",7,"150%"
"dmv",7,"140%"
"full moon june 2022",2,"130%"
"irs",5,"120%"
"prodigy",1,"110%"
"social security",5,"110%"
"google sheets",2,"110%"
"ezra miller",2,"110%"
"ethereum price",2,"110%"
"juneteenth",7,"100%"
"google calendar",1,"90%"
"usps",10,"90%"
"canva",2,"80%"
"google docs",4,"80%"
"google drive",3,"80%"
"usps tracking",4,"80%"
"bank of america",6,"80%"
"msn",5,"70%"
"google maps",9,"60%"
"geico",2,"60%"
"ups",11,"60%"
"gmail",22,"60%"
"wells fargo",6,"60%"
"indeed",8,"60%"
"maps",13,"50%"
"indeed jobs",2,"50%"
"local guide program",3,"40%"
"translate english to spanish",2,"40%"
