"query","search interest","increase percent"
"men’s march madness",42,"Breakout"
"dire wolf",2,"3,850%"
"dow jones today",4,"1,150%"
"blooket",6,"1,000%"
"kahoot",3,"900%"
"gimkit",2,"850%"
"dow jones",14,"850%"
"blooket join",1,"800%"
"djia",2,"750%"
"stock market today",4,"700%"
"google snake",1,"600%"
"ixl",1,"550%"
"s&p 500",5,"500%"
"dow",17,"500%"
"nasdaq",3,"450%"
"nvda stock",1,"450%"
"dow jones industrial average",1,"450%"
"snake game",1,"450%"
"how many seconds in a day",0,"450%"
"spy stock",1,"450%"
"tsla stock",1,"400%"
"voo",2,"400%"
"sp500",2,"400%"
"yahoo finance",2,"400%"
"clever",2,"400%"
"cool math games",2,"350%"
"s and p 500",1,"350%"
"nvidia stock",2,"350%"
"math playground",1,"350%"
"google classroom",2,"350%"
"stock market",13,"350%"
"desmos",1,"350%"
"tesla stock",4,"350%"
"qqq",1,"300%"
"google finance",1,"250%"
"tesla stock price",1,"250%"
"cnbc",1,"200%"
"schoology",1,"200%"
"fedex tracking",1,"190%"
"prodigy",1,"180%"
"white lotus finale",2,"170%"
"math solver",1,"160%"
"jay north",2,"150%"
"outlook",4,"150%"
"ups tracking",1,"150%"
"tpt",1,"130%"
"google docs",4,"130%"
"white lotus season 3",3,"130%"
"canva",4,"120%"
"fidelity",3,"120%"
