"query","search interest","increase percent"
"val kilmer",25,"Breakout"
"val kilmer death",3,"3,500%"
"val kilmer movies",1,"1,200%"
"laura loomer",1,"850%"
"val kilmer cause of death",1,"800%"
"nintendo switch 2",6,"750%"
"lark",2,"550%"
"tariffs",16,"450%"
"américa cruz azul",1,"450%"
"stock market today",5,"350%"
"dow futures",2,"300%"
"stock market",13,"300%"
"sp500",2,"250%"
"apple stock",2,"250%"
"s&p 500",5,"200%"
"nintendo",11,"200%"
"dow",18,"200%"
"dow jones",14,"180%"
"djia",2,"180%"
"spy stock",2,"170%"
"minecraft movie",10,"160%"
"dow jones today",4,"160%"
"voo",2,"160%"
"wisconsin supreme court race",4,"130%"
"tiktok ban",1,"110%"
"nvidia stock",2,"90%"
"warriors",6,"90%"
"qqq",1,"80%"
"math playground",2,"80%"
"gimkit",5,"80%"
"yahoo finance",3,"80%"
"cool math games",4,"80%"
"tesla stock price",2,"70%"
"abcya",1,"70%"
"tesla stock",7,"70%"
"blooket",11,"70%"
"gimkit join",1,"60%"
"blooket join",2,"60%"
"gold price today",2,"50%"
"kahoot",5,"50%"
"google classroom",3,"40%"
"tornado watch",4,"40%"
"bitcoin price",3,"40%"
"trump",26,"40%"
"kahoot join",1,"40%"
"fidelity",4,"40%"
"prodigy",2,"40%"
"google block breaker",1,"30%"
"copa del rey",2,"30%"
"quizizz",1,"30%"
