"query","search interest","increase percent"
"yellowstone flooding",3,"3,800%"
"jeff hardy",1,"950%"
"btc price",1,"250%"
"bitcoin price",8,"250%"
"full moon june 2022",2,"250%"
"btc",3,"250%"
"bitcoin",12,"200%"
"dow jones",10,"180%"
"dow jones today",3,"170%"
"juneteenth",9,"150%"
"dow",12,"150%"
"excessive heat warning",2,"150%"
"tony awards 2022",1,"140%"
"severe thunderstorm warning",2,"140%"
"ezra miller",2,"100%"
"kahoot",2,"90%"
"outlook",8,"80%"
"blooket",2,"80%"
"outlook email",2,"80%"
"tesla stock",2,"70%"
"office 365",2,"70%"
"ups tracking",4,"60%"
"google classroom",3,"60%"
"fidelity",3,"60%"
"google calendar",1,"60%"
"linkedin",7,"60%"
"amazon stock",2,"50%"
"cool math games",2,"50%"
"amber heard",4,"50%"
"fedex tracking",3,"50%"
"google drive",3,"50%"
"indeed",8,"40%"
"canva",2,"40%"
"google docs",5,"40%"
"local guide program",4,"30%"
"msn",5,"30%"
"bank of america",6,"30%"
"gmail",23,"30%"
"gmail login",4,"30%"
"american express",2,"30%"
"yahoo",25,"30%"
"maps",14,"30%"
"google maps",9,"30%"
"aol mail",3,"20%"
"usps tracking",5,"20%"
"google",85,"20%"
"yahoo mail",10,"20%"
"usps",10,"20%"
"calculator",19,"20%"
"wells fargo",7,"20%"
