"query","search interest","increase percent"
"gimkit",2,"1,300%"
"blooket",5,"1,250%"
"dow jones",5,"1,150%"
"adrian payne",1,"900%"
"google classroom",8,"850%"
"dow jones today",1,"850%"
"kahoot",4,"800%"
"snake game",3,"800%"
"quizizz",1,"750%"
"philippine election 2022",1,"650%"
"dow",6,"650%"
"unblocked games",2,"650%"
"djia",1,"550%"
"iready",1,"550%"
"kendrick lamar",2,"500%"
"clever",2,"500%"
"gimkit join",0,"500%"
"cool math games",3,"450%"
"prodigy",3,"450%"
"ncedcloud",1,"400%"
"math playground",1,"400%"
"google slides",3,"350%"
"s&p 500",1,"350%"
"desmos",1,"350%"
"yahoo finance",2,"300%"
"tesla stock",1,"300%"
"minesweeper",1,"200%"
"docs",8,"180%"
"chris paul",2,"180%"
"google docs",6,"170%"
"ups tracking",2,"170%"
"office 365",1,"170%"
"fedex tracking",2,"160%"
"outlook",5,"160%"
"epic",4,"160%"
"quizlet",6,"160%"
"fidelity",2,"140%"
"heat vs 76ers",1,"140%"
"google calendar",1,"140%"
"snake",7,"130%"
"google drive",3,"130%"
"sixers",2,"130%"
"linkedin",4,"120%"
"wordle unlimited",1,"120%"
"bitcoin price",3,"120%"
"irs",3,"100%"
"vicky white",1,"100%"
"gmail",16,"90%"
"indeed",5,"90%"
"zoom",3,"90%"
