"query","search interest","increase percent"
"dow jones today",2,"1,000%"
"dow jones",7,"900%"
"monday night football",5,"800%"
"nearpod",1,"750%"
"blooket",6,"650%"
"kahoot",5,"600%"
"google classroom",10,"450%"
"snake game",3,"450%"
"google snake",2,"400%"
"49ers vs broncos",2,"400%"
"clever",4,"400%"
"ixl",2,"400%"
"hurricane ian tracker",11,"350%"
"yahoo finance",2,"300%"
"cool math games",3,"300%"
"jimmy garoppolo",1,"300%"
"ncedcloud",1,"250%"
"prodigy",3,"250%"
"retro bowl",1,"250%"
"desmos",2,"250%"
"house of the dragon",7,"200%"
"google slides",3,"200%"
"fedex tracking",2,"200%"
"ups tracking",3,"170%"
"broncos",15,"160%"
"outlook",8,"160%"
"docs",12,"150%"
"ap classroom",1,"150%"
"denver broncos",4,"140%"
"office 365",2,"140%"
"google docs",10,"140%"
"google calendar",2,"130%"
"49ers",13,"120%"
"google sheets",2,"120%"
"hurricane ian path",3,"120%"
"ian path",6,"120%"
"ian hurricane",42,"120%"
"canva",3,"110%"
"linkedin",5,"110%"
"hurricane tracker",18,"100%"
"snake",8,"100%"
"google drive",4,"100%"
"hurricane ian",39,"100%"
"usps",9,"90%"
"ian",59,"90%"
"epic",4,"90%"
"social security",5,"90%"
"zoom",5,"80%"
"timer",4,"70%"
"usps tracking",4,"70%"
