Time,ups tracking
2023-12-22,100
2023-12-23,54
2023-12-24,37
2023-12-25,25
2023-12-26,60
2023-12-27,80
2023-12-28,84
2023-12-29,70
2023-12-30,43
2023-12-31,30
2024-01-01,28
2024-01-02,75
2024-01-03,86
2024-01-04,88
2024-01-05,74
2024-01-06,49
2024-01-07,36
2024-01-08,72
2024-01-09,81
2024-01-10,83
2024-01-11,77
2024-01-12,71
2024-01-13,42
2024-01-14,28
2024-01-15,42
2024-01-16,76
2024-01-17,88
2024-01-18,87
2024-01-19,82
2024-01-20,51
2024-01-21,34
2024-01-22,82
2024-01-23,89
2024-01-24,86
2024-01-25,77
2024-01-26,66
2024-01-27,42
2024-01-28,29
2024-01-29,61
2024-01-30,78
2024-01-31,78
2024-02-01,70
2024-02-02,58
2024-02-03,36
2024-02-04,26
2024-02-05,59
2024-02-06,71
2024-02-07,71
2024-02-08,68
2024-02-09,62
2024-02-10,36
2024-02-11,23
2024-02-12,55
2024-02-13,75
2024-02-14,70
2024-02-15,63
2024-02-16,58
2024-02-17,33
2024-02-18,21
2024-02-19,47
2024-02-20,63
2024-02-21,66
2024-02-22,61
2024-02-23,60
2024-02-24,35
2024-02-25,23
2024-02-26,56
2024-02-27,65
2024-02-28,64
2024-02-29,62
2024-03-01,55
2024-03-02,36
2024-03-03,25
2024-03-04,59
2024-03-05,64
2024-03-06,68
2024-03-07,64
2024-03-08,55
2024-03-09,40
2024-03-10,24
2024-03-11,57
2024-03-12,67
2024-03-13,64
2024-03-14,65
2024-03-15,53
2024-03-16,36
2024-03-17,24
2024-03-18,56
2024-03-19,68
2024-03-20,64
2024-03-21,59
2024-03-22,54
2024-03-23,35
2024-03-24,24
2024-03-25,56
2024-03-26,67
2024-03-27,65
2024-03-28,65
2024-03-29,51
2024-03-30,31
2024-03-31,20
2024-04-01,54
2024-04-02,54
2024-04-03,58
2024-04-04,55
2024-04-05,51
2024-04-06,32
2024-04-07,22
2024-04-08,47
2024-04-09,61
2024-04-10,61
2024-04-11,57
2024-04-12,51
2024-04-13,31
2024-04-14,22
2024-04-15,53
2024-04-16,61
2024-04-17,59
2024-04-18,58
2024-04-19,51
2024-04-20,33
2024-04-21,23
2024-04-22,51
2024-04-23,61
2024-04-24,59
2024-04-25,54
2024-04-26,48
2024-04-27,33
2024-04-28,21
2024-04-29,52
2024-04-30,60
2024-05-01,59
2024-05-02,59
2024-05-03,52
2024-05-04,31
2024-05-05,21
2024-05-06,56
2024-05-07,58
2024-05-08,60
2024-05-09,63
2024-05-10,55
2024-05-11,34
2024-05-12,21
2024-05-13,53
2024-05-14,56
2024-05-15,62
2024-05-16,56
2024-05-17,52
2024-05-18,30
2024-05-19,21
2024-05-20,53
2024-05-21,56
2024-05-22,63
2024-05-23,61
2024-05-24,53
2024-05-25,32
2024-05-26,18
2024-05-27,23
2024-05-28,59
2024-05-29,66
2024-05-30,67
2024-05-31,59
2024-06-01,33
2024-06-02,24
2024-06-03,57
2024-06-04,67
2024-06-05,66
2024-06-06,62
2024-06-07,56
2024-06-08,35
2024-06-09,23
2024-06-10,57
2024-06-11,63
2024-06-12,65
2024-06-13,61
2024-06-14,58
2024-06-15,32
2024-06-16,22
2024-06-17,55
2024-06-18,64
2024-06-19,57
2024-06-20,60
2024-06-21,58
2024-06-22,32
2024-06-23,22
2024-06-24,57
2024-06-25,64
2024-06-26,59
2024-06-27,55
2024-06-28,51
2024-06-29,32
2024-06-30,22
2024-07-01,55
2024-07-02,66
2024-07-03,55
2024-07-04,26
2024-07-05,48
2024-07-06,33
2024-07-07,22
2024-07-08,58
2024-07-09,68
2024-07-10,66
2024-07-11,61
2024-07-12,53
2024-07-13,31
2024-07-14,21
2024-07-15,53
2024-07-16,61
2024-07-17,64
2024-07-18,60
2024-07-19,54
2024-07-20,35
2024-07-21,21
2024-07-22,59
2024-07-23,71
2024-07-24,65
2024-07-25,65
2024-07-26,62
2024-07-27,32
2024-07-28,22
2024-07-29,54
2024-07-30,60
2024-07-31,61
2024-08-01,55
2024-08-02,56
2024-08-03,30
2024-08-04,21
2024-08-05,53
2024-08-06,61
2024-08-07,63
2024-08-08,63
2024-08-09,56
2024-08-10,32
2024-08-11,21
2024-08-12,53
2024-08-13,66
2024-08-14,64
2024-08-15,67
2024-08-16,57
2024-08-17,32
2024-08-18,23
2024-08-19,54
2024-08-20,66
2024-08-21,63
2024-08-22,59
2024-08-23,57
2024-08-24,32
2024-08-25,21
2024-08-26,52
2024-08-27,56
2024-08-28,59
2024-08-29,59
2024-08-30,57
2024-08-31,31
2024-09-01,21
2024-09-02,24
2024-09-03,61
2024-09-04,69
2024-09-05,63
2024-09-06,55
2024-09-07,36
2024-09-08,21
2024-09-09,58
2024-09-10,66
2024-09-11,63
2024-09-12,60
2024-09-13,54
2024-09-14,33
2024-09-15,21
2024-09-16,51
