Time,ups tracking
2025-12-11,83
2025-12-12,83
2025-12-13,54
2025-12-14,35
2025-12-15,78
2025-12-16,91
2025-12-17,98
2025-12-18,100
2025-12-19,92
2025-12-20,58
2025-12-21,46
2025-12-22,89
2025-12-23,99
2025-12-24,73
2025-12-25,28
2025-12-26,46
2025-12-27,44
2025-12-28,29
2025-12-29,67
2025-12-30,67
2025-12-31,55
2026-01-01,28
2026-01-02,58
2026-01-03,44
2026-01-04,31
2026-01-05,62
2026-01-06,72
2026-01-07,69
2026-01-08,62
2026-01-09,58
2026-01-10,36
2026-01-11,22
2026-01-12,60
2026-01-13,64
2026-01-14,56
2026-01-15,53
2026-01-16,51
2026-01-17,33
2026-01-18,20
2026-01-19,40
2026-01-20,59
2026-01-21,65
2026-01-22,61
2026-01-23,63
2026-01-24,33
2026-01-25,20
2026-01-26,47
2026-01-27,62
2026-01-28,66
2026-01-29,69
2026-01-30,65
2026-01-31,40
2026-02-01,25
2026-02-02,53
2026-02-03,66
2026-02-04,65
2026-02-05,61
2026-02-06,54
2026-02-07,33
2026-02-08,21
2026-02-09,47
2026-02-10,60
2026-02-11,62
2026-02-12,58
2026-02-13,54
2026-02-14,32
2026-02-15,20
2026-02-16,47
2026-02-17,54
2026-02-18,55
2026-02-19,53
2026-02-20,52
2026-02-21,31
2026-02-22,19
2026-02-23,46
2026-02-24,59
2026-02-25,58
2026-02-26,56
2026-02-27,55
2026-02-28,33
2026-03-01,20
2026-03-02,51
2026-03-03,62
2026-03-04,60
2026-03-05,60
2026-03-06,57
2026-03-07,34
2026-03-08,22
2026-03-09,55
2026-03-10,60
2026-03-11,62
2026-03-12,56
2026-03-13,57
2026-03-14,34
2026-03-15,21
2026-03-16,56
2026-03-17,64
2026-03-18,65
2026-03-19,61
2026-03-20,54
2026-03-21,33
2026-03-22,22
2026-03-23,53
2026-03-24,62
2026-03-25,62
2026-03-26,55
2026-03-27,57
2026-03-28,31
2026-03-29,21
2026-03-30,51
2026-03-31,62
2026-04-01,58
2026-04-02,57
2026-04-03,49
2026-04-04,30
2026-04-05,19
2026-04-06,51
2026-04-07,53
2026-04-08,55
2026-04-09,53
2026-04-10,50
2026-04-11,30
2026-04-12,20
2026-04-13,53
2026-04-14,56
2026-04-15,58
2026-04-16,54
2026-04-17,51
2026-04-18,30
2026-04-19,20
2026-04-20,52
2026-04-21,58
2026-04-22,57
2026-04-23,58
2026-04-24,52
2026-04-25,30
2026-04-26,20
2026-04-27,54
2026-04-28,59
2026-04-29,59
2026-04-30,57
2026-05-01,59
2026-05-02,28
2026-05-03,20
2026-05-04,54
2026-05-05,61
2026-05-06,57
2026-05-07,64
2026-05-08,54
2026-05-09,32
2026-05-10,19
2026-05-11,51
2026-05-12,59
2026-05-13,53
2026-05-14,55
2026-05-15,53
2026-05-16,31
2026-05-17,20
2026-05-18,52
2026-05-19,59
2026-05-20,60
2026-05-21,63
2026-05-22,57
2026-05-23,30
2026-05-24,19
2026-05-25,22
2026-05-26,57
2026-05-27,65
2026-05-28,65
2026-05-29,59
2026-05-30,34
2026-05-31,20
