Time,2020 election results
2023-12-22,12
2023-12-23,10
2023-12-24,12
2023-12-25,8
2023-12-26,9
2023-12-27,9
2023-12-28,11
2023-12-29,37
2023-12-30,10
2023-12-31,10
2024-01-01,10
2024-01-02,9
2024-01-03,7
2024-01-04,10
2024-01-05,12
2024-01-06,12
2024-01-07,9
2024-01-08,11
2024-01-09,9
2024-01-10,13
2024-01-11,13
2024-01-12,12
2024-01-13,12
2024-01-14,10
2024-01-15,10
2024-01-16,34
2024-01-17,22
2024-01-18,15
2024-01-19,15
2024-01-20,14
2024-01-21,15
2024-01-22,18
2024-01-23,21
2024-01-24,44
2024-01-25,18
2024-01-26,19
2024-01-27,13
2024-01-28,16
2024-01-29,13
2024-01-30,18
2024-01-31,16
2024-02-01,14
2024-02-02,15
2024-02-03,10
2024-02-04,14
2024-02-05,11
2024-02-06,12
2024-02-07,12
2024-02-08,16
2024-02-09,13
2024-02-10,12
2024-02-11,12
2024-02-12,16
2024-02-13,11
2024-02-14,17
2024-02-15,8
2024-02-16,11
2024-02-17,15
2024-02-18,12
2024-02-19,13
2024-02-20,14
2024-02-21,10
2024-02-22,9
2024-02-23,9
2024-02-24,14
2024-02-25,28
2024-02-26,12
2024-02-27,13
2024-02-28,34
2024-02-29,20
2024-03-01,13
2024-03-02,16
2024-03-03,16
2024-03-04,21
2024-03-05,24
2024-03-06,65
2024-03-07,30
2024-03-08,17
2024-03-09,13
2024-03-10,11
2024-03-11,13
2024-03-12,12
2024-03-13,17
2024-03-14,16
2024-03-15,12
2024-03-16,11
2024-03-17,14
2024-03-18,12
2024-03-19,13
2024-03-20,22
2024-03-21,14
2024-03-22,12
2024-03-23,13
2024-03-24,15
2024-03-25,9
2024-03-26,14
2024-03-27,14
2024-03-28,10
2024-03-29,9
2024-03-30,11
2024-03-31,9
2024-04-01,13
2024-04-02,14
2024-04-03,20
2024-04-04,12
2024-04-05,14
2024-04-06,8
2024-04-07,12
2024-04-08,11
2024-04-09,8
2024-04-10,14
2024-04-11,10
2024-04-12,12
2024-04-13,11
2024-04-14,11
2024-04-15,9
2024-04-16,12
2024-04-17,13
2024-04-18,11
2024-04-19,11
2024-04-20,9
2024-04-21,6
2024-04-22,9
2024-04-23,13
2024-04-24,17
2024-04-25,12
2024-04-26,10
2024-04-27,7
2024-04-28,10
2024-04-29,13
2024-04-30,9
2024-05-01,7
2024-05-02,9
2024-05-03,8
2024-05-04,8
2024-05-05,13
2024-05-06,10
2024-05-07,9
2024-05-08,17
2024-05-09,14
2024-05-10,9
2024-05-11,14
2024-05-12,14
2024-05-13,15
2024-05-14,12
2024-05-15,16
2024-05-16,13
2024-05-17,10
2024-05-18,14
2024-05-19,10
2024-05-20,11
2024-05-21,12
2024-05-22,15
2024-05-23,11
2024-05-24,12
2024-05-25,9
2024-05-26,14
2024-05-27,10
2024-05-28,10
2024-05-29,13
2024-05-30,17
2024-05-31,26
2024-06-01,18
2024-06-02,15
2024-06-03,18
2024-06-04,23
2024-06-05,18
2024-06-06,15
2024-06-07,12
2024-06-08,9
2024-06-09,17
2024-06-10,17
2024-06-11,12
2024-06-12,15
2024-06-13,10
2024-06-14,13
2024-06-15,11
2024-06-16,11
2024-06-17,14
2024-06-18,15
2024-06-19,17
2024-06-20,17
2024-06-21,12
2024-06-22,15
2024-06-23,11
2024-06-24,13
2024-06-25,15
2024-06-26,17
2024-06-27,15
2024-06-28,38
2024-06-29,16
2024-06-30,19
2024-07-01,17
2024-07-02,20
2024-07-03,20
2024-07-04,17
2024-07-05,21
2024-07-06,22
2024-07-07,18
2024-07-08,17
2024-07-09,12
2024-07-10,16
2024-07-11,14
2024-07-12,23
2024-07-13,19
2024-07-14,37
2024-07-15,47
2024-07-16,34
2024-07-17,28
2024-07-18,32
2024-07-19,34
2024-07-20,24
2024-07-21,48
2024-07-22,54
2024-07-23,50
2024-07-24,46
2024-07-25,41
2024-07-26,43
2024-07-27,44
2024-07-28,39
2024-07-29,30
2024-07-30,32
2024-07-31,31
2024-08-01,25
2024-08-02,28
2024-08-03,21
2024-08-04,28
2024-08-05,21
2024-08-06,43
2024-08-07,54
2024-08-08,47
2024-08-09,38
2024-08-10,34
2024-08-11,27
2024-08-12,34
2024-08-13,32
2024-08-14,37
2024-08-15,30
2024-08-16,23
2024-08-17,29
2024-08-18,31
2024-08-19,32
2024-08-20,36
2024-08-21,35
2024-08-22,31
2024-08-23,44
2024-08-24,35
2024-08-25,34
2024-08-26,28
2024-08-27,31
2024-08-28,28
2024-08-29,27
2024-08-30,27
2024-08-31,27
2024-09-01,25
2024-09-02,24
2024-09-03,24
2024-09-04,33
2024-09-05,30
2024-09-06,24
2024-09-07,24
2024-09-08,24
2024-09-09,25
2024-09-10,26
2024-09-11,100
2024-09-12,43
2024-09-13,43
2024-09-14,37
2024-09-15,35
2024-09-16,31
