term,observations,zero_share,flat_share,level_stationary,diff_stationary,log_diff_stationary
accrue,1612,0.0031,0.0279,False,True,True
advantage,1612,0.0,0.0651,False,True,True
affluence,1612,0.4119,0.2835,False,True,True
affluent,1612,0.0,0.044,False,True,True
afloat,1612,0.1253,0.0471,True,True,True
allowance,1612,0.0,0.0589,False,True,True
aristocracy,1612,0.0124,0.0459,True,True,True
aristocrat,1612,0.0,0.0354,False,True,True
aristocratic,1612,0.2078,0.1303,False,True,True
associate,1612,0.0,0.0366,False,True,True
backer,1612,0.0,0.0434,False,True,True
backward,1612,0.0,0.0695,False,True,True
backwardness,1612,0.9981,0.9963,False,False,False
bankrupt,1612,0.0,0.0478,False,True,True
bankruptcy,1612,0.0,0.0465,False,True,True
bargain,1612,0.0,0.0434,False,True,True
beggar,1612,0.0025,0.0341,False,True,True
benefactor,1612,0.0006,0.0279,False,True,True
beneficiary,1612,0.0,0.0323,False,True,True
benefit,1612,0.0,0.0614,False,True,True
benevolence,1612,0.0112,0.031,True,True,True
benevolent,1612,0.0,0.0378,True,True,True
bequeath,1612,0.4566,0.2779,False,True,True
betroth,1612,0.9963,0.9926,True,False,False
betrothal,1612,0.8672,0.7636,False,True,True
blackmail,1612,0.0,0.0533,False,True,True
bonus,1612,0.0,0.0962,False,True,True
boom,1612,0.0,0.116,False,True,True
breadwinner,1612,0.0924,0.0868,False,False,True
bribe,1612,0.0,0.0447,False,True,True
broke,1612,0.0,0.0825,False,True,True
bum,1612,0.0,0.0707,True,True,True
buy,1612,0.0,0.1073,False,True,True
capitalize,1612,0.0,0.0422,False,True,True
charitable,1612,0.0,0.0416,False,True,True
charity,1612,0.0,0.1278,False,True,True
cheap,1612,0.0,0.072,False,True,True
colony,1612,0.0,0.1166,True,True,True
commoner,1612,0.0416,0.0391,False,True,True
community,1612,0.0,0.0651,False,True,True
compensate,1612,0.0006,0.0329,False,True,True
compensation,1612,0.0,0.0589,False,True,True
contribute,1612,0.0,0.062,False,True,True
contribution,1612,0.0,0.0862,False,True,True
cooperative,1612,0.0,0.0478,False,True,True
corrupt,1612,0.0,0.0533,False,True,True
cost,1612,0.0,0.1061,False,True,True
costly,1612,0.0037,0.0248,False,True,True
crisis,1612,0.0,0.0633,False,True,True
debtor,1612,0.0261,0.0248,False,True,True
default,1612,0.0,0.0633,False,True,True
deficit,1612,0.0,0.0465,False,True,True
depreciation,1612,0.0,0.0509,False,True,True
depression,1612,0.0,0.0614,False,True,True
destitute,1612,0.098,0.0471,True,True,True
domination,1612,0.0,0.036,False,True,True
donate,1612,0.0,0.098,False,True,True
donation,1612,0.0,0.0769,False,True,True
economize,1612,0.9876,0.9758,True,True,True
endow,1612,0.5769,0.4138,False,True,True
entrepreneurial,1612,0.0081,0.0372,False,True,True
equity,1612,0.0,0.0422,False,True,True
expense,1612,0.0,0.0558,False,True,True
expensive,1612,0.0,0.072,False,True,True
extravagant,1612,0.0062,0.0422,True,True,True
fellowship,1612,0.0,0.0589,False,True,True
fine,1612,0.0,0.072,False,True,True
fire,1612,0.0,0.1656,False,True,True
frugal,1612,0.0,0.0403,False,True,True
gain,1612,0.0,0.0639,False,True,True
gamble,1612,0.0,0.1613,False,True,True
generosity,1612,0.0006,0.0254,False,True,True
ghetto,1612,0.0,0.0552,False,True,True
gift,1612,0.0,0.1731,False,True,True
gold,1612,0.0,0.1061,False,True,True
guide,1612,0.0,0.0695,False,True,True
hole,1612,0.0,0.0937,False,True,True
hustle,1612,0.0,0.1439,False,True,True
hustler,1612,0.0,0.0552,False,True,True
inexpensive,1612,0.0,0.0614,False,True,True
inflation,1612,0.0,0.0955,False,True,True
inherit,1612,0.0,0.0589,False,True,True
intervention,1612,0.0,0.0403,False,True,True
invaluable,1612,0.0,0.0304,False,True,True
jobless,1612,0.0,0.0453,True,True,True
laid,1612,0.0,0.0639,False,True,True
lay,1612,0.0,0.0726,False,True,True
legal,1612,0.0,0.085,False,True,True
liquidate,1612,0.1228,0.0484,False,True,True
liquidation,1612,0.0,0.0713,False,True,True
lucrative,1612,0.0,0.0248,False,True,True
luxury,1612,0.0,0.0521,False,True,True
meritorious,1612,0.1929,0.0825,True,True,True
miser,1612,0.0,0.2581,True,True,True
negotiate,1612,0.0,0.0409,False,True,True
nobility,1612,0.0,0.0912,False,True,True
nobleman,1612,0.2779,0.1346,False,True,True
owe,1612,0.0,0.1272,False,True,True
partner,1612,0.0,0.0775,False,True,True
partnership,1612,0.0,0.0552,False,True,True
patron,1612,0.0,0.08,False,True,True
patronage,1612,0.0596,0.0434,False,True,True
pollution,1612,0.0,0.0862,True,True,True
poor,1612,0.0,0.1396,False,True,True
poverty,1612,0.0,0.0465,False,True,True
precious,1612,0.0,0.0906,False,True,True
priceless,1612,0.0,0.0341,False,True,True
privileged,1612,0.0006,0.031,False,True,True
productive,1612,0.0,0.0422,False,True,True
productivity,1612,0.0,0.0471,False,True,True
profit,1612,0.0,0.0521,False,True,True
profitable,1612,0.0,0.0496,False,True,True
prosper,1612,0.0,0.0658,False,True,True
prosperity,1612,0.0,0.1234,True,True,True
prosperous,1612,0.0031,0.1569,True,True,True
race,1612,0.0,0.2022,True,True,True
radical,1612,0.0,0.0738,False,True,True
recession,1612,0.0,0.1656,False,True,True
recompense,1612,0.0676,0.0409,False,True,True
redemption,1612,0.0,0.0726,False,True,True
reparation,1612,0.0323,0.0422,False,True,True
reward,1612,0.0,0.0825,False,True,True
rich,1612,0.0,0.286,True,True,True
riches,1612,0.0,0.098,False,True,True
richness,1612,0.206,0.1334,False,True,True
ruin,1612,0.0,0.1315,False,True,True
savings,1612,0.0,0.3536,True,True,True
security,1612,0.0,0.0558,False,True,True
segregation,1612,0.0,0.0819,True,True,True
shortage,1612,0.0,0.1036,False,True,True
skill,1612,0.0,0.0881,False,True,True
squander,1612,0.6377,0.4597,True,True,True
steal,1612,0.0,0.0949,False,True,True
subsidize,1612,0.1377,0.0775,False,True,True
subsidy,1612,0.0,0.0999,False,True,True
success,1612,0.0,0.0701,False,True,True
successful,1612,0.0,0.0546,False,True,True
tariff,1612,0.0006,0.1278,False,True,True
thrift,1612,0.0,0.0558,True,True,True
thrifty,1612,0.0,0.0627,False,True,True
treasure,1612,0.0,0.0676,False,True,True
underworld,1612,0.0,0.0962,False,True,True
unemployed,1612,0.0,0.0391,False,True,True
unprofitable,1612,0.915,0.8455,False,True,True
vagabond,1612,0.0,0.0416,False,True,True
vagrant,1612,0.0006,0.0354,False,True,True
valuable,1612,0.0,0.0912,False,True,True
warfare,1612,0.0,0.1842,True,True,True
waste,1612,0.0,0.0682,False,True,True
worth,1612,0.0,0.0974,False,True,True
