Time,urban dictionary
2023-04-26,24
2023-04-27,24
2023-04-28,21
2023-04-29,21
2023-04-30,23
2023-05-01,20
2023-05-02,23
2023-05-03,20
2023-05-04,21
2023-05-05,21
2023-05-06,22
2023-05-07,22
2023-05-08,21
2023-05-09,19
2023-05-10,20
2023-05-11,20
2023-05-12,21
2023-05-13,22
2023-05-14,23
2023-05-15,21
2023-05-16,20
2023-05-17,20
2023-05-18,21
2023-05-19,21
2023-05-20,23
2023-05-21,26
2023-05-22,19
2023-05-23,21
2023-05-24,22
2023-05-25,22
2023-05-26,22
2023-05-27,23
2023-05-28,23
2023-05-29,25
2023-05-30,21
2023-05-31,21
2023-06-01,24
2023-06-02,21
2023-06-03,22
2023-06-04,22
2023-06-05,20
2023-06-06,21
2023-06-07,21
2023-06-08,21
2023-06-09,20
2023-06-10,22
2023-06-11,25
2023-06-12,22
2023-06-13,21
2023-06-14,21
2023-06-15,22
2023-06-16,21
2023-06-17,23
2023-06-18,24
2023-06-19,22
2023-06-20,24
2023-06-21,23
2023-06-22,22
2023-06-23,22
2023-06-24,22
2023-06-25,23
2023-06-26,21
2023-06-27,22
2023-06-28,21
2023-06-29,21
2023-06-30,20
2023-07-01,21
2023-07-02,21
2023-07-03,22
2023-07-04,25
2023-07-05,22
2023-07-06,21
2023-07-07,21
2023-07-08,24
2023-07-09,23
2023-07-10,23
2023-07-11,20
2023-07-12,21
2023-07-13,21
2023-07-14,24
2023-07-15,21
2023-07-16,25
2023-07-17,20
2023-07-18,21
2023-07-19,22
2023-07-20,21
2023-07-21,22
2023-07-22,23
2023-07-23,23
2023-07-24,22
2023-07-25,21
2023-07-26,21
2023-07-27,21
2023-07-28,21
2023-07-29,23
2023-07-30,22
2023-07-31,19
2023-08-01,20
2023-08-02,19
2023-08-03,21
2023-08-04,20
2023-08-05,22
2023-08-06,20
2023-08-07,19
2023-08-08,20
2023-08-09,20
2023-08-10,21
2023-08-11,21
2023-08-12,23
2023-08-13,22
2023-08-14,19
2023-08-15,20
2023-08-16,21
2023-08-17,22
2023-08-18,20
2023-08-19,21
2023-08-20,22
2023-08-21,19
2023-08-22,20
2023-08-23,20
2023-08-24,20
2023-08-25,19
2023-08-26,23
2023-08-27,21
2023-08-28,18
2023-08-29,19
2023-08-30,18
2023-08-31,19
2023-09-01,21
2023-09-02,21
2023-09-03,21
2023-09-04,22
2023-09-05,19
2023-09-06,19
2023-09-07,20
2023-09-08,18
2023-09-09,21
2023-09-10,21
2023-09-11,18
2023-09-12,18
2023-09-13,18
2023-09-14,20
2023-09-15,19
2023-09-16,22
2023-09-17,21
2023-09-18,18
2023-09-19,18
2023-09-20,20
2023-09-21,22
2023-09-22,20
2023-09-23,21
2023-09-24,23
2023-09-25,18
2023-09-26,18
2023-09-27,19
2023-09-28,21
2023-09-29,20
2023-09-30,21
2023-10-01,23
2023-10-02,19
2023-10-03,18
2023-10-04,20
2023-10-05,19
2023-10-06,22
2023-10-07,23
2023-10-08,26
2023-10-09,21
2023-10-10,20
2023-10-11,21
2023-10-12,22
2023-10-13,20
2023-10-14,23
2023-10-15,24
2023-10-16,20
2023-10-17,20
2023-10-18,20
2023-10-19,22
2023-10-20,22
2023-10-21,22
2023-10-22,24
2023-10-23,21
2023-10-24,23
2023-10-25,20
2023-10-26,21
2023-10-27,22
2023-10-28,22
2023-10-29,22
2023-10-30,20
2023-10-31,19
2023-11-01,21
2023-11-02,20
2023-11-03,21
2023-11-04,22
2023-11-05,23
2023-11-06,20
2023-11-07,21
2023-11-08,21
2023-11-09,20
2023-11-10,21
2023-11-11,24
2023-11-12,23
2023-11-13,21
2023-11-14,20
2023-11-15,22
2023-11-16,21
2023-11-17,21
2023-11-18,23
2023-11-19,32
2023-11-20,100
2023-11-21,97
2023-11-22,50
2023-11-23,33
2023-11-24,24
2023-11-25,25
2023-11-26,27
2023-11-27,21
2023-11-28,22
2023-11-29,23
2023-11-30,22
2023-12-01,22
2023-12-02,23
2023-12-03,23
2023-12-04,19
2023-12-05,21
2023-12-06,22
2023-12-07,21
2023-12-08,21
2023-12-09,22
2023-12-10,23
2023-12-11,19
2023-12-12,20
2023-12-13,20
2023-12-14,21
2023-12-15,22
2023-12-16,22
2023-12-17,23
2023-12-18,19
2023-12-19,22
2023-12-20,23
2023-12-21,24
2023-12-22,22
2023-12-23,23
2023-12-24,25
2023-12-25,23
2023-12-26,23
2023-12-27,22
2023-12-28,23
2023-12-29,25
2023-12-30,22
2023-12-31,24
2024-01-01,26
2024-01-02,22
2024-01-03,21
2024-01-04,20
2024-01-05,22
2024-01-06,22
2024-01-07,22
2024-01-08,19
2024-01-09,21
2024-01-10,21
2024-01-11,22
2024-01-12,22
2024-01-13,22
2024-01-14,22
2024-01-15,21
2024-01-16,19
2024-01-17,20
2024-01-18,21
2024-01-19,22
2024-01-20,24
