Time,urban dictionary
2024-08-18,97
2024-08-19,77
2024-08-20,87
2024-08-21,83
2024-08-22,83
2024-08-23,79
2024-08-24,89
2024-08-25,94
2024-08-26,78
2024-08-27,79
2024-08-28,74
2024-08-29,74
2024-08-30,77
2024-08-31,85
2024-09-01,89
2024-09-02,92
2024-09-03,76
2024-09-04,75
2024-09-05,77
2024-09-06,75
2024-09-07,86
2024-09-08,87
2024-09-09,73
2024-09-10,71
2024-09-11,66
2024-09-12,70
2024-09-13,76
2024-09-14,85
2024-09-15,81
2024-09-16,79
2024-09-17,72
2024-09-18,74
2024-09-19,76
2024-09-20,76
2024-09-21,84
2024-09-22,86
2024-09-23,74
2024-09-24,69
2024-09-25,76
2024-09-26,75
2024-09-27,72
2024-09-28,83
2024-09-29,85
2024-09-30,70
2024-10-01,70
2024-10-02,73
2024-10-03,75
2024-10-04,80
2024-10-05,76
2024-10-06,78
2024-10-07,72
2024-10-08,74
2024-10-09,71
2024-10-10,74
2024-10-11,75
2024-10-12,95
2024-10-13,91
2024-10-14,73
2024-10-15,74
2024-10-16,74
2024-10-17,75
2024-10-18,79
2024-10-19,83
2024-10-20,85
2024-10-21,83
2024-10-22,80
2024-10-23,85
2024-10-24,77
2024-10-25,78
2024-10-26,77
2024-10-27,79
2024-10-28,65
2024-10-29,66
2024-10-30,71
2024-10-31,73
2024-11-01,76
2024-11-02,82
2024-11-03,90
2024-11-04,68
2024-11-05,65
2024-11-06,53
2024-11-07,73
2024-11-08,82
2024-11-09,82
2024-11-10,82
2024-11-11,77
2024-11-12,81
2024-11-13,87
2024-11-14,81
2024-11-15,83
2024-11-16,100
2024-11-17,92
2024-11-18,81
2024-11-19,72
2024-11-20,80
2024-11-21,83
2024-11-22,77
2024-11-23,90
2024-11-24,83
2024-11-25,86
2024-11-26,80
2024-11-27,85
2024-11-28,89
2024-11-29,82
2024-11-30,77
2024-12-01,86
2024-12-02,69
2024-12-03,73
2024-12-04,72
2024-12-05,71
2024-12-06,84
2024-12-07,80
2024-12-08,82
2024-12-09,67
2024-12-10,84
2024-12-11,70
2024-12-12,71
2024-12-13,75
2024-12-14,78
2024-12-15,84
2024-12-16,76
2024-12-17,78
2024-12-18,83
2024-12-19,79
2024-12-20,73
2024-12-21,79
2024-12-22,89
2024-12-23,78
2024-12-24,91
2024-12-25,87
2024-12-26,77
2024-12-27,80
2024-12-28,84
2024-12-29,82
2024-12-30,78
2024-12-31,82
2025-01-01,89
2025-01-02,71
2025-01-03,82
2025-01-04,79
2025-01-05,81
2025-01-06,69
2025-01-07,70
2025-01-08,68
2025-01-09,75
2025-01-10,84
2025-01-11,81
2025-01-12,89
2025-01-13,84
2025-01-14,71
2025-01-15,71
2025-01-16,83
2025-01-17,74
2025-01-18,78
2025-01-19,71
2025-01-20,82
2025-01-21,67
2025-01-22,66
2025-01-23,69
2025-01-24,70
2025-01-25,75
2025-01-26,79
2025-01-27,64
2025-01-28,68
2025-01-29,67
2025-01-30,70
2025-01-31,72
2025-02-01,75
2025-02-02,82
2025-02-03,63
2025-02-04,66
2025-02-05,72
2025-02-06,70
2025-02-07,75
2025-02-08,76
2025-02-09,76
2025-02-10,67
2025-02-11,67
2025-02-12,73
2025-02-13,74
2025-02-14,73
2025-02-15,85
2025-02-16,80
2025-02-17,72
2025-02-18,70
2025-02-19,69
2025-02-20,71
2025-02-21,70
2025-02-22,74
2025-02-23,79
2025-02-24,67
2025-02-25,75
2025-02-26,72
2025-02-27,71
2025-02-28,70
2025-03-01,74
2025-03-02,81
2025-03-03,66
2025-03-04,69
2025-03-05,69
2025-03-06,66
2025-03-07,71
2025-03-08,86
2025-03-09,78
2025-03-10,68
2025-03-11,72
2025-03-12,72
2025-03-13,66
2025-03-14,70
2025-03-15,76
2025-03-16,75
2025-03-17,65
2025-03-18,68
2025-03-19,71
2025-03-20,73
2025-03-21,77
2025-03-22,89
2025-03-23,90
2025-03-24,73
2025-03-25,69
2025-03-26,67
2025-03-27,66
2025-03-28,70
2025-03-29,75
2025-03-30,80
2025-03-31,67
2025-04-01,61
2025-04-02,59
2025-04-03,66
2025-04-04,68
2025-04-05,73
2025-04-06,74
2025-04-07,62
2025-04-08,65
2025-04-09,63
2025-04-10,67
2025-04-11,69
2025-04-12,69
2025-04-13,68
2025-04-14,60
2025-04-15,70
2025-04-16,66
2025-04-17,66
2025-04-18,66
2025-04-19,68
2025-04-20,77
2025-04-21,62
2025-04-22,60
2025-04-23,61
2025-04-24,62
2025-04-25,67
2025-04-26,67
2025-04-27,69
2025-04-28,62
2025-04-29,63
2025-04-30,61
2025-05-01,62
2025-05-02,68
2025-05-03,70
2025-05-04,73
2025-05-05,59
2025-05-06,60
2025-05-07,62
2025-05-08,67
2025-05-09,72
2025-05-10,72
2025-05-11,76
2025-05-12,62
2025-05-13,63
2025-05-14,62
