Time,dicks sporting goods
2022-08-29,64
2022-08-30,59
2022-08-31,59
2022-09-01,59
2022-09-02,64
2022-09-03,74
2022-09-04,76
2022-09-05,100
2022-09-06,55
2022-09-07,54
2022-09-08,56
2022-09-09,56
2022-09-10,74
2022-09-11,71
2022-09-12,50
2022-09-13,57
2022-09-14,52
2022-09-15,60
2022-09-16,63
2022-09-17,75
2022-09-18,69
2022-09-19,53
2022-09-20,53
2022-09-21,50
2022-09-22,54
2022-09-23,59
2022-09-24,72
2022-09-25,71
2022-09-26,53
2022-09-27,50
2022-09-28,54
2022-09-29,57
2022-09-30,57
2022-10-01,69
2022-10-02,71
2022-10-03,50
2022-10-04,52
2022-10-05,59
2022-10-06,54
2022-10-07,59
2022-10-08,68
2022-10-09,65
2022-10-10,26
2022-10-11,14
2022-10-12,15
2022-10-13,14
2022-10-14,16
2022-10-15,18
2022-10-16,17
2022-10-17,15
2022-10-18,15
2022-10-19,14
2022-10-20,13
2022-10-21,14
2022-10-22,18
2022-10-23,16
2022-10-24,13
2022-10-25,13
2022-10-26,12
2022-10-27,12
2022-10-28,13
2022-10-29,16
2022-10-30,14
2022-10-31,10
2022-11-01,10
2022-11-02,11
2022-11-03,12
2022-11-04,13
2022-11-05,17
2022-11-06,17
2022-11-07,12
2022-11-08,12
2022-11-09,12
2022-11-10,12
2022-11-11,16
2022-11-12,18
2022-11-13,19
2022-11-14,14
2022-11-15,15
2022-11-16,16
2022-11-17,16
2022-11-18,17
2022-11-19,21
2022-11-20,21
2022-11-21,18
2022-11-22,18
2022-11-23,20
2022-11-24,21
2022-11-25,46
2022-11-26,27
2022-11-27,24
2022-11-28,25
2022-11-29,21
2022-11-30,16
2022-12-01,17
2022-12-02,17
2022-12-03,21
2022-12-04,23
2022-12-05,19
2022-12-06,17
2022-12-07,19
2022-12-08,19
2022-12-09,19
2022-12-10,26
2022-12-11,27
2022-12-12,23
2022-12-13,22
2022-12-14,23
2022-12-15,23
2022-12-16,26
2022-12-17,32
2022-12-18,30
2022-12-19,31
2022-12-20,31
2022-12-21,31
2022-12-22,32
2022-12-23,34
2022-12-24,32
2022-12-25,17
2022-12-26,30
2022-12-27,22
2022-12-28,21
2022-12-29,20
2022-12-30,20
2022-12-31,19
2023-01-01,19
2023-01-02,18
2023-01-03,13
2023-01-04,14
2023-01-05,15
2023-01-06,16
2023-01-07,19
2023-01-08,18
2023-01-09,15
2023-01-10,13
2023-01-11,14
2023-01-12,12
2023-01-13,15
2023-01-14,19
2023-01-15,17
2023-01-16,16
2023-01-17,12
2023-01-18,12
2023-01-19,13
2023-01-20,12
2023-01-21,16
2023-01-22,17
2023-01-23,12
2023-01-24,12
2023-01-25,12
2023-01-26,12
2023-01-27,13
2023-01-28,15
2023-01-29,15
2023-01-30,14
2023-01-31,12
2023-02-01,12
2023-02-02,12
2023-02-03,13
2023-02-04,17
2023-02-05,18
2023-02-06,13
2023-02-07,13
2023-02-08,12
2023-02-09,13
2023-02-10,13
2023-02-11,19
2023-02-12,16
2023-02-13,12
2023-02-14,13
2023-02-15,13
2023-02-16,11
2023-02-17,14
2023-02-18,19
2023-02-19,19
2023-02-20,16
2023-02-21,13
2023-02-22,13
2023-02-23,15
2023-02-24,18
2023-02-25,21
2023-02-26,23
2023-02-27,16
2023-02-28,19
2023-03-01,20
2023-03-02,23
2023-03-03,23
2023-03-04,27
2023-03-05,26
2023-03-06,19
2023-03-07,19
2023-03-08,23
2023-03-09,23
2023-03-10,24
2023-03-11,28
2023-03-12,60
2023-03-13,47
2023-03-14,50
2023-03-15,46
2023-03-16,50
2023-03-17,50
2023-03-18,62
2023-03-19,72
2023-03-20,59
2023-03-21,48
2023-03-22,44
2023-03-23,46
2023-03-24,51
2023-03-25,63
2023-03-26,70
2023-03-27,52
2023-03-28,48
2023-03-29,48
2023-03-30,47
2023-03-31,51
2023-04-01,64
2023-04-02,67
2023-04-03,50
2023-04-04,47
2023-04-05,49
2023-04-06,54
2023-04-07,62
2023-04-08,71
2023-04-09,68
2023-04-10,55
2023-04-11,59
2023-04-12,55
2023-04-13,55
2023-04-14,53
2023-04-15,70
2023-04-16,76
2023-04-17,46
2023-04-18,46
2023-04-19,50
2023-04-20,51
2023-04-21,52
2023-04-22,72
2023-04-23,71
2023-04-24,47
2023-04-25,45
2023-04-26,48
2023-04-27,42
2023-04-28,47
2023-04-29,66
2023-04-30,65
2023-05-01,52
2023-05-02,47
2023-05-03,59
2023-05-04,48
2023-05-05,52
2023-05-06,68
2023-05-07,71
2023-05-08,56
2023-05-09,51
2023-05-10,53
2023-05-11,53
2023-05-12,59
2023-05-13,75
2023-05-14,72
2023-05-15,54
2023-05-16,52
2023-05-17,52
2023-05-18,51
2023-05-19,56
2023-05-20,78
2023-05-21,78
2023-05-22,52
2023-05-23,53
2023-05-24,58
2023-05-25,57
