Time,crumbl cookies
2023-04-26,72
2023-04-27,67
2023-04-28,75
2023-04-29,99
2023-04-30,88
2023-05-01,89
2023-05-02,69
2023-05-03,62
2023-05-04,63
2023-05-05,66
2023-05-06,89
2023-05-07,70
2023-05-08,82
2023-05-09,75
2023-05-10,72
2023-05-11,71
2023-05-12,75
2023-05-13,100
2023-05-14,93
2023-05-15,77
2023-05-16,65
2023-05-17,60
2023-05-18,56
2023-05-19,65
2023-05-20,81
2023-05-21,68
2023-05-22,73
2023-05-23,66
2023-05-24,61
2023-05-25,66
2023-05-26,67
2023-05-27,80
2023-05-28,70
2023-05-29,96
2023-05-30,67
2023-05-31,60
2023-06-01,60
2023-06-02,61
2023-06-03,77
2023-06-04,68
2023-06-05,71
2023-06-06,63
2023-06-07,61
2023-06-08,62
2023-06-09,65
2023-06-10,80
2023-06-11,72
2023-06-12,84
2023-06-13,72
2023-06-14,69
2023-06-15,70
2023-06-16,71
2023-06-17,90
2023-06-18,76
2023-06-19,85
2023-06-20,75
2023-06-21,72
2023-06-22,63
2023-06-23,72
2023-06-24,82
2023-06-25,73
2023-06-26,83
2023-06-27,77
2023-06-28,74
2023-06-29,67
2023-06-30,71
2023-07-01,80
2023-07-02,72
2023-07-03,92
2023-07-04,82
2023-07-05,61
2023-07-06,60
2023-07-07,67
2023-07-08,80
2023-07-09,72
2023-07-10,77
2023-07-11,67
2023-07-12,64
2023-07-13,63
2023-07-14,68
2023-07-15,77
2023-07-16,72
2023-07-17,85
2023-07-18,72
2023-07-19,70
2023-07-20,65
2023-07-21,64
2023-07-22,81
2023-07-23,80
2023-07-24,92
2023-07-25,77
2023-07-26,62
2023-07-27,64
2023-07-28,69
2023-07-29,80
2023-07-30,71
2023-07-31,84
2023-08-01,74
2023-08-02,67
2023-08-03,66
2023-08-04,79
2023-08-05,80
2023-08-06,73
2023-08-07,77
2023-08-08,63
2023-08-09,55
2023-08-10,59
2023-08-11,58
2023-08-12,72
2023-08-13,67
2023-08-14,70
2023-08-15,61
2023-08-16,55
2023-08-17,51
2023-08-18,57
2023-08-19,73
2023-08-20,63
2023-08-21,66
2023-08-22,56
2023-08-23,51
2023-08-24,48
2023-08-25,51
2023-08-26,67
2023-08-27,60
2023-08-28,61
2023-08-29,51
2023-08-30,46
2023-08-31,47
2023-09-01,54
2023-09-02,72
2023-09-03,59
2023-09-04,90
2023-09-05,49
2023-09-06,43
2023-09-07,44
2023-09-08,47
2023-09-09,69
2023-09-10,56
2023-09-11,60
2023-09-12,48
2023-09-13,45
2023-09-14,46
2023-09-15,50
2023-09-16,69
2023-09-17,58
2023-09-18,58
2023-09-19,51
2023-09-20,45
2023-09-21,50
2023-09-22,54
2023-09-23,70
2023-09-24,63
2023-09-25,68
2023-09-26,57
2023-09-27,90
2023-09-28,67
2023-09-29,54
2023-09-30,74
2023-10-01,60
2023-10-02,59
2023-10-03,50
2023-10-04,47
2023-10-05,46
2023-10-06,49
2023-10-07,68
2023-10-08,57
2023-10-09,71
2023-10-10,54
2023-10-11,47
2023-10-12,48
2023-10-13,51
2023-10-14,67
2023-10-15,60
2023-10-16,66
2023-10-17,55
2023-10-18,52
2023-10-19,51
2023-10-20,52
2023-10-21,67
2023-10-22,57
2023-10-23,60
2023-10-24,52
2023-10-25,49
2023-10-26,46
2023-10-27,48
2023-10-28,60
2023-10-29,52
2023-10-30,62
2023-10-31,49
2023-11-01,39
2023-11-02,35
2023-11-03,46
2023-11-04,60
2023-11-05,50
2023-11-06,52
2023-11-07,51
2023-11-08,45
2023-11-09,44
2023-11-10,54
2023-11-11,71
2023-11-12,60
2023-11-13,55
2023-11-14,49
2023-11-15,47
2023-11-16,43
2023-11-17,49
2023-11-18,64
2023-11-19,58
2023-11-20,64
2023-11-21,53
2023-11-22,53
2023-11-23,36
2023-11-24,37
2023-11-25,44
2023-11-26,42
2023-11-27,56
2023-11-28,47
2023-11-29,42
2023-11-30,43
2023-12-01,47
2023-12-02,68
2023-12-03,55
2023-12-04,60
2023-12-05,50
2023-12-06,46
2023-12-07,39
2023-12-08,47
2023-12-09,65
2023-12-10,60
2023-12-11,66
2023-12-12,60
2023-12-13,52
2023-12-14,51
2023-12-15,55
2023-12-16,71
2023-12-17,61
2023-12-18,61
2023-12-19,58
2023-12-20,55
2023-12-21,51
2023-12-22,53
2023-12-23,57
2023-12-24,41
2023-12-25,31
2023-12-26,41
2023-12-27,53
2023-12-28,51
2023-12-29,50
2023-12-30,55
2023-12-31,46
2024-01-01,56
2024-01-02,48
2024-01-03,52
2024-01-04,45
2024-01-05,52
2024-01-06,70
2024-01-07,57
2024-01-08,49
2024-01-09,48
2024-01-10,42
2024-01-11,45
2024-01-12,49
2024-01-13,63
2024-01-14,57
2024-01-15,61
2024-01-16,46
2024-01-17,43
2024-01-18,43
2024-01-19,48
2024-01-20,68
