Time,amazon prime video
2022-08-29,38
2022-08-30,36
2022-08-31,36
2022-09-01,39
2022-09-02,50
2022-09-03,50
2022-09-04,50
2022-09-05,50
2022-09-06,43
2022-09-07,40
2022-09-08,38
2022-09-09,46
2022-09-10,46
2022-09-11,58
2022-09-12,39
2022-09-13,37
2022-09-14,36
2022-09-15,64
2022-09-16,100
2022-09-17,49
2022-09-18,49
2022-09-19,38
2022-09-20,36
2022-09-21,34
2022-09-22,49
2022-09-23,70
2022-09-24,47
2022-09-25,47
2022-09-26,36
2022-09-27,34
2022-09-28,34
2022-09-29,43
2022-09-30,73
2022-10-01,45
2022-10-02,44
2022-10-03,35
2022-10-04,33
2022-10-05,33
2022-10-06,39
2022-10-07,63
2022-10-08,43
2022-10-09,44
2022-10-10,38
2022-10-11,35
2022-10-12,32
2022-10-13,38
2022-10-14,56
2022-10-15,42
2022-10-16,42
2022-10-17,35
2022-10-18,34
2022-10-19,34
2022-10-20,38
2022-10-21,58
2022-10-22,41
2022-10-23,42
2022-10-24,35
2022-10-25,33
2022-10-26,33
2022-10-27,42
2022-10-28,57
2022-10-29,38
2022-10-30,42
2022-10-31,42
2022-11-01,35
2022-11-02,33
2022-11-03,39
2022-11-04,54
2022-11-05,42
2022-11-06,39
2022-11-07,33
2022-11-08,32
2022-11-09,31
2022-11-10,35
2022-11-11,51
2022-11-12,42
2022-11-13,43
2022-11-14,38
2022-11-15,34
2022-11-16,34
2022-11-17,38
2022-11-18,62
2022-11-19,42
2022-11-20,43
2022-11-21,37
2022-11-22,40
2022-11-23,37
2022-11-24,41
2022-11-25,41
2022-11-26,38
2022-11-27,41
2022-11-28,36
2022-11-29,34
2022-11-30,33
2022-12-01,35
2022-12-02,56
2022-12-03,39
2022-12-04,39
2022-12-05,35
2022-12-06,36
2022-12-07,34
2022-12-08,35
2022-12-09,52
2022-12-10,40
2022-12-11,45
2022-12-12,40
2022-12-13,39
2022-12-14,40
2022-12-15,50
2022-12-16,70
2022-12-17,44
2022-12-18,42
2022-12-19,42
2022-12-20,45
2022-12-21,46
2022-12-22,49
2022-12-23,64
2022-12-24,47
2022-12-25,49
2022-12-26,47
2022-12-27,41
2022-12-28,41
2022-12-29,43
2022-12-30,57
2022-12-31,41
2023-01-01,39
2023-01-02,43
2023-01-03,37
2023-01-04,35
2023-01-05,33
2023-01-06,37
2023-01-07,38
2023-01-08,42
2023-01-09,35
2023-01-10,33
2023-01-11,34
2023-01-12,35
2023-01-13,38
2023-01-14,45
2023-01-15,44
2023-01-16,41
2023-01-17,34
2023-01-18,34
2023-01-19,36
2023-01-20,40
2023-01-21,45
2023-01-22,45
2023-01-23,35
2023-01-24,37
2023-01-25,38
2023-01-26,35
2023-01-27,40
2023-01-28,44
2023-01-29,46
2023-01-30,37
2023-01-31,37
2023-02-01,35
2023-02-02,35
2023-02-03,39
2023-02-04,46
2023-02-05,47
2023-02-06,35
2023-02-07,33
2023-02-08,31
2023-02-09,32
2023-02-10,37
2023-02-11,40
2023-02-12,40
2023-02-13,30
2023-02-14,35
2023-02-15,34
2023-02-16,33
2023-02-17,38
2023-02-18,42
2023-02-19,43
2023-02-20,36
2023-02-21,33
2023-02-22,34
2023-02-23,32
2023-02-24,37
2023-02-25,42
2023-02-26,43
2023-02-27,33
2023-02-28,30
2023-03-01,33
2023-03-02,33
2023-03-03,37
2023-03-04,40
2023-03-05,40
2023-03-06,33
2023-03-07,32
2023-03-08,33
2023-03-09,33
2023-03-10,39
2023-03-11,39
2023-03-12,43
2023-03-13,34
2023-03-14,36
2023-03-15,33
2023-03-16,35
2023-03-17,37
2023-03-18,43
2023-03-19,43
2023-03-20,39
2023-03-21,35
2023-03-22,34
2023-03-23,32
2023-03-24,38
2023-03-25,41
2023-03-26,42
2023-03-27,35
2023-03-28,34
2023-03-29,34
2023-03-30,33
2023-03-31,36
2023-04-01,38
2023-04-02,41
2023-04-03,33
2023-04-04,33
2023-04-05,33
2023-04-06,35
2023-04-07,34
2023-04-08,40
2023-04-09,40
2023-04-10,35
2023-04-11,33
2023-04-12,33
2023-04-13,32
2023-04-14,35
2023-04-15,40
2023-04-16,42
2023-04-17,33
2023-04-18,33
2023-04-19,35
2023-04-20,35
2023-04-21,38
2023-04-22,43
2023-04-23,45
2023-04-24,38
2023-04-25,35
2023-04-26,35
2023-04-27,36
2023-04-28,38
2023-04-29,41
2023-04-30,45
2023-05-01,37
2023-05-02,34
2023-05-03,35
2023-05-04,35
2023-05-05,36
2023-05-06,40
2023-05-07,37
2023-05-08,37
2023-05-09,35
2023-05-10,35
2023-05-11,34
2023-05-12,39
2023-05-13,39
2023-05-14,44
2023-05-15,40
2023-05-16,38
2023-05-17,39
2023-05-18,41
2023-05-19,43
2023-05-20,40
2023-05-21,40
2023-05-22,38
2023-05-23,38
2023-05-24,39
2023-05-25,39
