Time,amazon prime video
2023-12-22,100
2023-12-23,75
2023-12-24,70
2023-12-25,74
2023-12-26,70
2023-12-27,76
2023-12-28,74
2023-12-29,92
2023-12-30,71
2023-12-31,68
2024-01-01,70
2024-01-02,65
2024-01-03,62
2024-01-04,63
2024-01-05,63
2024-01-06,72
2024-01-07,72
2024-01-08,61
2024-01-09,58
2024-01-10,58
2024-01-11,60
2024-01-12,62
2024-01-13,69
2024-01-14,71
2024-01-15,68
2024-01-16,60
2024-01-17,61
2024-01-18,58
2024-01-19,71
2024-01-20,75
2024-01-21,73
2024-01-22,59
2024-01-23,57
2024-01-24,55
2024-01-25,54
2024-01-26,65
2024-01-27,74
2024-01-28,73
2024-01-29,63
2024-01-30,63
2024-01-31,60
2024-02-01,58
2024-02-02,74
2024-02-03,78
2024-02-04,77
2024-02-05,61
2024-02-06,57
2024-02-07,53
2024-02-08,52
2024-02-09,53
2024-02-10,65
2024-02-11,75
2024-02-12,57
2024-02-13,59
2024-02-14,58
2024-02-15,56
2024-02-16,61
2024-02-17,70
2024-02-18,72
2024-02-19,65
2024-02-20,55
2024-02-21,54
2024-02-22,52
2024-02-23,53
2024-02-24,59
2024-02-25,61
2024-02-26,53
2024-02-27,49
2024-02-28,48
2024-02-29,49
2024-03-01,57
2024-03-02,60
2024-03-03,60
2024-03-04,48
2024-03-05,49
2024-03-06,49
2024-03-07,50
2024-03-08,52
2024-03-09,56
2024-03-10,60
2024-03-11,47
2024-03-12,48
2024-03-13,47
2024-03-14,50
2024-03-15,55
2024-03-16,57
2024-03-17,61
2024-03-18,49
2024-03-19,48
2024-03-20,51
2024-03-21,57
2024-03-22,64
2024-03-23,67
2024-03-24,66
2024-03-25,56
2024-03-26,54
2024-03-27,51
2024-03-28,59
2024-03-29,57
2024-03-30,58
2024-03-31,61
2024-04-01,54
2024-04-02,49
2024-04-03,48
2024-04-04,55
2024-04-05,57
2024-04-06,56
2024-04-07,58
2024-04-08,46
2024-04-09,49
2024-04-10,53
2024-04-11,69
2024-04-12,73
2024-04-13,74
2024-04-14,72
2024-04-15,61
2024-04-16,61
2024-04-17,62
2024-04-18,61
2024-04-19,62
2024-04-20,64
2024-04-21,72
2024-04-22,63
2024-04-23,54
2024-04-24,56
2024-04-25,55
2024-04-26,58
2024-04-27,61
2024-04-28,62
2024-04-29,57
2024-04-30,52
2024-05-01,51
2024-05-02,52
2024-05-03,61
2024-05-04,66
2024-05-05,74
2024-05-06,58
2024-05-07,53
2024-05-08,52
2024-05-09,56
2024-05-10,59
2024-05-11,62
2024-05-12,57
2024-05-13,58
2024-05-14,59
2024-05-15,59
2024-05-16,58
2024-05-17,60
2024-05-18,56
2024-05-19,57
2024-05-20,60
2024-05-21,55
2024-05-22,60
2024-05-23,54
2024-05-24,54
2024-05-25,57
2024-05-26,56
2024-05-27,62
2024-05-28,56
2024-05-29,54
2024-05-30,55
2024-05-31,51
2024-06-01,55
2024-06-02,62
2024-06-03,52
2024-06-04,50
2024-06-05,52
2024-06-06,51
2024-06-07,54
2024-06-08,54
2024-06-09,56
2024-06-10,52
2024-06-11,48
2024-06-12,49
2024-06-13,60
2024-06-14,65
2024-06-15,62
2024-06-16,63
2024-06-17,60
2024-06-18,52
2024-06-19,63
2024-06-20,67
2024-06-21,58
2024-06-22,62
2024-06-23,65
2024-06-24,54
2024-06-25,54
2024-06-26,54
2024-06-27,60
2024-06-28,55
2024-06-29,57
2024-06-30,61
2024-07-01,52
2024-07-02,50
2024-07-03,52
2024-07-04,65
2024-07-05,65
2024-07-06,64
2024-07-07,65
2024-07-08,54
2024-07-09,50
2024-07-10,51
2024-07-11,61
2024-07-12,64
2024-07-13,59
2024-07-14,59
2024-07-15,56
2024-07-16,52
2024-07-17,58
2024-07-18,64
2024-07-19,63
2024-07-20,62
2024-07-21,58
2024-07-22,51
2024-07-23,50
2024-07-24,48
2024-07-25,50
2024-07-26,49
2024-07-27,52
2024-07-28,53
2024-07-29,48
2024-07-30,46
2024-07-31,43
2024-08-01,47
2024-08-02,47
2024-08-03,52
2024-08-04,55
2024-08-05,46
2024-08-06,42
2024-08-07,46
2024-08-08,46
2024-08-09,48
2024-08-10,47
2024-08-11,50
2024-08-12,46
2024-08-13,46
2024-08-14,42
2024-08-15,46
2024-08-16,44
2024-08-17,52
2024-08-18,54
2024-08-19,47
2024-08-20,43
2024-08-21,46
2024-08-22,45
2024-08-23,49
2024-08-24,47
2024-08-25,55
2024-08-26,46
2024-08-27,44
2024-08-28,42
2024-08-29,47
2024-08-30,50
2024-08-31,54
2024-09-01,55
2024-09-02,59
2024-09-03,44
2024-09-04,42
2024-09-05,46
2024-09-06,48
2024-09-07,54
2024-09-08,55
2024-09-09,43
2024-09-10,42
2024-09-11,42
2024-09-12,60
2024-09-13,99
2024-09-14,54
2024-09-15,56
2024-09-16,45
