Time,hulu
2023-12-22,46
2023-12-23,50
2023-12-24,54
2023-12-25,58
2023-12-26,53
2023-12-27,49
2023-12-28,54
2023-12-29,57
2023-12-30,58
2023-12-31,62
2024-01-01,71
2024-01-02,55
2024-01-03,50
2024-01-04,49
2024-01-05,50
2024-01-06,64
2024-01-07,63
2024-01-08,50
2024-01-09,51
2024-01-10,46
2024-01-11,43
2024-01-12,46
2024-01-13,65
2024-01-14,65
2024-01-15,55
2024-01-16,52
2024-01-17,47
2024-01-18,44
2024-01-19,47
2024-01-20,62
2024-01-21,60
2024-01-22,45
2024-01-23,45
2024-01-24,45
2024-01-25,45
2024-01-26,46
2024-01-27,62
2024-01-28,68
2024-01-29,47
2024-01-30,45
2024-01-31,44
2024-02-01,47
2024-02-02,48
2024-02-03,56
2024-02-04,64
2024-02-05,46
2024-02-06,42
2024-02-07,43
2024-02-08,44
2024-02-09,45
2024-02-10,57
2024-02-11,71
2024-02-12,45
2024-02-13,45
2024-02-14,41
2024-02-15,43
2024-02-16,48
2024-02-17,55
2024-02-18,57
2024-02-19,50
2024-02-20,43
2024-02-21,43
2024-02-22,42
2024-02-23,38
2024-02-24,50
2024-02-25,55
2024-02-26,41
2024-02-27,43
2024-02-28,46
2024-02-29,43
2024-03-01,45
2024-03-02,54
2024-03-03,55
2024-03-04,45
2024-03-05,44
2024-03-06,43
2024-03-07,41
2024-03-08,42
2024-03-09,53
2024-03-10,66
2024-03-11,47
2024-03-12,44
2024-03-13,41
2024-03-14,43
2024-03-15,47
2024-03-16,52
2024-03-17,57
2024-03-18,43
2024-03-19,44
2024-03-20,45
2024-03-21,49
2024-03-22,50
2024-03-23,57
2024-03-24,54
2024-03-25,47
2024-03-26,52
2024-03-27,45
2024-03-28,48
2024-03-29,50
2024-03-30,52
2024-03-31,52
2024-04-01,45
2024-04-02,44
2024-04-03,40
2024-04-04,38
2024-04-05,42
2024-04-06,49
2024-04-07,50
2024-04-08,35
2024-04-09,39
2024-04-10,40
2024-04-11,37
2024-04-12,38
2024-04-13,47
2024-04-14,48
2024-04-15,40
2024-04-16,40
2024-04-17,43
2024-04-18,46
2024-04-19,46
2024-04-20,58
2024-04-21,62
2024-04-22,46
2024-04-23,42
2024-04-24,43
2024-04-25,42
2024-04-26,45
2024-04-27,54
2024-04-28,56
2024-04-29,43
2024-04-30,42
2024-05-01,44
2024-05-02,45
2024-05-03,43
2024-05-04,50
2024-05-05,52
2024-05-06,38
2024-05-07,40
2024-05-08,36
2024-05-09,39
2024-05-10,38
2024-05-11,42
2024-05-12,46
2024-05-13,38
2024-05-14,37
2024-05-15,40
2024-05-16,38
2024-05-17,39
2024-05-18,43
2024-05-19,48
2024-05-20,38
2024-05-21,36
2024-05-22,38
2024-05-23,39
2024-05-24,41
2024-05-25,45
2024-05-26,47
2024-05-27,54
2024-05-28,40
2024-05-29,41
2024-05-30,41
2024-05-31,42
2024-06-01,51
2024-06-02,50
2024-06-03,42
2024-06-04,42
2024-06-05,44
2024-06-06,40
2024-06-07,47
2024-06-08,51
2024-06-09,53
2024-06-10,43
2024-06-11,40
2024-06-12,38
2024-06-13,42
2024-06-14,44
2024-06-15,46
2024-06-16,48
2024-06-17,44
2024-06-18,41
2024-06-19,41
2024-06-20,39
2024-06-21,43
2024-06-22,47
2024-06-23,53
2024-06-24,44
2024-06-25,42
2024-06-26,42
2024-06-27,49
2024-06-28,50
2024-06-29,56
2024-06-30,59
2024-07-01,47
2024-07-02,44
2024-07-03,42
2024-07-04,45
2024-07-05,45
2024-07-06,47
2024-07-07,49
2024-07-08,42
2024-07-09,100
2024-07-10,42
2024-07-11,39
2024-07-12,39
2024-07-13,42
2024-07-14,46
2024-07-15,39
2024-07-16,38
2024-07-17,38
2024-07-18,40
2024-07-19,40
2024-07-20,45
2024-07-21,48
2024-07-22,39
2024-07-23,38
2024-07-24,37
2024-07-25,42
2024-07-26,48
2024-07-27,48
2024-07-28,51
2024-07-29,41
2024-07-30,40
2024-07-31,40
2024-08-01,47
2024-08-02,42
2024-08-03,48
2024-08-04,52
2024-08-05,42
2024-08-06,38
2024-08-07,39
2024-08-08,39
2024-08-09,40
2024-08-10,45
2024-08-11,47
2024-08-12,39
2024-08-13,35
2024-08-14,37
2024-08-15,39
2024-08-16,39
2024-08-17,46
2024-08-18,50
2024-08-19,38
2024-08-20,38
2024-08-21,34
2024-08-22,34
2024-08-23,40
2024-08-24,54
2024-08-25,52
2024-08-26,38
2024-08-27,38
2024-08-28,38
2024-08-29,40
2024-08-30,43
2024-08-31,55
2024-09-01,53
2024-09-02,59
2024-09-03,47
2024-09-04,48
2024-09-05,44
2024-09-06,50
2024-09-07,73
2024-09-08,77
2024-09-09,46
2024-09-10,50
2024-09-11,47
2024-09-12,43
2024-09-13,49
2024-09-14,81
2024-09-15,70
2024-09-16,48
