Time,netflix
2023-04-26,64
2023-04-27,60
2023-04-28,63
2023-04-29,81
2023-04-30,91
2023-05-01,67
2023-05-02,60
2023-05-03,56
2023-05-04,61
2023-05-05,62
2023-05-06,73
2023-05-07,80
2023-05-08,61
2023-05-09,57
2023-05-10,56
2023-05-11,55
2023-05-12,63
2023-05-13,80
2023-05-14,85
2023-05-15,64
2023-05-16,65
2023-05-17,63
2023-05-18,61
2023-05-19,67
2023-05-20,79
2023-05-21,84
2023-05-22,64
2023-05-23,67
2023-05-24,83
2023-05-25,86
2023-05-26,87
2023-05-27,95
2023-05-28,92
2023-05-29,96
2023-05-30,73
2023-05-31,69
2023-06-01,72
2023-06-02,73
2023-06-03,86
2023-06-04,96
2023-06-05,75
2023-06-06,73
2023-06-07,73
2023-06-08,72
2023-06-09,72
2023-06-10,79
2023-06-11,89
2023-06-12,78
2023-06-13,71
2023-06-14,69
2023-06-15,71
2023-06-16,68
2023-06-17,88
2023-06-18,94
2023-06-19,87
2023-06-20,73
2023-06-21,71
2023-06-22,70
2023-06-23,75
2023-06-24,85
2023-06-25,93
2023-06-26,74
2023-06-27,71
2023-06-28,65
2023-06-29,70
2023-06-30,75
2023-07-01,84
2023-07-02,87
2023-07-03,75
2023-07-04,86
2023-07-05,71
2023-07-06,67
2023-07-07,72
2023-07-08,92
2023-07-09,96
2023-07-10,73
2023-07-11,67
2023-07-12,68
2023-07-13,70
2023-07-14,71
2023-07-15,79
2023-07-16,92
2023-07-17,69
2023-07-18,67
2023-07-19,68
2023-07-20,67
2023-07-21,67
2023-07-22,74
2023-07-23,82
2023-07-24,68
2023-07-25,66
2023-07-26,63
2023-07-27,63
2023-07-28,68
2023-07-29,75
2023-07-30,81
2023-07-31,65
2023-08-01,62
2023-08-02,60
2023-08-03,61
2023-08-04,65
2023-08-05,75
2023-08-06,82
2023-08-07,67
2023-08-08,64
2023-08-09,61
2023-08-10,65
2023-08-11,67
2023-08-12,84
2023-08-13,83
2023-08-14,68
2023-08-15,62
2023-08-16,66
2023-08-17,60
2023-08-18,64
2023-08-19,84
2023-08-20,85
2023-08-21,67
2023-08-22,62
2023-08-23,65
2023-08-24,60
2023-08-25,63
2023-08-26,77
2023-08-27,81
2023-08-28,61
2023-08-29,59
2023-08-30,63
2023-08-31,65
2023-09-01,72
2023-09-02,79
2023-09-03,89
2023-09-04,97
2023-09-05,71
2023-09-06,65
2023-09-07,62
2023-09-08,66
2023-09-09,76
2023-09-10,78
2023-09-11,68
2023-09-12,57
2023-09-13,62
2023-09-14,58
2023-09-15,62
2023-09-16,74
2023-09-17,81
2023-09-18,63
2023-09-19,59
2023-09-20,58
2023-09-21,57
2023-09-22,62
2023-09-23,77
2023-09-24,81
2023-09-25,62
2023-09-26,59
2023-09-27,59
2023-09-28,58
2023-09-29,64
2023-09-30,80
2023-10-01,81
2023-10-02,63
2023-10-03,62
2023-10-04,60
2023-10-05,61
2023-10-06,63
2023-10-07,78
2023-10-08,80
2023-10-09,63
2023-10-10,60
2023-10-11,64
2023-10-12,61
2023-10-13,64
2023-10-14,84
2023-10-15,83
2023-10-16,62
2023-10-17,58
2023-10-18,60
2023-10-19,69
2023-10-20,68
2023-10-21,82
2023-10-22,86
2023-10-23,67
2023-10-24,61
2023-10-25,61
2023-10-26,59
2023-10-27,62
2023-10-28,78
2023-10-29,79
2023-10-30,69
2023-10-31,62
2023-11-01,62
2023-11-02,58
2023-11-03,62
2023-11-04,79
2023-11-05,80
2023-11-06,65
2023-11-07,60
2023-11-08,59
2023-11-09,57
2023-11-10,68
2023-11-11,84
2023-11-12,89
2023-11-13,65
2023-11-14,60
2023-11-15,63
2023-11-16,64
2023-11-17,62
2023-11-18,75
2023-11-19,83
2023-11-20,66
2023-11-21,70
2023-11-22,75
2023-11-23,90
2023-11-24,86
2023-11-25,91
2023-11-26,91
2023-11-27,65
2023-11-28,61
2023-11-29,61
2023-11-30,64
2023-12-01,63
2023-12-02,80
2023-12-03,80
2023-12-04,63
2023-12-05,61
2023-12-06,60
2023-12-07,58
2023-12-08,62
2023-12-09,90
2023-12-10,100
2023-12-11,85
2023-12-12,82
2023-12-13,70
2023-12-14,72
2023-12-15,75
2023-12-16,82
2023-12-17,87
2023-12-18,69
2023-12-19,68
2023-12-20,71
2023-12-21,74
2023-12-22,77
2023-12-23,82
2023-12-24,86
2023-12-25,92
2023-12-26,87
2023-12-27,84
2023-12-28,82
2023-12-29,84
2023-12-30,90
2023-12-31,91
2024-01-01,97
2024-01-02,82
2024-01-03,81
2024-01-04,77
2024-01-05,81
2024-01-06,100
2024-01-07,97
2024-01-08,76
2024-01-09,72
2024-01-10,69
2024-01-11,70
2024-01-12,74
2024-01-13,89
2024-01-14,94
2024-01-15,85
2024-01-16,74
2024-01-17,75
2024-01-18,71
2024-01-19,78
2024-01-20,95
