Time,netflix
2025-12-11,54
2025-12-12,55
2025-12-13,63
2025-12-14,62
2025-12-15,50
2025-12-16,48
2025-12-17,53
2025-12-18,50
2025-12-19,55
2025-12-20,75
2025-12-21,61
2025-12-22,54
2025-12-23,52
2025-12-24,57
2025-12-25,100
2025-12-26,86
2025-12-27,74
2025-12-28,75
2025-12-29,63
2025-12-30,63
2025-12-31,62
2026-01-01,81
2026-01-02,74
2026-01-03,80
2026-01-04,76
2026-01-05,59
2026-01-06,57
2026-01-07,62
2026-01-08,56
2026-01-09,55
2026-01-10,67
2026-01-11,71
2026-01-12,56
2026-01-13,55
2026-01-14,52
2026-01-15,53
2026-01-16,58
2026-01-17,73
2026-01-18,73
2026-01-19,64
2026-01-20,57
2026-01-21,56
2026-01-22,53
2026-01-23,59
2026-01-24,84
2026-01-25,92
2026-01-26,67
2026-01-27,59
2026-01-28,51
2026-01-29,52
2026-01-30,53
2026-01-31,71
2026-02-01,78
2026-02-02,51
2026-02-03,49
2026-02-04,49
2026-02-05,49
2026-02-06,48
2026-02-07,60
2026-02-08,61
2026-02-09,46
2026-02-10,43
2026-02-11,41
2026-02-12,40
2026-02-13,46
2026-02-14,56
2026-02-15,66
2026-02-16,57
2026-02-17,51
2026-02-18,45
2026-02-19,44
2026-02-20,44
2026-02-21,58
2026-02-22,62
2026-02-23,50
2026-02-24,45
2026-02-25,41
2026-02-26,46
2026-02-27,54
2026-02-28,52
2026-03-01,56
2026-03-02,46
2026-03-03,43
2026-03-04,40
2026-03-05,43
2026-03-06,44
2026-03-07,61
2026-03-08,63
2026-03-09,48
2026-03-10,44
2026-03-11,45
2026-03-12,48
2026-03-13,46
2026-03-14,58
2026-03-15,61
2026-03-16,48
2026-03-17,45
2026-03-18,44
2026-03-19,52
2026-03-20,50
2026-03-21,61
2026-03-22,60
2026-03-23,44
2026-03-24,43
2026-03-25,49
2026-03-26,48
2026-03-27,57
2026-03-28,64
2026-03-29,66
2026-03-30,51
2026-03-31,44
2026-04-01,40
2026-04-02,47
2026-04-03,46
2026-04-04,55
2026-04-05,56
2026-04-06,51
2026-04-07,44
2026-04-08,44
2026-04-09,45
2026-04-10,44
2026-04-11,56
2026-04-12,58
2026-04-13,43
2026-04-14,43
2026-04-15,40
2026-04-16,44
2026-04-17,53
2026-04-18,59
2026-04-19,64
2026-04-20,45
2026-04-21,45
2026-04-22,43
2026-04-23,42
2026-04-24,42
2026-04-25,53
2026-04-26,64
2026-04-27,45
2026-04-28,39
2026-04-29,39
2026-04-30,40
2026-05-01,44
2026-05-02,55
2026-05-03,60
2026-05-04,48
2026-05-05,50
2026-05-06,45
2026-05-07,42
2026-05-08,46
2026-05-09,54
2026-05-10,59
2026-05-11,48
2026-05-12,45
2026-05-13,44
2026-05-14,46
2026-05-15,49
2026-05-16,77
2026-05-17,93
2026-05-18,53
2026-05-19,50
2026-05-20,51
2026-05-21,53
2026-05-22,55
2026-05-23,67
2026-05-24,75
2026-05-25,69
2026-05-26,53
2026-05-27,49
2026-05-28,51
2026-05-29,52
2026-05-30,63
2026-05-31,64
