Time,netflix
2023-12-22,65
2023-12-23,69
2023-12-24,73
2023-12-25,77
2023-12-26,73
2023-12-27,71
2023-12-28,69
2023-12-29,71
2023-12-30,76
2023-12-31,76
2024-01-01,81
2024-01-02,69
2024-01-03,69
2024-01-04,65
2024-01-05,68
2024-01-06,84
2024-01-07,82
2024-01-08,64
2024-01-09,61
2024-01-10,59
2024-01-11,59
2024-01-12,63
2024-01-13,75
2024-01-14,79
2024-01-15,72
2024-01-16,63
2024-01-17,63
2024-01-18,60
2024-01-19,66
2024-01-20,80
2024-01-21,79
2024-01-22,61
2024-01-23,63
2024-01-24,62
2024-01-25,64
2024-01-26,64
2024-01-27,81
2024-01-28,80
2024-01-29,55
2024-01-30,58
2024-01-31,55
2024-02-01,58
2024-02-02,58
2024-02-03,75
2024-02-04,82
2024-02-05,56
2024-02-06,52
2024-02-07,50
2024-02-08,53
2024-02-09,56
2024-02-10,75
2024-02-11,78
2024-02-12,47
2024-02-13,55
2024-02-14,53
2024-02-15,57
2024-02-16,60
2024-02-17,78
2024-02-18,87
2024-02-19,68
2024-02-20,59
2024-02-21,58
2024-02-22,73
2024-02-23,85
2024-02-24,98
2024-02-25,100
2024-02-26,70
2024-02-27,59
2024-02-28,59
2024-02-29,58
2024-03-01,62
2024-03-02,76
2024-03-03,88
2024-03-04,60
2024-03-05,55
2024-03-06,58
2024-03-07,56
2024-03-08,61
2024-03-09,82
2024-03-10,86
2024-03-11,58
2024-03-12,54
2024-03-13,58
2024-03-14,56
2024-03-15,55
2024-03-16,67
2024-03-17,76
2024-03-18,57
2024-03-19,50
2024-03-20,50
2024-03-21,50
2024-03-22,56
2024-03-23,72
2024-03-24,73
2024-03-25,56
2024-03-26,51
2024-03-27,51
2024-03-28,52
2024-03-29,53
2024-03-30,63
2024-03-31,67
2024-04-01,56
2024-04-02,53
2024-04-03,52
2024-04-04,52
2024-04-05,53
2024-04-06,65
2024-04-07,67
2024-04-08,48
2024-04-09,47
2024-04-10,49
2024-04-11,49
2024-04-12,53
2024-04-13,60
2024-04-14,67
2024-04-15,50
2024-04-16,47
2024-04-17,48
2024-04-18,49
2024-04-19,52
2024-04-20,62
2024-04-21,67
2024-04-22,51
2024-04-23,48
2024-04-24,49
2024-04-25,48
2024-04-26,47
2024-04-27,62
2024-04-28,69
2024-04-29,49
2024-04-30,46
2024-05-01,45
2024-05-02,47
2024-05-03,53
2024-05-04,66
2024-05-05,74
2024-05-06,59
2024-05-07,51
2024-05-08,48
2024-05-09,49
2024-05-10,50
2024-05-11,61
2024-05-12,67
2024-05-13,52
2024-05-14,49
2024-05-15,51
2024-05-16,53
2024-05-17,57
2024-05-18,65
2024-05-19,68
2024-05-20,51
2024-05-21,46
2024-05-22,50
2024-05-23,51
2024-05-24,54
2024-05-25,61
2024-05-26,68
2024-05-27,76
2024-05-28,59
2024-05-29,51
2024-05-30,54
2024-05-31,55
2024-06-01,73
2024-06-02,79
2024-06-03,61
2024-06-04,58
2024-06-05,58
2024-06-06,59
2024-06-07,58
2024-06-08,72
2024-06-09,74
2024-06-10,61
2024-06-11,62
2024-06-12,58
2024-06-13,57
2024-06-14,56
2024-06-15,61
2024-06-16,67
2024-06-17,53
2024-06-18,50
2024-06-19,56
2024-06-20,52
2024-06-21,56
2024-06-22,63
2024-06-23,66
2024-06-24,55
2024-06-25,50
2024-06-26,48
2024-06-27,50
2024-06-28,50
2024-06-29,61
2024-06-30,66
2024-07-01,51
2024-07-02,49
2024-07-03,48
2024-07-04,63
2024-07-05,56
2024-07-06,64
2024-07-07,71
2024-07-08,54
2024-07-09,50
2024-07-10,51
2024-07-11,50
2024-07-12,53
2024-07-13,58
2024-07-14,57
2024-07-15,49
2024-07-16,49
2024-07-17,48
2024-07-18,51
2024-07-19,53
2024-07-20,62
2024-07-21,66
2024-07-22,51
2024-07-23,50
2024-07-24,47
2024-07-25,68
2024-07-26,81
2024-07-27,72
2024-07-28,65
2024-07-29,52
2024-07-30,50
2024-07-31,47
2024-08-01,46
2024-08-02,48
2024-08-03,59
2024-08-04,61
2024-08-05,50
2024-08-06,47
2024-08-07,48
2024-08-08,45
2024-08-09,48
2024-08-10,51
2024-08-11,58
2024-08-12,45
2024-08-13,46
2024-08-14,45
2024-08-15,47
2024-08-16,47
2024-08-17,60
2024-08-18,60
2024-08-19,50
2024-08-20,46
2024-08-21,45
2024-08-22,44
2024-08-23,49
2024-08-24,60
2024-08-25,66
2024-08-26,50
2024-08-27,49
2024-08-28,49
2024-08-29,47
2024-08-30,50
2024-08-31,63
2024-09-01,71
2024-09-02,72
2024-09-03,51
2024-09-04,49
2024-09-05,48
2024-09-06,50
2024-09-07,59
2024-09-08,64
2024-09-09,49
2024-09-10,45
2024-09-11,42
2024-09-12,46
2024-09-13,49
2024-09-14,60
2024-09-15,59
2024-09-16,48
