Time,holi
2023-04-26,40
2023-04-27,41
2023-04-28,45
2023-04-29,39
2023-04-30,48
2023-05-01,40
2023-05-02,35
2023-05-03,41
2023-05-04,38
2023-05-05,50
2023-05-06,29
2023-05-07,37
2023-05-08,50
2023-05-09,41
2023-05-10,40
2023-05-11,32
2023-05-12,40
2023-05-13,27
2023-05-14,32
2023-05-15,34
2023-05-16,31
2023-05-17,35
2023-05-18,36
2023-05-19,33
2023-05-20,29
2023-05-21,40
2023-05-22,34
2023-05-23,30
2023-05-24,31
2023-05-25,31
2023-05-26,26
2023-05-27,29
2023-05-28,29
2023-05-29,28
2023-05-30,22
2023-05-31,26
2023-06-01,22
2023-06-02,26
2023-06-03,23
2023-06-04,24
2023-06-05,23
2023-06-06,27
2023-06-07,18
2023-06-08,20
2023-06-09,27
2023-06-10,24
2023-06-11,20
2023-06-12,22
2023-06-13,20
2023-06-14,18
2023-06-15,22
2023-06-16,25
2023-06-17,17
2023-06-18,21
2023-06-19,24
2023-06-20,24
2023-06-21,21
2023-06-22,15
2023-06-23,19
2023-06-24,18
2023-06-25,20
2023-06-26,18
2023-06-27,19
2023-06-28,16
2023-06-29,23
2023-06-30,16
2023-07-01,21
2023-07-02,18
2023-07-03,16
2023-07-04,22
2023-07-05,18
2023-07-06,17
2023-07-07,22
2023-07-08,15
2023-07-09,22
2023-07-10,18
2023-07-11,19
2023-07-12,20
2023-07-13,19
2023-07-14,20
2023-07-15,22
2023-07-16,20
2023-07-17,19
2023-07-18,15
2023-07-19,16
2023-07-20,18
2023-07-21,15
2023-07-22,17
2023-07-23,14
2023-07-24,19
2023-07-25,15
2023-07-26,21
2023-07-27,23
2023-07-28,21
2023-07-29,25
2023-07-30,24
2023-07-31,21
2023-08-01,17
2023-08-02,19
2023-08-03,15
2023-08-04,20
2023-08-05,20
2023-08-06,18
2023-08-07,17
2023-08-08,18
2023-08-09,14
2023-08-10,19
2023-08-11,23
2023-08-12,15
2023-08-13,19
2023-08-14,22
2023-08-15,37
2023-08-16,21
2023-08-17,26
2023-08-18,24
2023-08-19,16
2023-08-20,22
2023-08-21,16
2023-08-22,21
2023-08-23,27
2023-08-24,29
2023-08-25,25
2023-08-26,18
2023-08-27,21
2023-08-28,24
2023-08-29,26
2023-08-30,21
2023-08-31,32
2023-09-01,23
2023-09-02,20
2023-09-03,19
2023-09-04,25
2023-09-05,23
2023-09-06,28
2023-09-07,24
2023-09-08,29
2023-09-09,23
2023-09-10,24
2023-09-11,29
2023-09-12,31
2023-09-13,33
2023-09-14,33
2023-09-15,42
2023-09-16,24
2023-09-17,22
2023-09-18,35
2023-09-19,34
2023-09-20,24
2023-09-21,34
2023-09-22,36
2023-09-23,19
2023-09-24,22
2023-09-25,27
2023-09-26,32
2023-09-27,100
2023-09-28,49
2023-09-29,49
2023-09-30,20
2023-10-01,21
2023-10-02,39
2023-10-03,37
2023-10-04,32
2023-10-05,37
2023-10-06,36
2023-10-07,24
2023-10-08,34
2023-10-09,26
2023-10-10,36
2023-10-11,30
2023-10-12,35
2023-10-13,26
2023-10-14,22
2023-10-15,18
2023-10-16,28
2023-10-17,35
2023-10-18,34
2023-10-19,34
2023-10-20,36
2023-10-21,23
2023-10-22,21
2023-10-23,35
2023-10-24,38
2023-10-25,32
2023-10-26,32
2023-10-27,33
2023-10-28,24
2023-10-29,23
2023-10-30,36
2023-10-31,49
2023-11-01,58
2023-11-02,50
2023-11-03,42
2023-11-04,25
2023-11-05,23
2023-11-06,38
2023-11-07,39
2023-11-08,39
2023-11-09,44
2023-11-10,39
2023-11-11,42
2023-11-12,44
2023-11-13,58
2023-11-14,44
2023-11-15,39
2023-11-16,42
2023-11-17,35
2023-11-18,25
2023-11-19,33
2023-11-20,31
2023-11-21,30
2023-11-22,29
2023-11-23,29
2023-11-24,24
2023-11-25,16
2023-11-26,21
2023-11-27,39
2023-11-28,37
2023-11-29,39
2023-11-30,36
2023-12-01,39
2023-12-02,20
2023-12-03,26
2023-12-04,47
2023-12-05,44
2023-12-06,44
2023-12-07,49
2023-12-08,71
2023-12-09,33
2023-12-10,25
2023-12-11,45
2023-12-12,48
2023-12-13,53
2023-12-14,52
2023-12-15,47
2023-12-16,30
2023-12-17,25
2023-12-18,52
2023-12-19,39
2023-12-20,52
2023-12-21,42
2023-12-22,33
2023-12-23,33
2023-12-24,27
2023-12-25,37
2023-12-26,28
2023-12-27,29
2023-12-28,28
2023-12-29,23
2023-12-30,26
2023-12-31,32
2024-01-01,40
2024-01-02,31
2024-01-03,41
2024-01-04,37
2024-01-05,35
2024-01-06,32
2024-01-07,31
2024-01-08,38
2024-01-09,36
2024-01-10,37
2024-01-11,46
2024-01-12,39
2024-01-13,31
2024-01-14,38
2024-01-15,35
2024-01-16,41
2024-01-17,35
2024-01-18,44
2024-01-19,43
2024-01-20,36
