Time,academy
2024-08-18,64
2024-08-19,77
2024-08-20,75
2024-08-21,72
2024-08-22,72
2024-08-23,76
2024-08-24,66
2024-08-25,63
2024-08-26,77
2024-08-27,72
2024-08-28,72
2024-08-29,72
2024-08-30,67
2024-08-31,54
2024-09-01,55
2024-09-02,55
2024-09-03,70
2024-09-04,69
2024-09-05,68
2024-09-06,63
2024-09-07,53
2024-09-08,49
2024-09-09,66
2024-09-10,65
2024-09-11,62
2024-09-12,65
2024-09-13,61
2024-09-14,49
2024-09-15,45
2024-09-16,62
2024-09-17,64
2024-09-18,62
2024-09-19,62
2024-09-20,58
2024-09-21,47
2024-09-22,44
2024-09-23,58
2024-09-24,58
2024-09-25,56
2024-09-26,57
2024-09-27,54
2024-09-28,44
2024-09-29,42
2024-09-30,55
2024-10-01,57
2024-10-02,56
2024-10-03,56
2024-10-04,61
2024-10-05,45
2024-10-06,41
2024-10-07,56
2024-10-08,55
2024-10-09,51
2024-10-10,53
2024-10-11,54
2024-10-12,43
2024-10-13,41
2024-10-14,53
2024-10-15,56
2024-10-16,57
2024-10-17,55
2024-10-18,55
2024-10-19,43
2024-10-20,40
2024-10-21,55
2024-10-22,54
2024-10-23,55
2024-10-24,54
2024-10-25,51
2024-10-26,42
2024-10-27,39
2024-10-28,54
2024-10-29,54
2024-10-30,54
2024-10-31,50
2024-11-01,54
2024-11-02,43
2024-11-03,40
2024-11-04,54
2024-11-05,46
2024-11-06,36
2024-11-07,50
2024-11-08,55
2024-11-09,45
2024-11-10,40
2024-11-11,51
2024-11-12,56
2024-11-13,57
2024-11-14,51
2024-11-15,52
2024-11-16,42
2024-11-17,41
2024-11-18,58
2024-11-19,56
2024-11-20,57
2024-11-21,54
2024-11-22,53
2024-11-23,43
2024-11-24,42
2024-11-25,49
2024-11-26,48
2024-11-27,44
2024-11-28,42
2024-11-29,59
2024-11-30,48
2024-12-01,44
2024-12-02,59
2024-12-03,58
2024-12-04,56
2024-12-05,57
2024-12-06,55
2024-12-07,50
2024-12-08,45
2024-12-09,55
2024-12-10,57
2024-12-11,52
2024-12-12,58
2024-12-13,53
2024-12-14,53
2024-12-15,47
2024-12-16,59
2024-12-17,57
2024-12-18,58
2024-12-19,55
2024-12-20,58
2024-12-21,45
2024-12-22,44
2024-12-23,47
2024-12-24,47
2024-12-25,31
2024-12-26,41
2024-12-27,43
2024-12-28,39
2024-12-29,39
2024-12-30,40
2024-12-31,40
2025-01-01,38
2025-01-02,46
2025-01-03,46
2025-01-04,44
2025-01-05,44
2025-01-06,57
2025-01-07,61
2025-01-08,57
2025-01-09,58
2025-01-10,53
2025-01-11,43
2025-01-12,41
2025-01-13,59
2025-01-14,58
2025-01-15,59
2025-01-16,60
2025-01-17,57
2025-01-18,43
2025-01-19,38
2025-01-20,45
2025-01-21,53
2025-01-22,53
2025-01-23,63
2025-01-24,60
2025-01-25,46
2025-01-26,45
2025-01-27,56
2025-01-28,59
2025-01-29,60
2025-01-30,55
2025-01-31,56
2025-02-01,44
2025-02-02,45
2025-02-03,57
2025-02-04,57
2025-02-05,56
2025-02-06,59
2025-02-07,56
2025-02-08,44
2025-02-09,40
2025-02-10,50
2025-02-11,56
2025-02-12,58
2025-02-13,56
2025-02-14,53
2025-02-15,43
2025-02-16,43
2025-02-17,49
2025-02-18,57
2025-02-19,56
2025-02-20,54
2025-02-21,57
2025-02-22,48
2025-02-23,45
2025-02-24,60
2025-02-25,61
2025-02-26,59
2025-02-27,59
2025-02-28,59
2025-03-01,50
2025-03-02,57
2025-03-03,100
2025-03-04,65
2025-03-05,59
2025-03-06,58
2025-03-07,58
2025-03-08,48
2025-03-09,45
2025-03-10,58
2025-03-11,56
2025-03-12,53
2025-03-13,55
2025-03-14,52
2025-03-15,45
2025-03-16,44
2025-03-17,54
2025-03-18,56
2025-03-19,55
2025-03-20,53
2025-03-21,51
2025-03-22,44
2025-03-23,44
2025-03-24,55
2025-03-25,55
2025-03-26,52
2025-03-27,54
2025-03-28,51
2025-03-29,44
2025-03-30,43
2025-03-31,58
2025-04-01,56
2025-04-02,52
2025-04-03,56
2025-04-04,52
2025-04-05,43
2025-04-06,42
2025-04-07,54
2025-04-08,54
2025-04-09,54
2025-04-10,52
2025-04-11,54
2025-04-12,43
2025-04-13,41
2025-04-14,52
2025-04-15,56
2025-04-16,55
2025-04-17,54
2025-04-18,47
2025-04-19,40
2025-04-20,41
2025-04-21,53
2025-04-22,52
2025-04-23,55
2025-04-24,54
2025-04-25,51
2025-04-26,42
2025-04-27,40
2025-04-28,63
2025-04-29,57
2025-04-30,57
2025-05-01,57
2025-05-02,55
2025-05-03,46
2025-05-04,47
2025-05-05,56
2025-05-06,57
2025-05-07,57
2025-05-08,54
2025-05-09,54
2025-05-10,46
2025-05-11,42
2025-05-12,55
2025-05-13,56
2025-05-14,58
