Time,academy
2022-08-29,63
2022-08-30,63
2022-08-31,61
2022-09-01,60
2022-09-02,57
2022-09-03,48
2022-09-04,44
2022-09-05,47
2022-09-06,63
2022-09-07,58
2022-09-08,57
2022-09-09,54
2022-09-10,47
2022-09-11,41
2022-09-12,60
2022-09-13,56
2022-09-14,57
2022-09-15,61
2022-09-16,59
2022-09-17,48
2022-09-18,41
2022-09-19,56
2022-09-20,56
2022-09-21,53
2022-09-22,56
2022-09-23,54
2022-09-24,44
2022-09-25,39
2022-09-26,52
2022-09-27,53
2022-09-28,50
2022-09-29,54
2022-09-30,53
2022-10-01,43
2022-10-02,37
2022-10-03,53
2022-10-04,53
2022-10-05,53
2022-10-06,53
2022-10-07,51
2022-10-08,42
2022-10-09,40
2022-10-10,50
2022-10-11,52
2022-10-12,52
2022-10-13,53
2022-10-14,51
2022-10-15,39
2022-10-16,39
2022-10-17,51
2022-10-18,52
2022-10-19,53
2022-10-20,49
2022-10-21,49
2022-10-22,40
2022-10-23,37
2022-10-24,52
2022-10-25,52
2022-10-26,53
2022-10-27,59
2022-10-28,54
2022-10-29,40
2022-10-30,36
2022-10-31,55
2022-11-01,52
2022-11-02,52
2022-11-03,53
2022-11-04,51
2022-11-05,48
2022-11-06,46
2022-11-07,53
2022-11-08,49
2022-11-09,47
2022-11-10,50
2022-11-11,47
2022-11-12,41
2022-11-13,39
2022-11-14,54
2022-11-15,52
2022-11-16,55
2022-11-17,55
2022-11-18,52
2022-11-19,45
2022-11-20,42
2022-11-21,46
2022-11-22,44
2022-11-23,43
2022-11-24,39
2022-11-25,58
2022-11-26,46
2022-11-27,45
2022-11-28,61
2022-11-29,56
2022-11-30,54
2022-12-01,54
2022-12-02,54
2022-12-03,45
2022-12-04,41
2022-12-05,54
2022-12-06,53
2022-12-07,52
2022-12-08,52
2022-12-09,52
2022-12-10,47
2022-12-11,46
2022-12-12,54
2022-12-13,53
2022-12-14,53
2022-12-15,53
2022-12-16,53
2022-12-17,49
2022-12-18,43
2022-12-19,54
2022-12-20,51
2022-12-21,50
2022-12-22,47
2022-12-23,44
2022-12-24,38
2022-12-25,28
2022-12-26,38
2022-12-27,39
2022-12-28,40
2022-12-29,41
2022-12-30,37
2022-12-31,34
2023-01-01,35
2023-01-02,44
2023-01-03,48
2023-01-04,51
2023-01-05,51
2023-01-06,50
2023-01-07,41
2023-01-08,40
2023-01-09,55
2023-01-10,57
2023-01-11,58
2023-01-12,54
2023-01-13,53
2023-01-14,42
2023-01-15,37
2023-01-16,46
2023-01-17,53
2023-01-18,54
2023-01-19,54
2023-01-20,52
2023-01-21,43
2023-01-22,38
2023-01-23,54
2023-01-24,60
2023-01-25,57
2023-01-26,56
2023-01-27,52
2023-01-28,44
2023-01-29,41
2023-01-30,57
2023-01-31,56
2023-02-01,56
2023-02-02,54
2023-02-03,54
2023-02-04,44
2023-02-05,42
2023-02-06,57
2023-02-07,55
2023-02-08,54
2023-02-09,53
2023-02-10,53
2023-02-11,44
2023-02-12,39
2023-02-13,49
2023-02-14,50
2023-02-15,57
2023-02-16,54
2023-02-17,52
2023-02-18,42
2023-02-19,44
2023-02-20,46
2023-02-21,53
2023-02-22,53
2023-02-23,53
2023-02-24,52
2023-02-25,47
2023-02-26,49
2023-02-27,57
2023-02-28,56
2023-03-01,56
2023-03-02,55
2023-03-03,51
2023-03-04,45
2023-03-05,46
2023-03-06,54
2023-03-07,56
2023-03-08,54
2023-03-09,56
2023-03-10,58
2023-03-11,47
2023-03-12,59
2023-03-13,100
2023-03-14,56
2023-03-15,52
2023-03-16,55
2023-03-17,48
2023-03-18,40
2023-03-19,42
2023-03-20,53
2023-03-21,52
2023-03-22,53
2023-03-23,52
2023-03-24,49
2023-03-25,42
2023-03-26,39
2023-03-27,56
2023-03-28,52
2023-03-29,51
2023-03-30,52
2023-03-31,49
2023-04-01,43
2023-04-02,39
2023-04-03,52
2023-04-04,48
2023-04-05,47
2023-04-06,49
2023-04-07,45
2023-04-08,38
2023-04-09,35
2023-04-10,50
2023-04-11,52
2023-04-12,50
2023-04-13,50
2023-04-14,50
2023-04-15,40
2023-04-16,39
2023-04-17,51
2023-04-18,51
2023-04-19,49
2023-04-20,50
2023-04-21,50
2023-04-22,40
2023-04-23,38
2023-04-24,52
2023-04-25,51
2023-04-26,53
2023-04-27,50
2023-04-28,48
2023-04-29,39
2023-04-30,39
2023-05-01,53
2023-05-02,51
2023-05-03,51
2023-05-04,52
2023-05-05,48
2023-05-06,39
2023-05-07,38
2023-05-08,51
2023-05-09,50
2023-05-10,50
2023-05-11,50
2023-05-12,50
2023-05-13,41
2023-05-14,36
2023-05-15,53
2023-05-16,53
2023-05-17,53
2023-05-18,53
2023-05-19,52
2023-05-20,41
2023-05-21,39
2023-05-22,52
2023-05-23,53
2023-05-24,53
2023-05-25,52
