Time,who won the presidential election
2025-12-11,68
2025-12-12,49
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,50
2025-12-17,53
2025-12-18,0
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,0
2026-01-03,91
2026-01-04,70
2026-01-05,53
2026-01-06,44
2026-01-07,53
2026-01-08,51
2026-01-09,63
2026-01-10,0
2026-01-11,0
2026-01-12,0
2026-01-13,36
2026-01-14,55
2026-01-15,60
2026-01-16,84
2026-01-17,40
2026-01-18,0
2026-01-19,0
2026-01-20,78
2026-01-21,42
2026-01-22,70
2026-01-23,62
2026-01-24,0
2026-01-25,0
2026-01-26,66
2026-01-27,73
2026-01-28,44
2026-01-29,36
2026-01-30,69
2026-01-31,0
2026-02-01,0
2026-02-02,67
2026-02-03,60
2026-02-04,69
2026-02-05,58
2026-02-06,55
2026-02-07,0
2026-02-08,0
2026-02-09,52
2026-02-10,60
2026-02-11,71
2026-02-12,57
2026-02-13,0
2026-02-14,0
2026-02-15,0
2026-02-16,57
2026-02-17,62
2026-02-18,56
2026-02-19,46
2026-02-20,44
2026-02-21,0
2026-02-22,0
2026-02-23,38
2026-02-24,41
2026-02-25,58
2026-02-26,36
2026-02-27,54
2026-02-28,0
2026-03-01,0
2026-03-02,43
2026-03-03,45
2026-03-04,66
2026-03-05,41
2026-03-06,59
2026-03-07,0
2026-03-08,0
2026-03-09,64
2026-03-10,55
2026-03-11,0
2026-03-12,46
2026-03-13,43
2026-03-14,0
2026-03-15,0
2026-03-16,50
2026-03-17,34
2026-03-18,41
2026-03-19,40
2026-03-20,39
2026-03-21,0
2026-03-22,0
2026-03-23,61
2026-03-24,42
2026-03-25,0
2026-03-26,53
2026-03-27,0
2026-03-28,0
2026-03-29,0
2026-03-30,59
2026-03-31,40
2026-04-01,53
2026-04-02,0
2026-04-03,0
2026-04-04,0
2026-04-05,0
2026-04-06,40
2026-04-07,0
2026-04-08,50
2026-04-09,55
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,95
2026-04-14,73
2026-04-15,57
2026-04-16,58
2026-04-17,59
2026-04-18,0
2026-04-19,0
2026-04-20,69
2026-04-21,69
2026-04-22,57
2026-04-23,41
2026-04-24,37
2026-04-25,0
2026-04-26,0
2026-04-27,71
2026-04-28,47
2026-04-29,0
2026-04-30,50
2026-05-01,41
2026-05-02,0
2026-05-03,0
2026-05-04,56
2026-05-05,54
2026-05-06,59
2026-05-07,68
2026-05-08,100
2026-05-09,0
2026-05-10,49
2026-05-11,40
2026-05-12,67
2026-05-13,0
2026-05-14,42
2026-05-15,0
2026-05-16,0
2026-05-17,0
2026-05-18,42
2026-05-19,34
2026-05-20,0
2026-05-21,0
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,0
2026-05-26,0
2026-05-27,0
2026-05-28,0
2026-05-29,55
2026-05-30,0
2026-05-31,0
