Time,mcdonald's
2023-12-22,22
2023-12-23,26
2023-12-24,35
2023-12-25,100
2023-12-26,46
2023-12-27,25
2023-12-28,23
2023-12-29,25
2023-12-30,27
2023-12-31,27
2024-01-01,44
2024-01-02,21
2024-01-03,19
2024-01-04,20
2024-01-05,19
2024-01-06,24
2024-01-07,22
2024-01-08,17
2024-01-09,16
2024-01-10,17
2024-01-11,17
2024-01-12,19
2024-01-13,22
2024-01-14,21
2024-01-15,21
2024-01-16,16
2024-01-17,17
2024-01-18,17
2024-01-19,18
2024-01-20,23
2024-01-21,22
2024-01-22,17
2024-01-23,17
2024-01-24,18
2024-01-25,19
2024-01-26,19
2024-01-27,23
2024-01-28,22
2024-01-29,16
2024-01-30,17
2024-01-31,16
2024-02-01,18
2024-02-02,18
2024-02-03,24
2024-02-04,25
2024-02-05,16
2024-02-06,17
2024-02-07,17
2024-02-08,18
2024-02-09,20
2024-02-10,27
2024-02-11,25
2024-02-12,14
2024-02-13,15
2024-02-14,17
2024-02-15,17
2024-02-16,18
2024-02-17,24
2024-02-18,26
2024-02-19,20
2024-02-20,17
2024-02-21,16
2024-02-22,18
2024-02-23,19
2024-02-24,25
2024-02-25,24
2024-02-26,19
2024-02-27,18
2024-02-28,18
2024-02-29,20
2024-03-01,21
2024-03-02,25
2024-03-03,25
2024-03-04,16
2024-03-05,17
2024-03-06,17
2024-03-07,18
2024-03-08,20
2024-03-09,24
2024-03-10,24
2024-03-11,18
2024-03-12,17
2024-03-13,18
2024-03-14,19
2024-03-15,21
2024-03-16,27
2024-03-17,27
2024-03-18,19
2024-03-19,17
2024-03-20,19
2024-03-21,18
2024-03-22,20
2024-03-23,24
2024-03-24,24
2024-03-25,18
2024-03-26,19
2024-03-27,22
2024-03-28,21
2024-03-29,22
2024-03-30,24
2024-03-31,32
2024-04-01,21
2024-04-02,19
2024-04-03,22
2024-04-04,18
2024-04-05,20
2024-04-06,23
2024-04-07,23
2024-04-08,16
2024-04-09,16
2024-04-10,17
2024-04-11,17
2024-04-12,18
2024-04-13,23
2024-04-14,24
2024-04-15,17
2024-04-16,16
2024-04-17,17
2024-04-18,18
2024-04-19,18
2024-04-20,25
2024-04-21,25
2024-04-22,17
2024-04-23,17
2024-04-24,18
2024-04-25,17
2024-04-26,18
2024-04-27,23
2024-04-28,23
2024-04-29,17
2024-04-30,17
2024-05-01,16
2024-05-02,17
2024-05-03,18
2024-05-04,22
2024-05-05,23
2024-05-06,16
2024-05-07,16
2024-05-08,16
2024-05-09,17
2024-05-10,18
2024-05-11,23
2024-05-12,24
2024-05-13,19
2024-05-14,17
2024-05-15,17
2024-05-16,18
2024-05-17,21
2024-05-18,25
2024-05-19,26
2024-05-20,19
2024-05-21,18
2024-05-22,20
2024-05-23,20
2024-05-24,21
2024-05-25,25
2024-05-26,27
2024-05-27,24
2024-05-28,19
2024-05-29,19
2024-05-30,25
2024-05-31,27
2024-06-01,25
2024-06-02,26
2024-06-03,18
2024-06-04,18
2024-06-05,20
2024-06-06,20
2024-06-07,21
2024-06-08,26
2024-06-09,25
2024-06-10,18
2024-06-11,19
2024-06-12,19
2024-06-13,20
2024-06-14,21
2024-06-15,25
2024-06-16,24
2024-06-17,19
2024-06-18,19
2024-06-19,19
2024-06-20,20
2024-06-21,23
2024-06-22,27
2024-06-23,28
2024-06-24,22
2024-06-25,23
2024-06-26,24
2024-06-27,27
2024-06-28,24
2024-06-29,26
2024-06-30,26
2024-07-01,22
2024-07-02,22
2024-07-03,24
2024-07-04,33
2024-07-05,28
2024-07-06,26
2024-07-07,26
2024-07-08,22
2024-07-09,23
2024-07-10,22
2024-07-11,22
2024-07-12,23
2024-07-13,25
2024-07-14,24
2024-07-15,20
2024-07-16,19
2024-07-17,20
2024-07-18,22
2024-07-19,22
2024-07-20,26
2024-07-21,26
2024-07-22,19
2024-07-23,19
2024-07-24,20
2024-07-25,20
2024-07-26,20
2024-07-27,25
2024-07-28,25
2024-07-29,19
2024-07-30,20
2024-07-31,19
2024-08-01,21
2024-08-02,20
2024-08-03,24
2024-08-04,25
2024-08-05,18
2024-08-06,18
2024-08-07,19
2024-08-08,20
2024-08-09,21
2024-08-10,24
2024-08-11,24
2024-08-12,19
2024-08-13,24
2024-08-14,26
2024-08-15,25
2024-08-16,25
2024-08-17,27
2024-08-18,28
2024-08-19,20
2024-08-20,21
2024-08-21,21
2024-08-22,21
2024-08-23,22
2024-08-24,27
2024-08-25,28
2024-08-26,19
2024-08-27,18
2024-08-28,18
2024-08-29,17
2024-08-30,21
2024-08-31,25
2024-09-01,26
2024-09-02,25
2024-09-03,16
2024-09-04,17
2024-09-05,17
2024-09-06,18
2024-09-07,24
2024-09-08,22
2024-09-09,16
2024-09-10,17
2024-09-11,18
2024-09-12,18
2024-09-13,19
2024-09-14,25
2024-09-15,25
2024-09-16,18
