Time,kamala
2023-04-26,36
2023-04-27,28
2023-04-28,27
2023-04-29,28
2023-04-30,27
2023-05-01,24
2023-05-02,24
2023-05-03,67
2023-05-04,41
2023-05-05,73
2023-05-06,45
2023-05-07,22
2023-05-08,23
2023-05-09,23
2023-05-10,22
2023-05-11,22
2023-05-12,31
2023-05-13,27
2023-05-14,23
2023-05-15,24
2023-05-16,22
2023-05-17,24
2023-05-18,22
2023-05-19,20
2023-05-20,19
2023-05-21,15
2023-05-22,18
2023-05-23,16
2023-05-24,16
2023-05-25,17
2023-05-26,13
2023-05-27,19
2023-05-28,18
2023-05-29,51
2023-05-30,23
2023-05-31,15
2023-06-01,18
2023-06-02,20
2023-06-03,15
2023-06-04,15
2023-06-05,15
2023-06-06,15
2023-06-07,16
2023-06-08,18
2023-06-09,18
2023-06-10,16
2023-06-11,16
2023-06-12,18
2023-06-13,18
2023-06-14,32
2023-06-15,25
2023-06-16,21
2023-06-17,21
2023-06-18,18
2023-06-19,21
2023-06-20,23
2023-06-21,19
2023-06-22,13
2023-06-23,19
2023-06-24,37
2023-06-25,43
2023-06-26,20
2023-06-27,39
2023-06-28,37
2023-06-29,25
2023-06-30,23
2023-07-01,17
2023-07-02,16
2023-07-03,15
2023-07-04,15
2023-07-05,16
2023-07-06,18
2023-07-07,30
2023-07-08,100
2023-07-09,31
2023-07-10,16
2023-07-11,16
2023-07-12,20
2023-07-13,68
2023-07-14,73
2023-07-15,41
2023-07-16,49
2023-07-17,47
2023-07-18,24
2023-07-19,20
2023-07-20,19
2023-07-21,29
2023-07-22,50
2023-07-23,57
2023-07-24,27
2023-07-25,25
2023-07-26,22
2023-07-27,19
2023-07-28,21
2023-07-29,22
2023-07-30,24
2023-07-31,26
2023-08-01,31
2023-08-02,25
2023-08-03,27
2023-08-04,23
2023-08-05,20
2023-08-06,24
2023-08-07,25
2023-08-08,22
2023-08-09,16
2023-08-10,17
2023-08-11,19
2023-08-12,20
2023-08-13,20
2023-08-14,16
2023-08-15,34
2023-08-16,31
2023-08-17,15
2023-08-18,15
2023-08-19,16
2023-08-20,14
2023-08-21,16
2023-08-22,17
2023-08-23,15
2023-08-24,21
2023-08-25,18
2023-08-26,18
2023-08-27,22
2023-08-28,19
2023-08-29,19
2023-08-30,16
2023-08-31,17
2023-09-01,13
2023-09-02,15
2023-09-03,14
2023-09-04,16
2023-09-05,16
2023-09-06,30
2023-09-07,34
2023-09-08,28
2023-09-09,22
2023-09-10,44
2023-09-11,74
2023-09-12,58
2023-09-13,28
2023-09-14,29
2023-09-15,26
2023-09-16,20
2023-09-17,18
2023-09-18,15
2023-09-19,18
2023-09-20,17
2023-09-21,16
2023-09-22,16
2023-09-23,18
2023-09-24,18
2023-09-25,17
2023-09-26,19
2023-09-27,18
2023-09-28,21
2023-09-29,21
2023-09-30,18
2023-10-01,14
2023-10-02,18
2023-10-03,16
2023-10-04,19
2023-10-05,17
2023-10-06,18
2023-10-07,14
2023-10-08,12
2023-10-09,12
2023-10-10,23
2023-10-11,38
2023-10-12,30
2023-10-13,18
2023-10-14,67
2023-10-15,31
2023-10-16,20
2023-10-17,25
2023-10-18,21
2023-10-19,20
2023-10-20,22
2023-10-21,18
2023-10-22,14
2023-10-23,13
2023-10-24,13
2023-10-25,13
2023-10-26,16
2023-10-27,16
2023-10-28,14
2023-10-29,32
2023-10-30,38
2023-10-31,20
2023-11-01,20
2023-11-02,23
2023-11-03,19
2023-11-04,17
2023-11-05,18
2023-11-06,19
2023-11-07,17
2023-11-08,19
2023-11-09,24
2023-11-10,23
2023-11-11,22
2023-11-12,19
2023-11-13,18
2023-11-14,16
2023-11-15,18
2023-11-16,17
2023-11-17,17
2023-11-18,14
2023-11-19,14
2023-11-20,15
2023-11-21,17
2023-11-22,16
2023-11-23,18
2023-11-24,19
2023-11-25,19
2023-11-26,15
2023-11-27,14
2023-11-28,14
2023-11-29,14
2023-11-30,19
2023-12-01,15
2023-12-02,15
2023-12-03,17
2023-12-04,15
2023-12-05,17
2023-12-06,18
2023-12-07,16
2023-12-08,16
2023-12-09,13
2023-12-10,13
2023-12-11,13
2023-12-12,14
2023-12-13,15
2023-12-14,15
2023-12-15,14
2023-12-16,24
2023-12-17,16
2023-12-18,13
2023-12-19,15
2023-12-20,24
2023-12-21,20
2023-12-22,15
2023-12-23,14
2023-12-24,13
2023-12-25,16
2023-12-26,12
2023-12-27,19
2023-12-28,18
2023-12-29,13
2023-12-30,15
2023-12-31,12
2024-01-01,13
2024-01-02,12
2024-01-03,15
2024-01-04,14
2024-01-05,13
2024-01-06,19
2024-01-07,16
2024-01-08,14
2024-01-09,18
2024-01-10,18
2024-01-11,21
2024-01-12,13
2024-01-13,11
2024-01-14,12
2024-01-15,18
2024-01-16,22
2024-01-17,29
2024-01-18,25
2024-01-19,22
2024-01-20,20
