Time,scratch
2022-08-29,46
2022-08-30,51
2022-08-31,54
2022-09-01,58
2022-09-02,60
2022-09-03,37
2022-09-04,37
2022-09-05,35
2022-09-06,48
2022-09-07,55
2022-09-08,56
2022-09-09,64
2022-09-10,36
2022-09-11,34
2022-09-12,49
2022-09-13,58
2022-09-14,61
2022-09-15,65
2022-09-16,72
2022-09-17,38
2022-09-18,37
2022-09-19,54
2022-09-20,60
2022-09-21,60
2022-09-22,66
2022-09-23,68
2022-09-24,40
2022-09-25,35
2022-09-26,51
2022-09-27,56
2022-09-28,59
2022-09-29,58
2022-09-30,65
2022-10-01,38
2022-10-02,36
2022-10-03,51
2022-10-04,58
2022-10-05,54
2022-10-06,61
2022-10-07,64
2022-10-08,36
2022-10-09,35
2022-10-10,45
2022-10-11,53
2022-10-12,61
2022-10-13,59
2022-10-14,63
2022-10-15,38
2022-10-16,37
2022-10-17,56
2022-10-18,60
2022-10-19,62
2022-10-20,63
2022-10-21,73
2022-10-22,58
2022-10-23,70
2022-10-24,79
2022-10-25,91
2022-10-26,87
2022-10-27,88
2022-10-28,92
2022-10-29,75
2022-10-30,80
2022-10-31,87
2022-11-01,84
2022-11-02,88
2022-11-03,92
2022-11-04,100
2022-11-05,77
2022-11-06,80
2022-11-07,85
2022-11-08,82
2022-11-09,79
2022-11-10,85
2022-11-11,76
2022-11-12,66
2022-11-13,66
2022-11-14,72
2022-11-15,77
2022-11-16,78
2022-11-17,82
2022-11-18,88
2022-11-19,58
2022-11-20,58
2022-11-21,61
2022-11-22,67
2022-11-23,62
2022-11-24,68
2022-11-25,43
2022-11-26,41
2022-11-27,43
2022-11-28,55
2022-11-29,62
2022-11-30,67
2022-12-01,68
2022-12-02,70
2022-12-03,43
2022-12-04,42
2022-12-05,60
2022-12-06,69
2022-12-07,73
2022-12-08,77
2022-12-09,78
2022-12-10,45
2022-12-11,42
2022-12-12,65
2022-12-13,70
2022-12-14,75
2022-12-15,80
2022-12-16,82
2022-12-17,46
2022-12-18,42
2022-12-19,58
2022-12-20,63
2022-12-21,61
2022-12-22,59
2022-12-23,48
2022-12-24,49
2022-12-25,52
2022-12-26,42
2022-12-27,36
2022-12-28,38
2022-12-29,36
2022-12-30,37
2022-12-31,39
2023-01-01,37
2023-01-02,38
2023-01-03,44
2023-01-04,55
2023-01-05,57
2023-01-06,65
2023-01-07,43
2023-01-08,41
2023-01-09,60
2023-01-10,66
2023-01-11,67
2023-01-12,70
2023-01-13,77
2023-01-14,44
2023-01-15,39
2023-01-16,38
2023-01-17,62
2023-01-18,65
2023-01-19,67
2023-01-20,78
2023-01-21,44
2023-01-22,40
2023-01-23,62
2023-01-24,67
2023-01-25,65
2023-01-26,68
2023-01-27,73
2023-01-28,46
2023-01-29,42
2023-01-30,62
2023-01-31,68
2023-02-01,68
2023-02-02,70
2023-02-03,80
2023-02-04,44
2023-02-05,43
2023-02-06,59
2023-02-07,66
2023-02-08,68
2023-02-09,68
2023-02-10,77
2023-02-11,42
2023-02-12,41
2023-02-13,55
2023-02-14,63
2023-02-15,65
2023-02-16,71
2023-02-17,80
2023-02-18,43
2023-02-19,43
2023-02-20,37
2023-02-21,57
2023-02-22,60
2023-02-23,63
2023-02-24,74
2023-02-25,43
2023-02-26,43
2023-02-27,64
2023-02-28,64
2023-03-01,64
2023-03-02,71
2023-03-03,78
2023-03-04,44
2023-03-05,39
2023-03-06,59
2023-03-07,63
2023-03-08,71
2023-03-09,73
2023-03-10,77
2023-03-11,43
2023-03-12,40
2023-03-13,55
2023-03-14,62
2023-03-15,64
2023-03-16,62
2023-03-17,63
2023-03-18,39
2023-03-19,39
2023-03-20,55
2023-03-21,63
2023-03-22,62
2023-03-23,67
2023-03-24,75
2023-03-25,41
2023-03-26,39
2023-03-27,60
2023-03-28,61
2023-03-29,61
2023-03-30,66
2023-03-31,69
2023-04-01,40
2023-04-02,38
2023-04-03,53
2023-04-04,53
2023-04-05,55
2023-04-06,62
2023-04-07,45
2023-04-08,41
2023-04-09,39
2023-04-10,43
2023-04-11,54
2023-04-12,57
2023-04-13,62
2023-04-14,71
2023-04-15,38
2023-04-16,39
2023-04-17,59
2023-04-18,62
2023-04-19,68
2023-04-20,69
2023-04-21,76
2023-04-22,41
2023-04-23,39
2023-04-24,62
2023-04-25,68
2023-04-26,70
2023-04-27,72
2023-04-28,82
2023-04-29,40
2023-04-30,40
2023-05-01,65
2023-05-02,69
2023-05-03,73
2023-05-04,77
2023-05-05,82
2023-05-06,49
2023-05-07,39
2023-05-08,68
2023-05-09,76
2023-05-10,73
2023-05-11,76
2023-05-12,88
2023-05-13,40
2023-05-14,39
2023-05-15,71
2023-05-16,80
2023-05-17,76
2023-05-18,83
2023-05-19,86
2023-05-20,42
2023-05-21,39
2023-05-22,68
2023-05-23,74
2023-05-24,71
2023-05-25,72
