Time,scratch
2023-12-22,74
2023-12-23,51
2023-12-24,47
2023-12-25,45
2023-12-26,38
2023-12-27,34
2023-12-28,35
2023-12-29,36
2023-12-30,36
2023-12-31,37
2024-01-01,37
2024-01-02,39
2024-01-03,48
2024-01-04,57
2024-01-05,70
2024-01-06,39
2024-01-07,40
2024-01-08,62
2024-01-09,76
2024-01-10,78
2024-01-11,86
2024-01-12,95
2024-01-13,45
2024-01-14,38
2024-01-15,34
2024-01-16,60
2024-01-17,77
2024-01-18,84
2024-01-19,88
2024-01-20,44
2024-01-21,38
2024-01-22,76
2024-01-23,82
2024-01-24,92
2024-01-25,94
2024-01-26,97
2024-01-27,45
2024-01-28,38
2024-01-29,70
2024-01-30,81
2024-01-31,77
2024-02-01,87
2024-02-02,100
2024-02-03,43
2024-02-04,38
2024-02-05,71
2024-02-06,80
2024-02-07,82
2024-02-08,77
2024-02-09,97
2024-02-10,41
2024-02-11,39
2024-02-12,63
2024-02-13,72
2024-02-14,76
2024-02-15,86
2024-02-16,87
2024-02-17,41
2024-02-18,38
2024-02-19,37
2024-02-20,62
2024-02-21,67
2024-02-22,72
2024-02-23,86
2024-02-24,42
2024-02-25,38
2024-02-26,67
2024-02-27,74
2024-02-28,81
2024-02-29,84
2024-03-01,99
2024-03-02,43
2024-03-03,39
2024-03-04,67
2024-03-05,77
2024-03-06,83
2024-03-07,88
2024-03-08,95
2024-03-09,42
2024-03-10,39
2024-03-11,61
2024-03-12,67
2024-03-13,69
2024-03-14,71
2024-03-15,78
2024-03-16,38
2024-03-17,39
2024-03-18,60
2024-03-19,66
2024-03-20,72
2024-03-21,79
2024-03-22,90
2024-03-23,42
2024-03-24,37
2024-03-25,60
2024-03-26,67
2024-03-27,67
2024-03-28,74
2024-03-29,51
2024-03-30,38
2024-03-31,37
2024-04-01,42
2024-04-02,62
2024-04-03,66
2024-04-04,68
2024-04-05,75
2024-04-06,37
2024-04-07,36
2024-04-08,55
2024-04-09,68
2024-04-10,70
2024-04-11,79
2024-04-12,89
2024-04-13,35
2024-04-14,35
2024-04-15,62
2024-04-16,75
2024-04-17,75
2024-04-18,80
2024-04-19,92
2024-04-20,39
2024-04-21,38
2024-04-22,68
2024-04-23,73
2024-04-24,79
2024-04-25,81
2024-04-26,89
2024-04-27,39
2024-04-28,38
2024-04-29,70
2024-04-30,75
2024-05-01,76
2024-05-02,85
2024-05-03,89
2024-05-04,36
2024-05-05,39
2024-05-06,72
2024-05-07,78
2024-05-08,80
2024-05-09,91
2024-05-10,98
2024-05-11,38
2024-05-12,37
2024-05-13,79
2024-05-14,82
2024-05-15,88
2024-05-16,93
2024-05-17,91
2024-05-18,39
2024-05-19,36
2024-05-20,75
2024-05-21,85
2024-05-22,76
2024-05-23,79
2024-05-24,72
2024-05-25,40
2024-05-26,35
2024-05-27,34
2024-05-28,54
2024-05-29,59
2024-05-30,62
2024-05-31,62
2024-06-01,37
2024-06-02,36
2024-06-03,48
2024-06-04,53
2024-06-05,54
2024-06-06,57
2024-06-07,48
2024-06-08,37
2024-06-09,35
2024-06-10,45
2024-06-11,44
2024-06-12,41
2024-06-13,41
2024-06-14,36
2024-06-15,45
2024-06-16,34
2024-06-17,36
2024-06-18,36
2024-06-19,29
2024-06-20,33
2024-06-21,34
2024-06-22,35
2024-06-23,35
2024-06-24,35
2024-06-25,32
2024-06-26,31
2024-06-27,32
2024-06-28,33
2024-06-29,34
2024-06-30,33
2024-07-01,32
2024-07-02,32
2024-07-03,33
2024-07-04,36
2024-07-05,30
2024-07-06,33
2024-07-07,34
2024-07-08,29
2024-07-09,30
2024-07-10,32
2024-07-11,33
2024-07-12,32
2024-07-13,32
2024-07-14,31
2024-07-15,29
2024-07-16,29
2024-07-17,31
2024-07-18,34
2024-07-19,30
2024-07-20,33
2024-07-21,32
2024-07-22,31
2024-07-23,30
2024-07-24,30
2024-07-25,34
2024-07-26,30
2024-07-27,32
2024-07-28,32
2024-07-29,29
2024-07-30,30
2024-07-31,30
2024-08-01,30
2024-08-02,37
2024-08-03,33
2024-08-04,34
2024-08-05,29
2024-08-06,30
2024-08-07,31
2024-08-08,32
2024-08-09,35
2024-08-10,34
2024-08-11,33
2024-08-12,34
2024-08-13,34
2024-08-14,39
2024-08-15,46
2024-08-16,53
2024-08-17,36
2024-08-18,34
2024-08-19,47
2024-08-20,53
2024-08-21,55
2024-08-22,62
2024-08-23,73
2024-08-24,37
2024-08-25,35
2024-08-26,55
2024-08-27,64
2024-08-28,67
2024-08-29,73
2024-08-30,76
2024-08-31,41
2024-09-01,38
2024-09-02,35
2024-09-03,57
2024-09-04,66
2024-09-05,71
2024-09-06,84
2024-09-07,38
2024-09-08,37
2024-09-09,63
2024-09-10,71
2024-09-11,71
2024-09-12,76
2024-09-13,88
2024-09-14,40
2024-09-15,35
2024-09-16,64
