Time,retro bowl
2025-04-15,18
2025-04-16,18
2025-04-17,17
2025-04-18,9
2025-04-19,5
2025-04-20,5
2025-04-21,11
2025-04-22,16
2025-04-23,16
2025-04-24,17
2025-04-25,17
2025-04-26,6
2025-04-27,4
2025-04-28,15
2025-04-29,19
2025-04-30,16
2025-05-01,21
2025-05-02,21
2025-05-03,6
2025-05-04,6
2025-05-05,16
2025-05-06,19
2025-05-07,18
2025-05-08,20
2025-05-09,23
2025-05-10,6
2025-05-11,6
2025-05-12,19
2025-05-13,20
2025-05-14,18
2025-05-15,20
2025-05-16,20
2025-05-17,6
2025-05-18,5
2025-05-19,18
2025-05-20,18
2025-05-21,17
2025-05-22,15
2025-05-23,15
2025-05-24,6
2025-05-25,4
2025-05-26,4
2025-05-27,12
2025-05-28,12
2025-05-29,10
2025-05-30,10
2025-05-31,4
2025-06-01,4
2025-06-02,9
2025-06-03,9
2025-06-04,9
2025-06-05,8
2025-06-06,8
2025-06-07,4
2025-06-08,4
2025-06-09,6
2025-06-10,5
2025-06-11,5
2025-06-12,7
2025-06-13,6
2025-06-14,3
2025-06-15,3
2025-06-16,5
2025-06-17,4
2025-06-18,5
2025-06-19,3
2025-06-20,4
2025-06-21,2
2025-06-22,3
2025-06-23,3
2025-06-24,3
2025-06-25,4
2025-06-26,3
2025-06-27,3
2025-06-28,4
2025-06-29,2
2025-06-30,3
2025-07-01,4
2025-07-02,3
2025-07-03,4
2025-07-04,3
2025-07-05,3
2025-07-06,3
2025-07-07,3
2025-07-08,3
2025-07-09,4
2025-07-10,2
2025-07-11,4
2025-07-12,3
2025-07-13,2
2025-07-14,4
2025-07-15,2
2025-07-16,3
2025-07-17,3
2025-07-18,3
2025-07-19,3
2025-07-20,3
2025-07-21,3
2025-07-22,3
2025-07-23,3
2025-07-24,3
2025-07-25,5
2025-07-26,3
2025-07-27,2
2025-07-28,4
2025-07-29,3
2025-07-30,3
2025-07-31,3
2025-08-01,3
2025-08-02,4
2025-08-03,4
2025-08-04,4
2025-08-05,5
2025-08-06,4
2025-08-07,7
2025-08-08,8
2025-08-09,4
2025-08-10,4
2025-08-11,7
2025-08-12,8
2025-08-13,11
2025-08-14,15
2025-08-15,16
2025-08-16,4
2025-08-17,5
2025-08-18,15
2025-08-19,16
2025-08-20,19
2025-08-21,23
2025-08-22,26
2025-08-23,8
2025-08-24,6
2025-08-25,24
2025-08-26,25
2025-08-27,28
2025-08-28,31
2025-08-29,32
2025-08-30,8
2025-08-31,8
2025-09-01,7
2025-09-02,28
2025-09-03,33
2025-09-04,37
2025-09-05,45
2025-09-06,12
2025-09-07,11
2025-09-08,37
2025-09-09,44
2025-09-10,45
2025-09-11,49
2025-09-12,60
2025-09-13,14
2025-09-14,14
2025-09-15,53
2025-09-16,60
2025-09-17,64
2025-09-18,72
2025-09-19,85
2025-09-20,18
2025-09-21,16
2025-09-22,63
2025-09-23,69
2025-09-24,86
2025-09-25,87
2025-09-26,87
2025-09-27,21
2025-09-28,18
2025-09-29,68
2025-09-30,80
2025-10-01,80
2025-10-02,81
2025-10-03,93
2025-10-04,21
2025-10-05,19
2025-10-06,68
2025-10-07,77
2025-10-08,79
2025-10-09,87
2025-10-10,82
2025-10-11,20
2025-10-12,18
2025-10-13,48
2025-10-14,73
2025-10-15,70
2025-10-16,72
2025-10-17,79
2025-10-18,24
2025-10-19,19
2025-10-20,64
2025-10-21,75
2025-10-22,84
2025-10-23,88
2025-10-24,99
2025-10-25,22
2025-10-26,17
2025-10-27,71
2025-10-28,86
2025-10-29,85
2025-10-30,100
2025-10-31,91
2025-11-01,21
2025-11-02,21
2025-11-03,65
2025-11-04,63
2025-11-05,75
2025-11-06,81
2025-11-07,88
2025-11-08,21
2025-11-09,18
2025-11-10,60
2025-11-11,52
2025-11-12,67
2025-11-13,75
2025-11-14,86
2025-11-15,24
2025-11-16,19
2025-11-17,59
2025-11-18,72
2025-11-19,65
2025-11-20,77
2025-11-21,81
2025-11-22,24
2025-11-23,19
2025-11-24,38
2025-11-25,54
2025-11-26,24
2025-11-27,19
2025-11-28,18
2025-11-29,15
2025-11-30,14
2025-12-01,43
2025-12-02,46
2025-12-03,53
2025-12-04,57
2025-12-05,63
2025-12-06,21
2025-12-07,17
2025-12-08,50
2025-12-09,53
2025-12-10,56
2025-12-11,57
2025-12-12,65
2025-12-13,21
2025-12-14,16
2025-12-15,48
2025-12-16,55
2025-12-17,60
2025-12-18,67
2025-12-19,55
2025-12-20,20
2025-12-21,14
2025-12-22,22
2025-12-23,20
2025-12-24,14
2025-12-25,13
2025-12-26,11
2025-12-27,11
2025-12-28,11
2025-12-29,10
2025-12-30,12
2025-12-31,11
2026-01-01,11
2026-01-02,9
2026-01-03,10
2026-01-04,11
2026-01-05,20
2026-01-06,29
2026-01-07,32
2026-01-08,33
2026-01-09,43
