Time,easter 2023
2023-04-26,88
2023-04-27,86
2023-04-28,91
2023-04-29,86
2023-04-30,100
2023-05-01,94
2023-05-02,83
2023-05-03,84
2023-05-04,82
2023-05-05,69
2023-05-06,74
2023-05-07,80
2023-05-08,82
2023-05-09,91
2023-05-10,82
2023-05-11,68
2023-05-12,76
2023-05-13,69
2023-05-14,78
2023-05-15,77
2023-05-16,80
2023-05-17,77
2023-05-18,74
2023-05-19,60
2023-05-20,56
2023-05-21,76
2023-05-22,57
2023-05-23,64
2023-05-24,61
2023-05-25,59
2023-05-26,59
2023-05-27,54
2023-05-28,61
2023-05-29,73
2023-05-30,66
2023-05-31,57
2023-06-01,55
2023-06-02,42
2023-06-03,48
2023-06-04,47
2023-06-05,43
2023-06-06,45
2023-06-07,37
2023-06-08,36
2023-06-09,40
2023-06-10,32
2023-06-11,45
2023-06-12,36
2023-06-13,31
2023-06-14,39
2023-06-15,40
2023-06-16,39
2023-06-17,30
2023-06-18,36
2023-06-19,46
2023-06-20,39
2023-06-21,32
2023-06-22,35
2023-06-23,36
2023-06-24,47
2023-06-25,38
2023-06-26,37
2023-06-27,45
2023-06-28,44
2023-06-29,45
2023-06-30,34
2023-07-01,36
2023-07-02,41
2023-07-03,42
2023-07-04,38
2023-07-05,38
2023-07-06,33
2023-07-07,37
2023-07-08,32
2023-07-09,34
2023-07-10,40
2023-07-11,35
2023-07-12,30
2023-07-13,34
2023-07-14,29
2023-07-15,23
2023-07-16,26
2023-07-17,26
2023-07-18,30
2023-07-19,27
2023-07-20,36
2023-07-21,25
2023-07-22,19
2023-07-23,27
2023-07-24,31
2023-07-25,27
2023-07-26,28
2023-07-27,30
2023-07-28,22
2023-07-29,23
2023-07-30,25
2023-07-31,29
2023-08-01,30
2023-08-02,26
2023-08-03,31
2023-08-04,27
2023-08-05,21
2023-08-06,33
2023-08-07,24
2023-08-08,29
2023-08-09,31
2023-08-10,29
2023-08-11,23
2023-08-12,29
2023-08-13,34
2023-08-14,27
2023-08-15,30
2023-08-16,26
2023-08-17,25
2023-08-18,23
2023-08-19,20
2023-08-20,39
2023-08-21,33
2023-08-22,30
2023-08-23,27
2023-08-24,28
2023-08-25,26
2023-08-26,23
2023-08-27,31
2023-08-28,28
2023-08-29,32
2023-08-30,31
2023-08-31,30
2023-09-01,25
2023-09-02,30
2023-09-03,29
2023-09-04,28
2023-09-05,30
2023-09-06,35
2023-09-07,27
2023-09-08,23
2023-09-09,28
2023-09-10,27
2023-09-11,22
2023-09-12,26
2023-09-13,27
2023-09-14,24
2023-09-15,26
2023-09-16,25
2023-09-17,24
2023-09-18,24
2023-09-19,26
2023-09-20,29
2023-09-21,30
2023-09-22,33
2023-09-23,25
2023-09-24,30
2023-09-25,28
2023-09-26,31
2023-09-27,36
2023-09-28,26
2023-09-29,22
2023-09-30,23
2023-10-01,25
2023-10-02,30
2023-10-03,28
2023-10-04,27
2023-10-05,26
2023-10-06,29
2023-10-07,26
2023-10-08,24
2023-10-09,23
2023-10-10,33
2023-10-11,27
2023-10-12,24
2023-10-13,22
2023-10-14,27
2023-10-15,21
2023-10-16,31
2023-10-17,28
2023-10-18,34
2023-10-19,32
2023-10-20,24
2023-10-21,22
2023-10-22,25
2023-10-23,28
2023-10-24,31
2023-10-25,26
2023-10-26,26
2023-10-27,25
2023-10-28,22
2023-10-29,23
2023-10-30,31
2023-10-31,28
2023-11-01,38
2023-11-02,27
2023-11-03,24
2023-11-04,26
2023-11-05,29
2023-11-06,29
2023-11-07,31
2023-11-08,31
2023-11-09,26
2023-11-10,28
2023-11-11,27
2023-11-12,27
2023-11-13,22
2023-11-14,22
2023-11-15,26
2023-11-16,30
2023-11-17,26
2023-11-18,21
2023-11-19,28
2023-11-20,26
2023-11-21,28
2023-11-22,30
2023-11-23,38
2023-11-24,30
2023-11-25,26
2023-11-26,27
2023-11-27,30
2023-11-28,29
2023-11-29,26
2023-11-30,31
2023-12-01,29
2023-12-02,23
2023-12-03,22
2023-12-04,30
2023-12-05,34
2023-12-06,34
2023-12-07,30
2023-12-08,29
2023-12-09,21
2023-12-10,30
2023-12-11,31
2023-12-12,32
2023-12-13,31
2023-12-14,26
2023-12-15,26
2023-12-16,23
2023-12-17,29
2023-12-18,30
2023-12-19,26
2023-12-20,29
2023-12-21,30
2023-12-22,25
2023-12-23,25
2023-12-24,27
2023-12-25,37
2023-12-26,44
2023-12-27,40
2023-12-28,36
2023-12-29,37
2023-12-30,30
2023-12-31,33
2024-01-01,43
2024-01-02,46
2024-01-03,38
2024-01-04,40
2024-01-05,39
2024-01-06,25
2024-01-07,36
2024-01-08,32
2024-01-09,41
2024-01-10,28
2024-01-11,33
2024-01-12,23
2024-01-13,26
2024-01-14,29
2024-01-15,26
2024-01-16,27
2024-01-17,33
2024-01-18,31
2024-01-19,22
2024-01-20,25
