Time,aol mail
2022-01-01,60
2022-01-02,58
2022-01-03,81
2022-01-04,99
2022-01-05,100
2022-01-06,76
2022-01-07,87
2022-01-08,62
2022-01-09,62
2022-01-10,77
2022-01-11,78
2022-01-12,78
2022-01-13,96
2022-01-14,67
2022-01-15,61
2022-01-16,58
2022-01-17,64
2022-01-18,73
2022-01-19,76
2022-01-20,81
2022-01-21,73
2022-01-22,58
2022-01-23,51
2022-01-24,89
2022-01-25,73
2022-01-26,72
2022-01-27,83
2022-01-28,85
2022-01-29,66
2022-01-30,62
2022-01-31,85
2022-02-01,86
2022-02-02,88
2022-02-03,83
2022-02-04,87
2022-02-05,67
2022-02-06,60
2022-02-07,84
2022-02-08,82
2022-02-09,80
2022-02-10,74
2022-02-11,80
2022-02-12,68
2022-02-13,58
2022-02-14,73
2022-02-15,85
2022-02-16,81
2022-02-17,82
2022-02-18,79
2022-02-19,67
2022-02-20,61
2022-02-21,76
2022-02-22,80
2022-02-23,82
2022-02-24,80
2022-02-25,79
2022-02-26,66
2022-02-27,57
2022-02-28,80
2022-03-01,86
2022-03-02,82
2022-03-03,81
2022-03-04,79
2022-03-05,61
2022-03-06,58
2022-03-07,79
2022-03-08,79
2022-03-09,91
2022-03-10,82
2022-03-11,72
2022-03-12,69
2022-03-13,55
2022-03-14,80
2022-03-15,80
2022-03-16,80
2022-03-17,81
2022-03-18,74
2022-03-19,64
2022-03-20,59
2022-03-21,74
2022-03-22,77
2022-03-23,82
2022-03-24,78
2022-03-25,76
2022-03-26,64
2022-03-27,58
2022-03-28,72
2022-03-29,74
2022-03-30,78
2022-03-31,74
2022-04-01,77
2022-04-02,67
2022-04-03,59
2022-04-04,75
2022-04-05,77
2022-04-06,77
2022-04-07,76
2022-04-08,77
2022-04-09,66
2022-04-10,60
2022-04-11,78
2022-04-12,83
2022-04-13,78
2022-04-14,80
2022-04-15,75
2022-04-16,64
2022-04-17,54
2022-04-18,80
2022-04-19,75
2022-04-20,74
2022-04-21,74
2022-04-22,69
2022-04-23,62
2022-04-24,58
2022-04-25,77
2022-04-26,73
2022-04-27,75
2022-04-28,74
2022-04-29,73
2022-04-30,67
2022-05-01,57
2022-05-02,75
2022-05-03,74
2022-05-04,76
2022-05-05,75
2022-05-06,77
2022-05-07,63
2022-05-08,60
2022-05-09,78
2022-05-10,75
2022-05-11,75
2022-05-12,81
2022-05-13,77
2022-05-14,63
2022-05-15,60
2022-05-16,76
2022-05-17,78
2022-05-18,79
2022-05-19,76
2022-05-20,84
2022-05-21,64
2022-05-22,58
2022-05-23,77
2022-05-24,82
2022-05-25,77
2022-05-26,79
2022-05-27,79
2022-05-28,61
2022-05-29,59
2022-05-30,62
2022-05-31,82
2022-06-01,83
2022-06-02,82
2022-06-03,82
2022-06-04,65
2022-06-05,58
2022-06-06,77
2022-06-07,83
2022-06-08,83
2022-06-09,84
2022-06-10,83
2022-06-11,61
2022-06-12,60
2022-06-13,79
2022-06-14,88
2022-06-15,83
2022-06-16,77
2022-06-17,74
2022-06-18,64
2022-06-19,60
2022-06-20,79
2022-06-21,79
2022-06-22,81
2022-06-23,78
2022-06-24,71
2022-06-25,57
2022-06-26,56
2022-06-27,79
2022-06-28,84
2022-06-29,78
2022-06-30,72
2022-07-01,81
2022-07-02,59
2022-07-03,57
2022-07-04,56
2022-07-05,80
2022-07-06,76
2022-07-07,76
2022-07-08,70
2022-07-09,57
2022-07-10,52
2022-07-11,73
2022-07-12,73
2022-07-13,71
2022-07-14,71
2022-07-15,69
2022-07-16,59
2022-07-17,54
2022-07-18,76
2022-07-19,73
2022-07-20,70
2022-07-21,72
2022-07-22,72
2022-07-23,56
2022-07-24,54
2022-07-25,75
2022-07-26,73
2022-07-27,72
2022-07-28,71
2022-07-29,75
2022-07-30,51
2022-07-31,53
2022-08-01,68
2022-08-02,71
2022-08-03,74
2022-08-04,69
2022-08-05,65
2022-08-06,57
2022-08-07,49
2022-08-08,69
2022-08-09,69
2022-08-10,71
2022-08-11,69
2022-08-12,63
2022-08-13,57
2022-08-14,53
2022-08-15,67
2022-08-16,68
2022-08-17,65
2022-08-18,70
2022-08-19,67
2022-08-20,52
2022-08-21,52
2022-08-22,64
2022-08-23,70
2022-08-24,70
2022-08-25,66
2022-08-26,63
2022-08-27,54
2022-08-28,50
2022-08-29,68
2022-08-30,68
2022-08-31,64
2022-09-01,66
2022-09-02,57
2022-09-03,54
2022-09-04,51
2022-09-05,52
2022-09-06,66
2022-09-07,72
2022-09-08,64
2022-09-09,64
2022-09-10,50
2022-09-11,48
2022-09-12,69
2022-09-13,65
2022-09-14,65
2022-09-15,66
2022-09-16,63
2022-09-17,58
2022-09-18,50
2022-09-19,62
2022-09-20,64
2022-09-21,68
2022-09-22,67
2022-09-23,55
2022-09-24,49
2022-09-25,47
2022-09-26,59
2022-09-27,60
