Time,sabrina carpenter
2022-08-29,28
2022-08-30,19
2022-08-31,20
2022-09-01,14
2022-09-02,13
2022-09-03,13
2022-09-04,16
2022-09-05,15
2022-09-06,13
2022-09-07,13
2022-09-08,13
2022-09-09,9
2022-09-10,12
2022-09-11,18
2022-09-12,39
2022-09-13,28
2022-09-14,29
2022-09-15,22
2022-09-16,17
2022-09-17,15
2022-09-18,14
2022-09-19,13
2022-09-20,14
2022-09-21,14
2022-09-22,12
2022-09-23,15
2022-09-24,16
2022-09-25,17
2022-09-26,11
2022-09-27,13
2022-09-28,15
2022-09-29,17
2022-09-30,22
2022-10-01,27
2022-10-02,27
2022-10-03,23
2022-10-04,19
2022-10-05,19
2022-10-06,21
2022-10-07,24
2022-10-08,21
2022-10-09,17
2022-10-10,29
2022-10-11,23
2022-10-12,20
2022-10-13,23
2022-10-14,20
2022-10-15,22
2022-10-16,33
2022-10-17,31
2022-10-18,24
2022-10-19,18
2022-10-20,18
2022-10-21,25
2022-10-22,18
2022-10-23,18
2022-10-24,13
2022-10-25,12
2022-10-26,12
2022-10-27,13
2022-10-28,12
2022-10-29,17
2022-10-30,15
2022-10-31,15
2022-11-01,15
2022-11-02,15
2022-11-03,17
2022-11-04,15
2022-11-05,17
2022-11-06,13
2022-11-07,12
2022-11-08,11
2022-11-09,10
2022-11-10,12
2022-11-11,24
2022-11-12,25
2022-11-13,21
2022-11-14,21
2022-11-15,16
2022-11-16,17
2022-11-17,15
2022-11-18,16
2022-11-19,17
2022-11-20,15
2022-11-21,61
2022-11-22,46
2022-11-23,40
2022-11-24,31
2022-11-25,23
2022-11-26,24
2022-11-27,21
2022-11-28,19
2022-11-29,16
2022-11-30,15
2022-12-01,16
2022-12-02,21
2022-12-03,24
2022-12-04,21
2022-12-05,17
2022-12-06,18
2022-12-07,23
2022-12-08,25
2022-12-09,23
2022-12-10,28
2022-12-11,25
2022-12-12,55
2022-12-13,68
2022-12-14,45
2022-12-15,33
2022-12-16,39
2022-12-17,33
2022-12-18,27
2022-12-19,24
2022-12-20,22
2022-12-21,26
2022-12-22,21
2022-12-23,30
2022-12-24,26
2022-12-25,22
2022-12-26,23
2022-12-27,22
2022-12-28,23
2022-12-29,23
2022-12-30,19
2022-12-31,23
2023-01-01,18
2023-01-02,22
2023-01-03,14
2023-01-04,16
2023-01-05,19
2023-01-06,20
2023-01-07,20
2023-01-08,21
2023-01-09,20
2023-01-10,47
2023-01-11,37
2023-01-12,31
2023-01-13,25
2023-01-14,28
2023-01-15,24
2023-01-16,24
2023-01-17,18
2023-01-18,18
2023-01-19,20
2023-01-20,17
2023-01-21,19
2023-01-22,24
2023-01-23,17
2023-01-24,20
2023-01-25,20
2023-01-26,20
2023-01-27,17
2023-01-28,19
2023-01-29,19
2023-01-30,17
2023-01-31,15
2023-02-01,18
2023-02-02,21
2023-02-03,20
2023-02-04,25
2023-02-05,28
2023-02-06,28
2023-02-07,23
2023-02-08,21
2023-02-09,18
2023-02-10,18
2023-02-11,22
2023-02-12,19
2023-02-13,15
2023-02-14,17
2023-02-15,17
2023-02-16,16
2023-02-17,17
2023-02-18,19
2023-02-19,22
2023-02-20,32
2023-02-21,28
2023-02-22,20
2023-02-23,18
2023-02-24,18
2023-02-25,23
2023-02-26,21
2023-02-27,29
2023-02-28,100
2023-03-01,48
2023-03-02,34
2023-03-03,30
2023-03-04,35
2023-03-05,28
2023-03-06,25
2023-03-07,22
2023-03-08,21
2023-03-09,23
2023-03-10,37
2023-03-11,43
2023-03-12,32
2023-03-13,33
2023-03-14,34
2023-03-15,30
2023-03-16,41
2023-03-17,64
2023-03-18,52
2023-03-19,41
2023-03-20,37
2023-03-21,38
2023-03-22,38
2023-03-23,35
2023-03-24,35
2023-03-25,42
2023-03-26,45
2023-03-27,34
2023-03-28,37
2023-03-29,34
2023-03-30,36
2023-03-31,37
2023-04-01,41
2023-04-02,43
2023-04-03,36
2023-04-04,31
2023-04-05,30
2023-04-06,31
2023-04-07,28
2023-04-08,28
2023-04-09,30
2023-04-10,27
2023-04-11,41
2023-04-12,37
2023-04-13,31
2023-04-14,34
2023-04-15,39
2023-04-16,38
2023-04-17,29
2023-04-18,21
2023-04-19,27
2023-04-20,26
2023-04-21,31
2023-04-22,36
2023-04-23,39
2023-04-24,31
2023-04-25,27
2023-04-26,25
2023-04-27,31
2023-04-28,27
2023-04-29,32
2023-04-30,29
2023-05-01,29
2023-05-02,31
2023-05-03,30
2023-05-04,24
2023-05-05,19
2023-05-06,29
2023-05-07,33
2023-05-08,24
2023-05-09,25
2023-05-10,30
2023-05-11,39
2023-05-12,47
2023-05-13,52
2023-05-14,44
2023-05-15,29
2023-05-16,28
2023-05-17,29
2023-05-18,23
2023-05-19,21
2023-05-20,22
2023-05-21,22
2023-05-22,17
2023-05-23,17
2023-05-24,15
2023-05-25,19
