Time,sixers
2024-08-18,17
2024-08-19,15
2024-08-20,12
2024-08-21,10
2024-08-22,10
2024-08-23,9
2024-08-24,9
2024-08-25,10
2024-08-26,10
2024-08-27,11
2024-08-28,8
2024-08-29,10
2024-08-30,8
2024-08-31,9
2024-09-01,10
2024-09-02,9
2024-09-03,9
2024-09-04,12
2024-09-05,10
2024-09-06,9
2024-09-07,8
2024-09-08,9
2024-09-09,8
2024-09-10,7
2024-09-11,7
2024-09-12,10
2024-09-13,10
2024-09-14,9
2024-09-15,8
2024-09-16,7
2024-09-17,10
2024-09-18,20
2024-09-19,18
2024-09-20,16
2024-09-21,10
2024-09-22,10
2024-09-23,9
2024-09-24,9
2024-09-25,10
2024-09-26,11
2024-09-27,11
2024-09-28,13
2024-09-29,10
2024-09-30,16
2024-10-01,14
2024-10-02,14
2024-10-03,12
2024-10-04,13
2024-10-05,14
2024-10-06,14
2024-10-07,25
2024-10-08,29
2024-10-09,15
2024-10-10,19
2024-10-11,29
2024-10-12,35
2024-10-13,25
2024-10-14,23
2024-10-15,27
2024-10-16,24
2024-10-17,25
2024-10-18,19
2024-10-19,22
2024-10-20,19
2024-10-21,23
2024-10-22,33
2024-10-23,66
2024-10-24,94
2024-10-25,36
2024-10-26,54
2024-10-27,63
2024-10-28,34
2024-10-29,31
2024-10-30,39
2024-10-31,48
2024-11-01,32
2024-11-02,44
2024-11-03,47
2024-11-04,26
2024-11-05,49
2024-11-06,20
2024-11-07,52
2024-11-08,27
2024-11-09,59
2024-11-10,32
2024-11-11,57
2024-11-12,45
2024-11-13,100
2024-11-14,74
2024-11-15,36
2024-11-16,64
2024-11-17,31
2024-11-18,33
2024-11-19,68
2024-11-20,40
2024-11-21,89
2024-11-22,47
2024-11-23,90
2024-11-24,50
2024-11-25,53
2024-11-26,31
2024-11-27,38
2024-11-28,67
2024-11-29,27
2024-11-30,34
2024-12-01,48
2024-12-02,27
2024-12-03,32
2024-12-04,67
2024-12-05,54
2024-12-06,33
2024-12-07,62
2024-12-08,56
2024-12-09,25
2024-12-10,24
2024-12-11,27
2024-12-12,27
2024-12-13,33
2024-12-14,66
2024-12-15,24
2024-12-16,24
2024-12-17,37
2024-12-18,22
2024-12-19,26
2024-12-20,34
2024-12-21,59
2024-12-22,39
2024-12-23,29
2024-12-24,69
2024-12-25,73
2024-12-26,72
2024-12-27,28
2024-12-28,30
2024-12-29,59
2024-12-30,29
2024-12-31,58
2025-01-01,30
2025-01-02,56
2025-01-03,52
2025-01-04,35
2025-01-05,42
2025-01-06,31
2025-01-07,48
2025-01-08,27
2025-01-09,40
2025-01-10,32
2025-01-11,42
2025-01-12,59
2025-01-13,47
2025-01-14,34
2025-01-15,57
2025-01-16,52
2025-01-17,24
2025-01-18,24
2025-01-19,33
2025-01-20,26
2025-01-21,27
2025-01-22,37
2025-01-23,21
2025-01-24,30
2025-01-25,56
2025-01-26,35
2025-01-27,21
2025-01-28,38
2025-01-29,71
2025-01-30,42
2025-01-31,34
2025-02-01,52
2025-02-02,53
2025-02-03,56
2025-02-04,54
2025-02-05,86
2025-02-06,73
2025-02-07,33
2025-02-08,53
2025-02-09,43
2025-02-10,20
2025-02-11,31
2025-02-12,54
2025-02-13,34
2025-02-14,21
2025-02-15,17
2025-02-16,17
2025-02-17,16
2025-02-18,17
2025-02-19,18
2025-02-20,30
2025-02-21,42
2025-02-22,33
2025-02-23,54
2025-02-24,32
2025-02-25,51
2025-02-26,29
2025-02-27,38
2025-02-28,27
2025-03-01,32
2025-03-02,60
2025-03-03,26
2025-03-04,38
2025-03-05,30
2025-03-06,23
2025-03-07,30
2025-03-08,18
2025-03-09,28
2025-03-10,32
2025-03-11,22
2025-03-12,20
2025-03-13,22
2025-03-14,23
2025-03-15,27
2025-03-16,33
2025-03-17,17
2025-03-18,33
2025-03-19,19
2025-03-20,20
2025-03-21,16
2025-03-22,21
2025-03-23,22
2025-03-24,21
2025-03-25,24
2025-03-26,25
2025-03-27,27
2025-03-28,16
2025-03-29,23
2025-03-30,31
2025-03-31,21
2025-04-01,18
2025-04-02,20
2025-04-03,22
2025-04-04,23
2025-04-05,25
2025-04-06,29
2025-04-07,18
2025-04-08,19
2025-04-09,16
2025-04-10,21
2025-04-11,21
2025-04-12,23
2025-04-13,27
2025-04-14,13
2025-04-15,10
2025-04-16,10
2025-04-17,9
2025-04-18,8
2025-04-19,10
2025-04-20,11
2025-04-21,9
2025-04-22,9
2025-04-23,8
2025-04-24,8
2025-04-25,6
2025-04-26,7
2025-04-27,8
2025-04-28,7
2025-04-29,7
2025-04-30,8
2025-05-01,7
2025-05-02,8
2025-05-03,8
2025-05-04,10
2025-05-05,8
2025-05-06,9
2025-05-07,8
2025-05-08,8
2025-05-09,9
2025-05-10,7
2025-05-11,9
2025-05-12,26
2025-05-13,46
2025-05-14,17
