Time,weather radar
2023-04-26,35
2023-04-27,41
2023-04-28,49
2023-04-29,51
2023-04-30,36
2023-05-01,14
2023-05-02,12
2023-05-03,11
2023-05-04,16
2023-05-05,25
2023-05-06,38
2023-05-07,58
2023-05-08,42
2023-05-09,39
2023-05-10,32
2023-05-11,34
2023-05-12,53
2023-05-13,74
2023-05-14,43
2023-05-15,30
2023-05-16,33
2023-05-17,20
2023-05-18,21
2023-05-19,36
2023-05-20,40
2023-05-21,18
2023-05-22,14
2023-05-23,17
2023-05-24,28
2023-05-25,17
2023-05-26,17
2023-05-27,19
2023-05-28,22
2023-05-29,21
2023-05-30,19
2023-05-31,28
2023-06-01,30
2023-06-02,34
2023-06-03,44
2023-06-04,45
2023-06-05,28
2023-06-06,28
2023-06-07,27
2023-06-08,30
2023-06-09,23
2023-06-10,48
2023-06-11,62
2023-06-12,50
2023-06-13,38
2023-06-14,48
2023-06-15,51
2023-06-16,66
2023-06-17,50
2023-06-18,67
2023-06-19,49
2023-06-20,43
2023-06-21,48
2023-06-22,51
2023-06-23,53
2023-06-24,55
2023-06-25,97
2023-06-26,64
2023-06-27,44
2023-06-28,28
2023-06-29,51
2023-06-30,38
2023-07-01,88
2023-07-02,91
2023-07-03,59
2023-07-04,74
2023-07-05,60
2023-07-06,48
2023-07-07,47
2023-07-08,68
2023-07-09,58
2023-07-10,33
2023-07-11,31
2023-07-12,44
2023-07-13,48
2023-07-14,72
2023-07-15,80
2023-07-16,64
2023-07-17,37
2023-07-18,44
2023-07-19,40
2023-07-20,53
2023-07-21,44
2023-07-22,43
2023-07-23,44
2023-07-24,36
2023-07-25,31
2023-07-26,50
2023-07-27,45
2023-07-28,57
2023-07-29,93
2023-07-30,35
2023-07-31,30
2023-08-01,20
2023-08-02,21
2023-08-03,32
2023-08-04,37
2023-08-05,46
2023-08-06,63
2023-08-07,83
2023-08-08,39
2023-08-09,40
2023-08-10,46
2023-08-11,42
2023-08-12,71
2023-08-13,49
2023-08-14,52
2023-08-15,41
2023-08-16,22
2023-08-17,38
2023-08-18,27
2023-08-19,23
2023-08-20,44
2023-08-21,24
2023-08-22,24
2023-08-23,20
2023-08-24,35
2023-08-25,43
2023-08-26,35
2023-08-27,39
2023-08-28,42
2023-08-29,53
2023-08-30,68
2023-08-31,19
2023-09-01,18
2023-09-02,17
2023-09-03,16
2023-09-04,16
2023-09-05,15
2023-09-06,25
2023-09-07,25
2023-09-08,34
2023-09-09,50
2023-09-10,33
2023-09-11,30
2023-09-12,31
2023-09-13,28
2023-09-14,21
2023-09-15,23
2023-09-16,40
2023-09-17,24
2023-09-18,12
2023-09-19,16
2023-09-20,18
2023-09-21,18
2023-09-22,25
2023-09-23,41
2023-09-24,32
2023-09-25,33
2023-09-26,23
2023-09-27,25
2023-09-28,17
2023-09-29,17
2023-09-30,18
2023-10-01,13
2023-10-02,9
2023-10-03,14
2023-10-04,25
2023-10-05,34
2023-10-06,17
2023-10-07,17
2023-10-08,8
2023-10-09,7
2023-10-10,9
2023-10-11,21
2023-10-12,25
2023-10-13,20
2023-10-14,23
2023-10-15,11
2023-10-16,8
2023-10-17,5
2023-10-18,7
2023-10-19,12
2023-10-20,17
2023-10-21,12
2023-10-22,7
2023-10-23,12
2023-10-24,20
2023-10-25,19
2023-10-26,23
2023-10-27,16
2023-10-28,21
2023-10-29,18
2023-10-30,14
2023-10-31,10
2023-11-01,7
2023-11-02,4
2023-11-03,5
2023-11-04,6
2023-11-05,5
2023-11-06,6
2023-11-07,5
2023-11-08,8
2023-11-09,16
2023-11-10,15
2023-11-11,11
2023-11-12,7
2023-11-13,9
2023-11-14,9
2023-11-15,13
2023-11-16,13
2023-11-17,14
2023-11-18,10
2023-11-19,10
2023-11-20,15
2023-11-21,22
2023-11-22,12
2023-11-23,5
2023-11-24,8
2023-11-25,12
2023-11-26,21
2023-11-27,8
2023-11-28,8
2023-11-29,6
2023-11-30,16
2023-12-01,17
2023-12-02,19
2023-12-03,15
2023-12-04,7
2023-12-05,7
2023-12-06,6
2023-12-07,5
2023-12-08,9
2023-12-09,30
2023-12-10,44
2023-12-11,11
2023-12-12,4
2023-12-13,7
2023-12-14,7
2023-12-15,12
2023-12-16,22
2023-12-17,28
2023-12-18,17
2023-12-19,7
2023-12-20,7
2023-12-21,9
2023-12-22,12
2023-12-23,13
2023-12-24,18
2023-12-25,21
2023-12-26,16
2023-12-27,13
2023-12-28,15
2023-12-29,9
2023-12-30,8
2023-12-31,7
2024-01-01,6
2024-01-02,7
2024-01-03,12
2024-01-04,10
2024-01-05,16
2024-01-06,35
2024-01-07,20
2024-01-08,48
2024-01-09,100
2024-01-10,25
2024-01-11,21
2024-01-12,70
2024-01-13,33
2024-01-14,35
2024-01-15,42
2024-01-16,30
2024-01-17,14
2024-01-18,21
2024-01-19,27
2024-01-20,12
