Time,us election
2023-12-22,11
2023-12-23,7
2023-12-24,8
2023-12-25,9
2023-12-26,10
2023-12-27,13
2023-12-28,12
2023-12-29,16
2023-12-30,10
2023-12-31,12
2024-01-01,17
2024-01-02,17
2024-01-03,22
2024-01-04,21
2024-01-05,19
2024-01-06,16
2024-01-07,16
2024-01-08,21
2024-01-09,23
2024-01-10,25
2024-01-11,27
2024-01-12,25
2024-01-13,18
2024-01-14,21
2024-01-15,23
2024-01-16,47
2024-01-17,33
2024-01-18,27
2024-01-19,24
2024-01-20,19
2024-01-21,25
2024-01-22,36
2024-01-23,36
2024-01-24,48
2024-01-25,31
2024-01-26,31
2024-01-27,19
2024-01-28,18
2024-01-29,25
2024-01-30,29
2024-01-31,26
2024-02-01,25
2024-02-02,24
2024-02-03,19
2024-02-04,20
2024-02-05,26
2024-02-06,30
2024-02-07,32
2024-02-08,29
2024-02-09,35
2024-02-10,19
2024-02-11,20
2024-02-12,27
2024-02-13,29
2024-02-14,35
2024-02-15,26
2024-02-16,26
2024-02-17,15
2024-02-18,16
2024-02-19,21
2024-02-20,30
2024-02-21,27
2024-02-22,26
2024-02-23,26
2024-02-24,22
2024-02-25,27
2024-02-26,33
2024-02-27,30
2024-02-28,34
2024-02-29,31
2024-03-01,27
2024-03-02,19
2024-03-03,27
2024-03-04,42
2024-03-05,55
2024-03-06,79
2024-03-07,46
2024-03-08,36
2024-03-09,19
2024-03-10,21
2024-03-11,30
2024-03-12,27
2024-03-13,36
2024-03-14,27
2024-03-15,22
2024-03-16,16
2024-03-17,20
2024-03-18,32
2024-03-19,35
2024-03-20,37
2024-03-21,25
2024-03-22,25
2024-03-23,15
2024-03-24,17
2024-03-25,24
2024-03-26,23
2024-03-27,25
2024-03-28,21
2024-03-29,17
2024-03-30,15
2024-03-31,16
2024-04-01,23
2024-04-02,24
2024-04-03,26
2024-04-04,23
2024-04-05,21
2024-04-06,11
2024-04-07,16
2024-04-08,20
2024-04-09,27
2024-04-10,28
2024-04-11,27
2024-04-12,29
2024-04-13,16
2024-04-14,17
2024-04-15,31
2024-04-16,27
2024-04-17,28
2024-04-18,29
2024-04-19,27
2024-04-20,13
2024-04-21,16
2024-04-22,31
2024-04-23,28
2024-04-24,32
2024-04-25,29
2024-04-26,27
2024-04-27,16
2024-04-28,19
2024-04-29,26
2024-04-30,27
2024-05-01,32
2024-05-02,26
2024-05-03,29
2024-05-04,15
2024-05-05,18
2024-05-06,35
2024-05-07,28
2024-05-08,31
2024-05-09,30
2024-05-10,24
2024-05-11,13
2024-05-12,17
2024-05-13,29
2024-05-14,30
2024-05-15,33
2024-05-16,27
2024-05-17,22
2024-05-18,13
2024-05-19,16
2024-05-20,22
2024-05-21,27
2024-05-22,24
2024-05-23,22
2024-05-24,22
2024-05-25,16
2024-05-26,11
2024-05-27,20
2024-05-28,22
2024-05-29,23
2024-05-30,32
2024-05-31,34
2024-06-01,24
2024-06-02,24
2024-06-03,34
2024-06-04,41
2024-06-05,33
2024-06-06,24
2024-06-07,22
2024-06-08,16
2024-06-09,18
2024-06-10,24
2024-06-11,27
2024-06-12,23
2024-06-13,23
2024-06-14,17
2024-06-15,14
2024-06-16,18
2024-06-17,25
2024-06-18,24
2024-06-19,21
2024-06-20,20
2024-06-21,22
2024-06-22,17
2024-06-23,20
2024-06-24,21
2024-06-25,22
2024-06-26,23
2024-06-27,28
2024-06-28,78
2024-06-29,35
2024-06-30,32
2024-07-01,33
2024-07-02,31
2024-07-03,32
2024-07-04,39
2024-07-05,40
2024-07-06,28
2024-07-07,30
2024-07-08,36
2024-07-09,28
2024-07-10,28
2024-07-11,29
2024-07-12,32
2024-07-13,24
2024-07-14,56
2024-07-15,46
2024-07-16,45
2024-07-17,37
2024-07-18,40
2024-07-19,45
2024-07-20,36
2024-07-21,86
2024-07-22,87
2024-07-23,68
2024-07-24,60
2024-07-25,54
2024-07-26,46
2024-07-27,40
2024-07-28,50
2024-07-29,58
2024-07-30,41
2024-07-31,41
2024-08-01,42
2024-08-02,41
2024-08-03,33
2024-08-04,34
2024-08-05,38
2024-08-06,48
2024-08-07,55
2024-08-08,43
2024-08-09,37
2024-08-10,33
2024-08-11,42
2024-08-12,38
2024-08-13,42
2024-08-14,41
2024-08-15,37
2024-08-16,32
2024-08-17,31
2024-08-18,33
2024-08-19,38
2024-08-20,47
2024-08-21,48
2024-08-22,43
2024-08-23,54
2024-08-24,42
2024-08-25,39
2024-08-26,39
2024-08-27,41
2024-08-28,37
2024-08-29,38
2024-08-30,35
2024-08-31,26
2024-09-01,27
2024-09-02,32
2024-09-03,41
2024-09-04,42
2024-09-05,44
2024-09-06,41
2024-09-07,31
2024-09-08,35
2024-09-09,41
2024-09-10,44
2024-09-11,100
2024-09-12,57
2024-09-13,58
2024-09-14,50
2024-09-15,47
2024-09-16,50
