Time,fedex tracking
2023-12-22,92
2023-12-23,57
2023-12-24,32
2023-12-25,19
2023-12-26,61
2023-12-27,78
2023-12-28,74
2023-12-29,69
2023-12-30,40
2023-12-31,25
2024-01-01,23
2024-01-02,74
2024-01-03,78
2024-01-04,71
2024-01-05,70
2024-01-06,41
2024-01-07,27
2024-01-08,67
2024-01-09,76
2024-01-10,80
2024-01-11,72
2024-01-12,67
2024-01-13,36
2024-01-14,24
2024-01-15,57
2024-01-16,72
2024-01-17,88
2024-01-18,98
2024-01-19,100
2024-01-20,54
2024-01-21,31
2024-01-22,95
2024-01-23,98
2024-01-24,89
2024-01-25,80
2024-01-26,73
2024-01-27,34
2024-01-28,21
2024-01-29,63
2024-01-30,76
2024-01-31,69
2024-02-01,69
2024-02-02,66
2024-02-03,31
2024-02-04,22
2024-02-05,66
2024-02-06,71
2024-02-07,68
2024-02-08,73
2024-02-09,60
2024-02-10,30
2024-02-11,17
2024-02-12,57
2024-02-13,68
2024-02-14,67
2024-02-15,69
2024-02-16,62
2024-02-17,27
2024-02-18,18
2024-02-19,59
2024-02-20,62
2024-02-21,69
2024-02-22,65
2024-02-23,65
2024-02-24,33
2024-02-25,21
2024-02-26,62
2024-02-27,70
2024-02-28,80
2024-02-29,69
2024-03-01,66
2024-03-02,34
2024-03-03,22
2024-03-04,67
2024-03-05,78
2024-03-06,75
2024-03-07,72
2024-03-08,74
2024-03-09,34
2024-03-10,22
2024-03-11,67
2024-03-12,76
2024-03-13,71
2024-03-14,75
2024-03-15,67
2024-03-16,36
2024-03-17,27
2024-03-18,91
2024-03-19,73
2024-03-20,74
2024-03-21,68
2024-03-22,64
2024-03-23,32
2024-03-24,22
2024-03-25,79
2024-03-26,73
2024-03-27,80
2024-03-28,76
2024-03-29,59
2024-03-30,27
2024-03-31,17
2024-04-01,68
2024-04-02,72
2024-04-03,66
2024-04-04,69
2024-04-05,62
2024-04-06,31
2024-04-07,22
2024-04-08,58
2024-04-09,68
2024-04-10,65
2024-04-11,66
2024-04-12,63
2024-04-13,29
2024-04-14,22
2024-04-15,69
2024-04-16,72
2024-04-17,71
2024-04-18,69
2024-04-19,64
2024-04-20,32
2024-04-21,22
2024-04-22,66
2024-04-23,66
2024-04-24,75
2024-04-25,68
2024-04-26,65
2024-04-27,32
2024-04-28,21
2024-04-29,74
2024-04-30,68
2024-05-01,69
2024-05-02,67
2024-05-03,66
2024-05-04,35
2024-05-05,25
2024-05-06,71
2024-05-07,74
2024-05-08,73
2024-05-09,83
2024-05-10,69
2024-05-11,36
2024-05-12,22
2024-05-13,71
2024-05-14,72
2024-05-15,69
2024-05-16,69
2024-05-17,64
2024-05-18,32
2024-05-19,25
2024-05-20,78
2024-05-21,75
2024-05-22,70
2024-05-23,68
2024-05-24,66
2024-05-25,33
2024-05-26,21
2024-05-27,25
2024-05-28,78
2024-05-29,71
2024-05-30,75
2024-05-31,75
2024-06-01,37
2024-06-02,26
2024-06-03,69
2024-06-04,73
2024-06-05,74
2024-06-06,79
2024-06-07,69
2024-06-08,34
2024-06-09,24
2024-06-10,77
2024-06-11,74
2024-06-12,77
2024-06-13,80
2024-06-14,69
2024-06-15,33
2024-06-16,29
2024-06-17,75
2024-06-18,81
2024-06-19,75
2024-06-20,83
2024-06-21,69
2024-06-22,32
2024-06-23,23
2024-06-24,71
2024-06-25,83
2024-06-26,77
2024-06-27,76
2024-06-28,71
2024-06-29,33
2024-06-30,22
2024-07-01,68
2024-07-02,78
2024-07-03,76
2024-07-04,31
2024-07-05,68
2024-07-06,39
2024-07-07,24
2024-07-08,73
2024-07-09,83
2024-07-10,80
2024-07-11,78
2024-07-12,77
2024-07-13,32
2024-07-14,23
2024-07-15,78
2024-07-16,84
2024-07-17,81
2024-07-18,76
2024-07-19,78
2024-07-20,36
2024-07-21,24
2024-07-22,72
2024-07-23,76
2024-07-24,85
2024-07-25,80
2024-07-26,75
2024-07-27,31
2024-07-28,23
2024-07-29,74
2024-07-30,77
2024-07-31,76
2024-08-01,75
2024-08-02,65
2024-08-03,32
2024-08-04,23
2024-08-05,75
2024-08-06,76
2024-08-07,80
2024-08-08,75
2024-08-09,70
2024-08-10,35
2024-08-11,25
2024-08-12,74
2024-08-13,79
2024-08-14,83
2024-08-15,78
2024-08-16,67
2024-08-17,35
2024-08-18,24
2024-08-19,66
2024-08-20,74
2024-08-21,81
2024-08-22,74
2024-08-23,63
2024-08-24,33
2024-08-25,23
2024-08-26,66
2024-08-27,74
2024-08-28,78
2024-08-29,70
2024-08-30,65
2024-08-31,32
2024-09-01,20
2024-09-02,23
2024-09-03,73
2024-09-04,78
2024-09-05,77
2024-09-06,70
2024-09-07,35
2024-09-08,27
2024-09-09,84
2024-09-10,81
2024-09-11,76
2024-09-12,73
2024-09-13,68
2024-09-14,30
2024-09-15,21
2024-09-16,65
