Time,fedex tracking
2022-01-01,26
2022-01-02,34
2022-01-03,71
2022-01-04,99
2022-01-05,100
2022-01-06,77
2022-01-07,90
2022-01-08,49
2022-01-09,36
2022-01-10,78
2022-01-11,90
2022-01-12,87
2022-01-13,92
2022-01-14,63
2022-01-15,43
2022-01-16,29
2022-01-17,54
2022-01-18,67
2022-01-19,73
2022-01-20,71
2022-01-21,68
2022-01-22,42
2022-01-23,26
2022-01-24,75
2022-01-25,65
2022-01-26,69
2022-01-27,73
2022-01-28,73
2022-01-29,41
2022-01-30,28
2022-01-31,68
2022-02-01,77
2022-02-02,71
2022-02-03,76
2022-02-04,82
2022-02-05,49
2022-02-06,36
2022-02-07,86
2022-02-08,91
2022-02-09,83
2022-02-10,71
2022-02-11,77
2022-02-12,42
2022-02-13,25
2022-02-14,63
2022-02-15,70
2022-02-16,62
2022-02-17,64
2022-02-18,59
2022-02-19,36
2022-02-20,25
2022-02-21,51
2022-02-22,68
2022-02-23,68
2022-02-24,68
2022-02-25,71
2022-02-26,42
2022-02-27,33
2022-02-28,71
2022-03-01,80
2022-03-02,75
2022-03-03,71
2022-03-04,65
2022-03-05,35
2022-03-06,27
2022-03-07,66
2022-03-08,73
2022-03-09,71
2022-03-10,71
2022-03-11,64
2022-03-12,34
2022-03-13,27
2022-03-14,65
2022-03-15,72
2022-03-16,72
2022-03-17,65
2022-03-18,61
2022-03-19,36
2022-03-20,25
2022-03-21,67
2022-03-22,81
2022-03-23,72
2022-03-24,69
2022-03-25,61
2022-03-26,35
2022-03-27,25
2022-03-28,70
2022-03-29,66
2022-03-30,71
2022-03-31,66
2022-04-01,58
2022-04-02,36
2022-04-03,25
2022-04-04,62
2022-04-05,66
2022-04-06,68
2022-04-07,66
2022-04-08,61
2022-04-09,34
2022-04-10,25
2022-04-11,68
2022-04-12,74
2022-04-13,76
2022-04-14,67
2022-04-15,58
2022-04-16,32
2022-04-17,22
2022-04-18,59
2022-04-19,64
2022-04-20,62
2022-04-21,63
2022-04-22,60
2022-04-23,32
2022-04-24,24
2022-04-25,64
2022-04-26,65
2022-04-27,66
2022-04-28,65
2022-04-29,57
2022-04-30,31
2022-05-01,24
2022-05-02,60
2022-05-03,62
2022-05-04,64
2022-05-05,66
2022-05-06,67
2022-05-07,32
2022-05-08,24
2022-05-09,59
2022-05-10,67
2022-05-11,62
2022-05-12,69
2022-05-13,63
2022-05-14,33
2022-05-15,24
2022-05-16,59
2022-05-17,69
2022-05-18,71
2022-05-19,69
2022-05-20,62
2022-05-21,34
2022-05-22,25
2022-05-23,66
2022-05-24,72
2022-05-25,75
2022-05-26,68
2022-05-27,58
2022-05-28,36
2022-05-29,24
2022-05-30,24
2022-05-31,78
2022-06-01,74
2022-06-02,73
2022-06-03,75
2022-06-04,38
2022-06-05,30
2022-06-06,74
2022-06-07,79
2022-06-08,80
2022-06-09,73
2022-06-10,69
2022-06-11,36
2022-06-12,27
2022-06-13,67
2022-06-14,72
2022-06-15,74
2022-06-16,76
2022-06-17,68
2022-06-18,36
2022-06-19,25
2022-06-20,57
2022-06-21,73
2022-06-22,72
2022-06-23,79
2022-06-24,67
2022-06-25,36
2022-06-26,26
2022-06-27,68
2022-06-28,77
2022-06-29,80
2022-06-30,75
2022-07-01,63
2022-07-02,32
2022-07-03,22
2022-07-04,20
2022-07-05,72
2022-07-06,77
2022-07-07,75
2022-07-08,73
2022-07-09,38
2022-07-10,26
2022-07-11,71
2022-07-12,81
2022-07-13,74
2022-07-14,75
2022-07-15,66
2022-07-16,34
2022-07-17,26
2022-07-18,65
2022-07-19,79
2022-07-20,77
2022-07-21,73
2022-07-22,63
2022-07-23,33
2022-07-24,25
2022-07-25,70
2022-07-26,75
2022-07-27,70
2022-07-28,70
2022-07-29,67
2022-07-30,32
2022-07-31,24
2022-08-01,63
2022-08-02,71
2022-08-03,71
2022-08-04,72
2022-08-05,63
2022-08-06,32
2022-08-07,24
2022-08-08,65
2022-08-09,76
2022-08-10,73
2022-08-11,69
2022-08-12,58
2022-08-13,31
2022-08-14,24
2022-08-15,62
2022-08-16,71
2022-08-17,72
2022-08-18,68
2022-08-19,63
2022-08-20,31
2022-08-21,22
2022-08-22,63
2022-08-23,70
2022-08-24,70
2022-08-25,65
2022-08-26,56
2022-08-27,32
2022-08-28,23
2022-08-29,62
2022-08-30,67
2022-08-31,65
2022-09-01,67
2022-09-02,55
2022-09-03,29
2022-09-04,20
2022-09-05,21
2022-09-06,65
2022-09-07,71
2022-09-08,66
2022-09-09,60
2022-09-10,34
2022-09-11,21
2022-09-12,59
2022-09-13,66
2022-09-14,68
2022-09-15,66
2022-09-16,58
2022-09-17,29
2022-09-18,20
2022-09-19,54
2022-09-20,61
2022-09-21,64
2022-09-22,61
2022-09-23,53
2022-09-24,27
2022-09-25,18
2022-09-26,55
2022-09-27,61
