Time,fedex tracking
2022-08-29,69
2022-08-30,75
2022-08-31,74
2022-09-01,75
2022-09-02,62
2022-09-03,33
2022-09-04,23
2022-09-05,24
2022-09-06,73
2022-09-07,80
2022-09-08,74
2022-09-09,67
2022-09-10,38
2022-09-11,24
2022-09-12,67
2022-09-13,74
2022-09-14,76
2022-09-15,74
2022-09-16,66
2022-09-17,32
2022-09-18,23
2022-09-19,60
2022-09-20,69
2022-09-21,72
2022-09-22,68
2022-09-23,60
2022-09-24,30
2022-09-25,20
2022-09-26,62
2022-09-27,69
2022-09-28,64
2022-09-29,65
2022-09-30,60
2022-10-01,31
2022-10-02,23
2022-10-03,62
2022-10-04,71
2022-10-05,68
2022-10-06,69
2022-10-07,64
2022-10-08,33
2022-10-09,25
2022-10-10,63
2022-10-11,74
2022-10-12,74
2022-10-13,72
2022-10-14,66
2022-10-15,33
2022-10-16,24
2022-10-17,66
2022-10-18,72
2022-10-19,77
2022-10-20,72
2022-10-21,60
2022-10-22,32
2022-10-23,23
2022-10-24,61
2022-10-25,67
2022-10-26,65
2022-10-27,68
2022-10-28,60
2022-10-29,30
2022-10-30,21
2022-10-31,58
2022-11-01,62
2022-11-02,61
2022-11-03,65
2022-11-04,62
2022-11-05,33
2022-11-06,21
2022-11-07,59
2022-11-08,63
2022-11-09,62
2022-11-10,63
2022-11-11,57
2022-11-12,33
2022-11-13,22
2022-11-14,59
2022-11-15,63
2022-11-16,68
2022-11-17,70
2022-11-18,67
2022-11-19,38
2022-11-20,27
2022-11-21,63
2022-11-22,73
2022-11-23,65
2022-11-24,24
2022-11-25,42
2022-11-26,36
2022-11-27,30
2022-11-28,65
2022-11-29,72
2022-11-30,86
2022-12-01,86
2022-12-02,83
2022-12-03,49
2022-12-04,38
2022-12-05,83
2022-12-06,87
2022-12-07,88
2022-12-08,89
2022-12-09,82
2022-12-10,43
2022-12-11,34
2022-12-12,77
2022-12-13,83
2022-12-14,83
2022-12-15,86
2022-12-16,86
2022-12-17,49
2022-12-18,37
2022-12-19,88
2022-12-20,97
2022-12-21,100
2022-12-22,94
2022-12-23,77
2022-12-24,52
2022-12-25,28
2022-12-26,41
2022-12-27,75
2022-12-28,88
2022-12-29,77
2022-12-30,57
2022-12-31,39
2023-01-01,21
2023-01-02,36
2023-01-03,62
2023-01-04,75
2023-01-05,72
2023-01-06,62
2023-01-07,36
2023-01-08,26
2023-01-09,60
2023-01-10,72
2023-01-11,69
2023-01-12,64
2023-01-13,60
2023-01-14,33
2023-01-15,22
2023-01-16,50
2023-01-17,63
2023-01-18,63
2023-01-19,61
2023-01-20,57
2023-01-21,32
2023-01-22,21
2023-01-23,57
2023-01-24,61
2023-01-25,59
2023-01-26,59
2023-01-27,55
2023-01-28,31
2023-01-29,20
2023-01-30,54
2023-01-31,68
2023-02-01,73
2023-02-02,77
2023-02-03,91
2023-02-04,44
2023-02-05,30
2023-02-06,81
2023-02-07,84
2023-02-08,74
2023-02-09,71
2023-02-10,67
2023-02-11,35
2023-02-12,23
2023-02-13,59
2023-02-14,69
2023-02-15,69
2023-02-16,65
2023-02-17,62
2023-02-18,32
2023-02-19,23
2023-02-20,49
2023-02-21,61
2023-02-22,61
2023-02-23,66
2023-02-24,65
2023-02-25,38
2023-02-26,27
2023-02-27,68
2023-02-28,76
2023-03-01,74
2023-03-02,78
2023-03-03,69
2023-03-04,40
2023-03-05,30
2023-03-06,70
2023-03-07,78
2023-03-08,75
2023-03-09,70
2023-03-10,63
2023-03-11,36
2023-03-12,24
2023-03-13,62
2023-03-14,74
2023-03-15,69
2023-03-16,62
2023-03-17,60
2023-03-18,33
2023-03-19,22
2023-03-20,70
2023-03-21,72
2023-03-22,67
2023-03-23,63
2023-03-24,62
2023-03-25,32
2023-03-26,23
2023-03-27,60
2023-03-28,69
2023-03-29,69
2023-03-30,63
2023-03-31,60
2023-04-01,32
2023-04-02,24
2023-04-03,62
2023-04-04,69
2023-04-05,71
2023-04-06,68
2023-04-07,53
2023-04-08,32
2023-04-09,20
2023-04-10,64
2023-04-11,69
2023-04-12,67
2023-04-13,66
2023-04-14,58
2023-04-15,32
2023-04-16,24
2023-04-17,60
2023-04-18,67
2023-04-19,67
2023-04-20,60
2023-04-21,57
2023-04-22,31
2023-04-23,21
2023-04-24,61
2023-04-25,66
2023-04-26,65
2023-04-27,61
2023-04-28,55
2023-04-29,31
2023-04-30,20
2023-05-01,58
2023-05-02,65
2023-05-03,65
2023-05-04,63
2023-05-05,53
2023-05-06,29
2023-05-07,21
2023-05-08,62
2023-05-09,67
2023-05-10,68
2023-05-11,66
2023-05-12,58
2023-05-13,35
2023-05-14,22
2023-05-15,66
2023-05-16,67
2023-05-17,65
2023-05-18,63
2023-05-19,57
2023-05-20,30
2023-05-21,19
2023-05-22,56
2023-05-23,65
2023-05-24,63
2023-05-25,65
