Time,harrison ford
2023-12-22,18
2023-12-23,26
2023-12-24,31
2023-12-25,33
2023-12-26,27
2023-12-27,23
2023-12-28,22
2023-12-29,22
2023-12-30,28
2023-12-31,26
2024-01-01,37
2024-01-02,20
2024-01-03,17
2024-01-04,16
2024-01-05,17
2024-01-06,28
2024-01-07,30
2024-01-08,27
2024-01-09,17
2024-01-10,19
2024-01-11,16
2024-01-12,17
2024-01-13,19
2024-01-14,23
2024-01-15,100
2024-01-16,46
2024-01-17,23
2024-01-18,19
2024-01-19,21
2024-01-20,28
2024-01-21,24
2024-01-22,16
2024-01-23,14
2024-01-24,22
2024-01-25,17
2024-01-26,16
2024-01-27,20
2024-01-28,25
2024-01-29,17
2024-01-30,18
2024-01-31,14
2024-02-01,12
2024-02-02,12
2024-02-03,20
2024-02-04,31
2024-02-05,15
2024-02-06,15
2024-02-07,12
2024-02-08,12
2024-02-09,11
2024-02-10,16
2024-02-11,19
2024-02-12,11
2024-02-13,14
2024-02-14,13
2024-02-15,11
2024-02-16,11
2024-02-17,20
2024-02-18,21
2024-02-19,17
2024-02-20,12
2024-02-21,13
2024-02-22,14
2024-02-23,11
2024-02-24,17
2024-02-25,18
2024-02-26,12
2024-02-27,19
2024-02-28,12
2024-02-29,11
2024-03-01,15
2024-03-02,20
2024-03-03,20
2024-03-04,17
2024-03-05,10
2024-03-06,19
2024-03-07,13
2024-03-08,12
2024-03-09,18
2024-03-10,20
2024-03-11,13
2024-03-12,9
2024-03-13,11
2024-03-14,9
2024-03-15,13
2024-03-16,23
2024-03-17,19
2024-03-18,12
2024-03-19,11
2024-03-20,12
2024-03-21,11
2024-03-22,11
2024-03-23,16
2024-03-24,17
2024-03-25,11
2024-03-26,12
2024-03-27,13
2024-03-28,13
2024-03-29,12
2024-03-30,18
2024-03-31,17
2024-04-01,12
2024-04-02,11
2024-04-03,12
2024-04-04,11
2024-04-05,12
2024-04-06,17
2024-04-07,17
2024-04-08,10
2024-04-09,10
2024-04-10,11
2024-04-11,20
2024-04-12,17
2024-04-13,17
2024-04-14,16
2024-04-15,12
2024-04-16,12
2024-04-17,13
2024-04-18,11
2024-04-19,12
2024-04-20,14
2024-04-21,19
2024-04-22,16
2024-04-23,11
2024-04-24,10
2024-04-25,13
2024-04-26,12
2024-04-27,15
2024-04-28,18
2024-04-29,12
2024-04-30,12
2024-05-01,10
2024-05-02,12
2024-05-03,12
2024-05-04,24
2024-05-05,29
2024-05-06,14
2024-05-07,10
2024-05-08,10
2024-05-09,10
2024-05-10,12
2024-05-11,20
2024-05-12,18
2024-05-13,13
2024-05-14,11
2024-05-15,10
2024-05-16,12
2024-05-17,9
2024-05-18,13
2024-05-19,16
2024-05-20,12
2024-05-21,13
2024-05-22,12
2024-05-23,12
2024-05-24,12
2024-05-25,15
2024-05-26,21
2024-05-27,20
2024-05-28,14
2024-05-29,13
2024-05-30,13
2024-05-31,10
2024-06-01,15
2024-06-02,20
2024-06-03,16
2024-06-04,11
2024-06-05,12
2024-06-06,16
2024-06-07,15
2024-06-08,22
2024-06-09,28
2024-06-10,16
2024-06-11,14
2024-06-12,15
2024-06-13,16
2024-06-14,16
2024-06-15,20
2024-06-16,22
2024-06-17,13
2024-06-18,13
2024-06-19,13
2024-06-20,13
2024-06-21,16
2024-06-22,23
2024-06-23,25
2024-06-24,16
2024-06-25,12
2024-06-26,13
2024-06-27,11
2024-06-28,12
2024-06-29,17
2024-06-30,17
2024-07-01,13
2024-07-02,10
2024-07-03,12
2024-07-04,18
2024-07-05,15
2024-07-06,17
2024-07-07,18
2024-07-08,12
2024-07-09,13
2024-07-10,18
2024-07-11,17
2024-07-12,45
2024-07-13,51
2024-07-14,35
2024-07-15,19
2024-07-16,19
2024-07-17,17
2024-07-18,16
2024-07-19,16
2024-07-20,21
2024-07-21,26
2024-07-22,14
2024-07-23,16
2024-07-24,15
2024-07-25,17
2024-07-26,16
2024-07-27,17
2024-07-28,41
2024-07-29,28
2024-07-30,25
2024-07-31,20
2024-08-01,15
2024-08-02,18
2024-08-03,19
2024-08-04,28
2024-08-05,15
2024-08-06,13
2024-08-07,16
2024-08-08,14
2024-08-09,14
2024-08-10,32
2024-08-11,31
2024-08-12,29
2024-08-13,22
2024-08-14,22
2024-08-15,16
2024-08-16,18
2024-08-17,20
2024-08-18,25
2024-08-19,16
2024-08-20,14
2024-08-21,15
2024-08-22,17
2024-08-23,20
2024-08-24,25
2024-08-25,26
2024-08-26,14
2024-08-27,13
2024-08-28,23
2024-08-29,15
2024-08-30,21
2024-08-31,18
2024-09-01,19
2024-09-02,19
2024-09-03,14
2024-09-04,11
2024-09-05,10
2024-09-06,11
2024-09-07,15
2024-09-08,20
2024-09-09,13
2024-09-10,19
2024-09-11,12
2024-09-12,14
2024-09-13,14
2024-09-14,16
2024-09-15,31
2024-09-16,11
