Time,popular vote
2023-04-26,63
2023-04-27,65
2023-04-28,54
2023-04-29,28
2023-04-30,38
2023-05-01,70
2023-05-02,58
2023-05-03,56
2023-05-04,49
2023-05-05,45
2023-05-06,23
2023-05-07,17
2023-05-08,57
2023-05-09,42
2023-05-10,69
2023-05-11,63
2023-05-12,49
2023-05-13,29
2023-05-14,29
2023-05-15,54
2023-05-16,52
2023-05-17,46
2023-05-18,39
2023-05-19,49
2023-05-20,23
2023-05-21,15
2023-05-22,40
2023-05-23,48
2023-05-24,40
2023-05-25,41
2023-05-26,34
2023-05-27,15
2023-05-28,17
2023-05-29,19
2023-05-30,30
2023-05-31,35
2023-06-01,25
2023-06-02,19
2023-06-03,14
2023-06-04,15
2023-06-05,24
2023-06-06,30
2023-06-07,32
2023-06-08,32
2023-06-09,38
2023-06-10,30
2023-06-11,25
2023-06-12,31
2023-06-13,30
2023-06-14,27
2023-06-15,22
2023-06-16,12
2023-06-17,18
2023-06-18,24
2023-06-19,22
2023-06-20,22
2023-06-21,20
2023-06-22,26
2023-06-23,17
2023-06-24,12
2023-06-25,11
2023-06-26,19
2023-06-27,24
2023-06-28,21
2023-06-29,24
2023-06-30,27
2023-07-01,30
2023-07-02,15
2023-07-03,16
2023-07-04,23
2023-07-05,19
2023-07-06,17
2023-07-07,15
2023-07-08,15
2023-07-09,17
2023-07-10,19
2023-07-11,14
2023-07-12,20
2023-07-13,17
2023-07-14,0
2023-07-15,19
2023-07-16,18
2023-07-17,28
2023-07-18,22
2023-07-19,28
2023-07-20,15
2023-07-21,17
2023-07-22,16
2023-07-23,12
2023-07-24,16
2023-07-25,13
2023-07-26,15
2023-07-27,18
2023-07-28,16
2023-07-29,15
2023-07-30,21
2023-07-31,26
2023-08-01,20
2023-08-02,28
2023-08-03,36
2023-08-04,21
2023-08-05,31
2023-08-06,33
2023-08-07,22
2023-08-08,24
2023-08-09,30
2023-08-10,19
2023-08-11,15
2023-08-12,19
2023-08-13,13
2023-08-14,25
2023-08-15,37
2023-08-16,35
2023-08-17,31
2023-08-18,34
2023-08-19,18
2023-08-20,19
2023-08-21,37
2023-08-22,31
2023-08-23,41
2023-08-24,46
2023-08-25,45
2023-08-26,29
2023-08-27,26
2023-08-28,37
2023-08-29,29
2023-08-30,41
2023-08-31,55
2023-09-01,23
2023-09-02,34
2023-09-03,19
2023-09-04,27
2023-09-05,34
2023-09-06,38
2023-09-07,42
2023-09-08,33
2023-09-09,20
2023-09-10,17
2023-09-11,44
2023-09-12,39
2023-09-13,40
2023-09-14,43
2023-09-15,53
2023-09-16,22
2023-09-17,19
2023-09-18,56
2023-09-19,52
2023-09-20,54
2023-09-21,54
2023-09-22,39
2023-09-23,18
2023-09-24,29
2023-09-25,56
2023-09-26,60
2023-09-27,52
2023-09-28,73
2023-09-29,49
2023-09-30,29
2023-10-01,24
2023-10-02,61
2023-10-03,66
2023-10-04,68
2023-10-05,58
2023-10-06,56
2023-10-07,29
2023-10-08,16
2023-10-09,41
2023-10-10,55
2023-10-11,56
2023-10-12,50
2023-10-13,58
2023-10-14,21
2023-10-15,24
2023-10-16,59
2023-10-17,59
2023-10-18,62
2023-10-19,67
2023-10-20,65
2023-10-21,30
2023-10-22,23
2023-10-23,61
2023-10-24,90
2023-10-25,82
2023-10-26,72
2023-10-27,77
2023-10-28,25
2023-10-29,28
2023-10-30,74
2023-10-31,69
2023-11-01,64
2023-11-02,70
2023-11-03,62
2023-11-04,30
2023-11-05,35
2023-11-06,87
2023-11-07,78
2023-11-08,100
2023-11-09,76
2023-11-10,45
2023-11-11,35
2023-11-12,33
2023-11-13,86
2023-11-14,71
2023-11-15,78
2023-11-16,72
2023-11-17,61
2023-11-18,25
2023-11-19,24
2023-11-20,60
2023-11-21,46
2023-11-22,31
2023-11-23,19
2023-11-24,21
2023-11-25,14
2023-11-26,31
2023-11-27,74
2023-11-28,82
2023-11-29,81
2023-11-30,82
2023-12-01,66
2023-12-02,28
2023-12-03,30
2023-12-04,80
2023-12-05,80
2023-12-06,73
2023-12-07,76
2023-12-08,82
2023-12-09,24
2023-12-10,24
2023-12-11,68
2023-12-12,80
2023-12-13,78
2023-12-14,74
2023-12-15,69
2023-12-16,29
2023-12-17,26
2023-12-18,61
2023-12-19,56
2023-12-20,74
2023-12-21,58
2023-12-22,31
2023-12-23,17
2023-12-24,32
2023-12-25,14
2023-12-26,11
2023-12-27,25
2023-12-28,20
2023-12-29,27
2023-12-30,17
2023-12-31,22
2024-01-01,24
2024-01-02,34
2024-01-03,39
2024-01-04,43
2024-01-05,40
2024-01-06,24
2024-01-07,25
2024-01-08,41
2024-01-09,52
2024-01-10,50
2024-01-11,59
2024-01-12,47
2024-01-13,32
2024-01-14,17
2024-01-15,31
2024-01-16,69
2024-01-17,62
2024-01-18,62
2024-01-19,51
2024-01-20,42
