Time,popular vote
2023-12-22,8
2023-12-23,5
2023-12-24,9
2023-12-25,4
2023-12-26,3
2023-12-27,7
2023-12-28,5
2023-12-29,7
2023-12-30,4
2023-12-31,6
2024-01-01,6
2024-01-02,9
2024-01-03,10
2024-01-04,11
2024-01-05,11
2024-01-06,6
2024-01-07,7
2024-01-08,11
2024-01-09,14
2024-01-10,13
2024-01-11,16
2024-01-12,13
2024-01-13,9
2024-01-14,5
2024-01-15,8
2024-01-16,18
2024-01-17,16
2024-01-18,16
2024-01-19,13
2024-01-20,11
2024-01-21,12
2024-01-22,20
2024-01-23,19
2024-01-24,20
2024-01-25,19
2024-01-26,16
2024-01-27,9
2024-01-28,9
2024-01-29,17
2024-01-30,20
2024-01-31,21
2024-02-01,23
2024-02-02,17
2024-02-03,7
2024-02-04,8
2024-02-05,19
2024-02-06,18
2024-02-07,18
2024-02-08,17
2024-02-09,22
2024-02-10,9
2024-02-11,9
2024-02-12,14
2024-02-13,18
2024-02-14,16
2024-02-15,20
2024-02-16,16
2024-02-17,6
2024-02-18,7
2024-02-19,13
2024-02-20,17
2024-02-21,15
2024-02-22,17
2024-02-23,14
2024-02-24,10
2024-02-25,16
2024-02-26,22
2024-02-27,20
2024-02-28,19
2024-02-29,23
2024-03-01,18
2024-03-02,7
2024-03-03,10
2024-03-04,23
2024-03-05,27
2024-03-06,30
2024-03-07,23
2024-03-08,22
2024-03-09,11
2024-03-10,23
2024-03-11,21
2024-03-12,17
2024-03-13,27
2024-03-14,25
2024-03-15,16
2024-03-16,8
2024-03-17,11
2024-03-18,18
2024-03-19,19
2024-03-20,17
2024-03-21,18
2024-03-22,19
2024-03-23,9
2024-03-24,9
2024-03-25,15
2024-03-26,19
2024-03-27,19
2024-03-28,17
2024-03-29,11
2024-03-30,8
2024-03-31,6
2024-04-01,12
2024-04-02,18
2024-04-03,22
2024-04-04,26
2024-04-05,18
2024-04-06,8
2024-04-07,11
2024-04-08,15
2024-04-09,17
2024-04-10,18
2024-04-11,20
2024-04-12,20
2024-04-13,9
2024-04-14,8
2024-04-15,22
2024-04-16,32
2024-04-17,25
2024-04-18,22
2024-04-19,19
2024-04-20,12
2024-04-21,12
2024-04-22,20
2024-04-23,23
2024-04-24,21
2024-04-25,21
2024-04-26,20
2024-04-27,9
2024-04-28,11
2024-04-29,23
2024-04-30,22
2024-05-01,21
2024-05-02,18
2024-05-03,17
2024-05-04,10
2024-05-05,10
2024-05-06,17
2024-05-07,18
2024-05-08,17
2024-05-09,17
2024-05-10,16
2024-05-11,12
2024-05-12,16
2024-05-13,16
2024-05-14,16
2024-05-15,14
2024-05-16,17
2024-05-17,14
2024-05-18,6
2024-05-19,5
2024-05-20,13
2024-05-21,14
2024-05-22,13
2024-05-23,12
2024-05-24,8
2024-05-25,8
2024-05-26,7
2024-05-27,8
2024-05-28,10
2024-05-29,10
2024-05-30,15
2024-05-31,23
2024-06-01,11
2024-06-02,12
2024-06-03,12
2024-06-04,13
2024-06-05,11
2024-06-06,8
2024-06-07,9
2024-06-08,8
2024-06-09,9
2024-06-10,13
2024-06-11,10
2024-06-12,8
2024-06-13,5
2024-06-14,7
2024-06-15,9
2024-06-16,5
2024-06-17,11
2024-06-18,7
2024-06-19,9
2024-06-20,10
2024-06-21,9
2024-06-22,6
2024-06-23,8
2024-06-24,9
2024-06-25,10
2024-06-26,9
2024-06-27,9
2024-06-28,26
2024-06-29,15
2024-06-30,9
2024-07-01,12
2024-07-02,19
2024-07-03,19
2024-07-04,16
2024-07-05,16
2024-07-06,19
2024-07-07,13
2024-07-08,17
2024-07-09,15
2024-07-10,14
2024-07-11,12
2024-07-12,14
2024-07-13,16
2024-07-14,21
2024-07-15,21
2024-07-16,19
2024-07-17,21
2024-07-18,19
2024-07-19,23
2024-07-20,16
2024-07-21,47
2024-07-22,46
2024-07-23,41
2024-07-24,36
2024-07-25,29
2024-07-26,25
2024-07-27,23
2024-07-28,15
2024-07-29,19
2024-07-30,20
2024-07-31,18
2024-08-01,18
2024-08-02,14
2024-08-03,15
2024-08-04,16
2024-08-05,15
2024-08-06,23
2024-08-07,21
2024-08-08,21
2024-08-09,17
2024-08-10,16
2024-08-11,19
2024-08-12,17
2024-08-13,14
2024-08-14,20
2024-08-15,18
2024-08-16,16
2024-08-17,15
2024-08-18,17
2024-08-19,20
2024-08-20,32
2024-08-21,29
2024-08-22,22
2024-08-23,32
2024-08-24,24
2024-08-25,24
2024-08-26,19
2024-08-27,24
2024-08-28,24
2024-08-29,19
2024-08-30,20
2024-08-31,18
2024-09-01,16
2024-09-02,17
2024-09-03,22
2024-09-04,26
2024-09-05,23
2024-09-06,24
2024-09-07,20
2024-09-08,15
2024-09-09,27
2024-09-10,26
2024-09-11,100
2024-09-12,42
2024-09-13,33
2024-09-14,25
2024-09-15,24
2024-09-16,28
