Time,t mobile
2025-12-11,84
2025-12-12,80
2025-12-13,91
2025-12-14,76
2025-12-15,74
2025-12-16,84
2025-12-17,81
2025-12-18,80
2025-12-19,83
2025-12-20,86
2025-12-21,83
2025-12-22,84
2025-12-23,90
2025-12-24,88
2025-12-25,68
2025-12-26,100
2025-12-27,86
2025-12-28,80
2025-12-29,84
2025-12-30,91
2025-12-31,82
2026-01-01,71
2026-01-02,87
2026-01-03,80
2026-01-04,78
2026-01-05,77
2026-01-06,73
2026-01-07,81
2026-01-08,70
2026-01-09,74
2026-01-10,78
2026-01-11,72
2026-01-12,70
2026-01-13,70
2026-01-14,83
2026-01-15,87
2026-01-16,79
2026-01-17,78
2026-01-18,69
2026-01-19,72
2026-01-20,70
2026-01-21,74
2026-01-22,74
2026-01-23,72
2026-01-24,73
2026-01-25,69
2026-01-26,71
2026-01-27,64
2026-01-28,66
2026-01-29,68
2026-01-30,67
2026-01-31,73
2026-02-01,59
2026-02-02,69
2026-02-03,73
2026-02-04,66
2026-02-05,64
2026-02-06,64
2026-02-07,71
2026-02-08,62
2026-02-09,64
2026-02-10,73
2026-02-11,67
2026-02-12,70
2026-02-13,71
2026-02-14,74
2026-02-15,69
2026-02-16,69
2026-02-17,65
2026-02-18,67
2026-02-19,66
2026-02-20,74
2026-02-21,97
2026-02-22,69
2026-02-23,67
2026-02-24,71
2026-02-25,81
2026-02-26,83
2026-02-27,86
2026-02-28,83
2026-03-01,78
2026-03-02,82
2026-03-03,82
2026-03-04,77
2026-03-05,85
2026-03-06,81
2026-03-07,86
2026-03-08,77
2026-03-09,71
2026-03-10,72
2026-03-11,75
2026-03-12,77
2026-03-13,77
2026-03-14,84
2026-03-15,72
2026-03-16,67
2026-03-17,75
2026-03-18,68
2026-03-19,71
2026-03-20,76
2026-03-21,77
2026-03-22,71
2026-03-23,70
2026-03-24,82
2026-03-25,73
2026-03-26,81
2026-03-27,81
2026-03-28,79
2026-03-29,78
2026-03-30,71
2026-03-31,73
2026-04-01,80
2026-04-02,74
2026-04-03,71
2026-04-04,70
2026-04-05,65
2026-04-06,72
2026-04-07,71
2026-04-08,67
2026-04-09,69
2026-04-10,69
2026-04-11,75
2026-04-12,71
2026-04-13,68
2026-04-14,70
2026-04-15,65
2026-04-16,74
2026-04-17,66
2026-04-18,75
2026-04-19,66
2026-04-20,71
2026-04-21,77
2026-04-22,71
2026-04-23,69
2026-04-24,69
2026-04-25,74
2026-04-26,70
2026-04-27,65
2026-04-28,73
2026-04-29,69
2026-04-30,79
2026-05-01,77
2026-05-02,79
2026-05-03,75
2026-05-04,73
2026-05-05,70
2026-05-06,72
2026-05-07,71
2026-05-08,71
2026-05-09,72
2026-05-10,68
2026-05-11,71
2026-05-12,81
2026-05-13,69
2026-05-14,73
2026-05-15,73
2026-05-16,79
2026-05-17,76
2026-05-18,70
2026-05-19,76
2026-05-20,74
2026-05-21,78
2026-05-22,79
2026-05-23,77
2026-05-24,73
2026-05-25,76
2026-05-26,71
2026-05-27,75
2026-05-28,94
2026-05-29,85
2026-05-30,86
2026-05-31,82
