Time,t mobile
2023-12-22,82
2023-12-23,90
2023-12-24,70
2023-12-25,63
2023-12-26,96
2023-12-27,95
2023-12-28,87
2023-12-29,88
2023-12-30,79
2023-12-31,63
2024-01-01,64
2024-01-02,73
2024-01-03,70
2024-01-04,75
2024-01-05,75
2024-01-06,68
2024-01-07,63
2024-01-08,63
2024-01-09,61
2024-01-10,60
2024-01-11,74
2024-01-12,67
2024-01-13,71
2024-01-14,65
2024-01-15,64
2024-01-16,60
2024-01-17,65
2024-01-18,67
2024-01-19,69
2024-01-20,71
2024-01-21,70
2024-01-22,67
2024-01-23,66
2024-01-24,63
2024-01-25,66
2024-01-26,72
2024-01-27,69
2024-01-28,61
2024-01-29,60
2024-01-30,63
2024-01-31,60
2024-02-01,62
2024-02-02,64
2024-02-03,64
2024-02-04,62
2024-02-05,57
2024-02-06,60
2024-02-07,60
2024-02-08,58
2024-02-09,56
2024-02-10,64
2024-02-11,59
2024-02-12,65
2024-02-13,63
2024-02-14,55
2024-02-15,61
2024-02-16,71
2024-02-17,66
2024-02-18,60
2024-02-19,64
2024-02-20,60
2024-02-21,59
2024-02-22,91
2024-02-23,73
2024-02-24,69
2024-02-25,61
2024-02-26,58
2024-02-27,58
2024-02-28,57
2024-02-29,60
2024-03-01,67
2024-03-02,70
2024-03-03,61
2024-03-04,56
2024-03-05,62
2024-03-06,62
2024-03-07,61
2024-03-08,69
2024-03-09,60
2024-03-10,59
2024-03-11,55
2024-03-12,58
2024-03-13,59
2024-03-14,59
2024-03-15,61
2024-03-16,63
2024-03-17,59
2024-03-18,55
2024-03-19,58
2024-03-20,58
2024-03-21,61
2024-03-22,58
2024-03-23,60
2024-03-24,57
2024-03-25,53
2024-03-26,68
2024-03-27,60
2024-03-28,61
2024-03-29,64
2024-03-30,60
2024-03-31,53
2024-04-01,61
2024-04-02,61
2024-04-03,56
2024-04-04,55
2024-04-05,56
2024-04-06,57
2024-04-07,56
2024-04-08,59
2024-04-09,57
2024-04-10,50
2024-04-11,57
2024-04-12,63
2024-04-13,60
2024-04-14,64
2024-04-15,56
2024-04-16,74
2024-04-17,63
2024-04-18,60
2024-04-19,62
2024-04-20,59
2024-04-21,56
2024-04-22,58
2024-04-23,54
2024-04-24,56
2024-04-25,51
2024-04-26,54
2024-04-27,59
2024-04-28,58
2024-04-29,57
2024-04-30,60
2024-05-01,58
2024-05-02,58
2024-05-03,62
2024-05-04,58
2024-05-05,60
2024-05-06,54
2024-05-07,62
2024-05-08,56
2024-05-09,58
2024-05-10,63
2024-05-11,57
2024-05-12,58
2024-05-13,55
2024-05-14,55
2024-05-15,60
2024-05-16,63
2024-05-17,60
2024-05-18,56
2024-05-19,59
2024-05-20,63
2024-05-21,62
2024-05-22,74
2024-05-23,68
2024-05-24,65
2024-05-25,66
2024-05-26,59
2024-05-27,59
2024-05-28,69
2024-05-29,68
2024-05-30,67
2024-05-31,66
2024-06-01,71
2024-06-02,65
2024-06-03,62
2024-06-04,71
2024-06-05,69
2024-06-06,67
2024-06-07,69
2024-06-08,66
2024-06-09,58
2024-06-10,69
2024-06-11,82
2024-06-12,70
2024-06-13,77
2024-06-14,67
2024-06-15,69
2024-06-16,65
2024-06-17,65
2024-06-18,67
2024-06-19,69
2024-06-20,64
2024-06-21,73
2024-06-22,67
2024-06-23,66
2024-06-24,65
2024-06-25,66
2024-06-26,62
2024-06-27,69
2024-06-28,67
2024-06-29,66
2024-06-30,64
2024-07-01,70
2024-07-02,72
2024-07-03,72
2024-07-04,61
2024-07-05,64
2024-07-06,62
2024-07-07,61
2024-07-08,69
2024-07-09,71
2024-07-10,67
2024-07-11,70
2024-07-12,69
2024-07-13,68
2024-07-14,61
2024-07-15,64
2024-07-16,68
2024-07-17,71
2024-07-18,66
2024-07-19,71
2024-07-20,58
2024-07-21,64
2024-07-22,68
2024-07-23,90
2024-07-24,74
2024-07-25,70
2024-07-26,70
2024-07-27,67
2024-07-28,59
2024-07-29,62
2024-07-30,64
2024-07-31,66
2024-08-01,72
2024-08-02,77
2024-08-03,71
2024-08-04,69
2024-08-05,65
2024-08-06,62
2024-08-07,67
2024-08-08,64
2024-08-09,64
2024-08-10,63
2024-08-11,65
2024-08-12,69
2024-08-13,75
2024-08-14,68
2024-08-15,72
2024-08-16,72
2024-08-17,71
2024-08-18,67
2024-08-19,72
2024-08-20,67
2024-08-21,67
2024-08-22,68
2024-08-23,69
2024-08-24,67
2024-08-25,65
2024-08-26,63
2024-08-27,72
2024-08-28,68
2024-08-29,64
2024-08-30,68
2024-08-31,68
2024-09-01,65
2024-09-02,63
2024-09-03,64
2024-09-04,64
2024-09-05,64
2024-09-06,63
2024-09-07,67
2024-09-08,59
2024-09-09,74
2024-09-10,85
2024-09-11,72
2024-09-12,74
2024-09-13,100
2024-09-14,88
2024-09-15,84
2024-09-16,71
