Time,quincy jones
2022-08-29,28
2022-08-30,33
2022-08-31,27
2022-09-01,23
2022-09-02,29
2022-09-03,31
2022-09-04,34
2022-09-05,26
2022-09-06,21
2022-09-07,20
2022-09-08,19
2022-09-09,21
2022-09-10,20
2022-09-11,31
2022-09-12,21
2022-09-13,21
2022-09-14,24
2022-09-15,18
2022-09-16,23
2022-09-17,32
2022-09-18,22
2022-09-19,17
2022-09-20,18
2022-09-21,17
2022-09-22,21
2022-09-23,28
2022-09-24,34
2022-09-25,29
2022-09-26,19
2022-09-27,22
2022-09-28,24
2022-09-29,19
2022-09-30,29
2022-10-01,21
2022-10-02,25
2022-10-03,23
2022-10-04,19
2022-10-05,20
2022-10-06,21
2022-10-07,18
2022-10-08,26
2022-10-09,23
2022-10-10,17
2022-10-11,13
2022-10-12,23
2022-10-13,22
2022-10-14,22
2022-10-15,24
2022-10-16,28
2022-10-17,19
2022-10-18,20
2022-10-19,26
2022-10-20,20
2022-10-21,19
2022-10-22,27
2022-10-23,22
2022-10-24,27
2022-10-25,22
2022-10-26,22
2022-10-27,16
2022-10-28,19
2022-10-29,18
2022-10-30,24
2022-10-31,21
2022-11-01,18
2022-11-02,21
2022-11-03,20
2022-11-04,19
2022-11-05,26
2022-11-06,25
2022-11-07,21
2022-11-08,16
2022-11-09,17
2022-11-10,30
2022-11-11,23
2022-11-12,22
2022-11-13,26
2022-11-14,19
2022-11-15,21
2022-11-16,22
2022-11-17,26
2022-11-18,25
2022-11-19,21
2022-11-20,25
2022-11-21,31
2022-11-22,27
2022-11-23,20
2022-11-24,31
2022-11-25,33
2022-11-26,20
2022-11-27,42
2022-11-28,18
2022-11-29,60
2022-11-30,33
2022-12-01,40
2022-12-02,32
2022-12-03,38
2022-12-04,46
2022-12-05,21
2022-12-06,24
2022-12-07,36
2022-12-08,23
2022-12-09,29
2022-12-10,32
2022-12-11,41
2022-12-12,24
2022-12-13,18
2022-12-14,19
2022-12-15,17
2022-12-16,31
2022-12-17,26
2022-12-18,30
2022-12-19,21
2022-12-20,18
2022-12-21,26
2022-12-22,21
2022-12-23,27
2022-12-24,31
2022-12-25,34
2022-12-26,44
2022-12-27,25
2022-12-28,27
2022-12-29,27
2022-12-30,25
2022-12-31,38
2023-01-01,30
2023-01-02,30
2023-01-03,17
2023-01-04,29
2023-01-05,25
2023-01-06,51
2023-01-07,42
2023-01-08,53
2023-01-09,25
2023-01-10,23
2023-01-11,21
2023-01-12,19
2023-01-13,22
2023-01-14,26
2023-01-15,25
2023-01-16,35
2023-01-17,22
2023-01-18,23
2023-01-19,22
2023-01-20,27
2023-01-21,27
2023-01-22,25
2023-01-23,24
2023-01-24,18
2023-01-25,19
2023-01-26,24
2023-01-27,33
2023-01-28,26
2023-01-29,32
2023-01-30,28
2023-01-31,30
2023-02-01,27
2023-02-02,27
2023-02-03,30
2023-02-04,36
2023-02-05,52
2023-02-06,65
2023-02-07,32
2023-02-08,31
2023-02-09,28
2023-02-10,25
2023-02-11,35
2023-02-12,25
2023-02-13,33
2023-02-14,25
2023-02-15,31
2023-02-16,30
2023-02-17,29
2023-02-18,30
2023-02-19,100
2023-02-20,36
2023-02-21,34
2023-02-22,32
2023-02-23,36
2023-02-24,33
2023-02-25,83
2023-02-26,55
2023-02-27,37
2023-02-28,32
2023-03-01,33
2023-03-02,26
2023-03-03,29
2023-03-04,33
2023-03-05,36
2023-03-06,24
2023-03-07,22
2023-03-08,23
2023-03-09,19
2023-03-10,25
2023-03-11,32
2023-03-12,30
2023-03-13,30
2023-03-14,84
2023-03-15,78
2023-03-16,61
2023-03-17,37
2023-03-18,41
2023-03-19,42
2023-03-20,27
2023-03-21,29
2023-03-22,19
2023-03-23,24
2023-03-24,30
2023-03-25,34
2023-03-26,39
2023-03-27,24
2023-03-28,26
2023-03-29,19
2023-03-30,22
2023-03-31,22
2023-04-01,30
2023-04-02,33
2023-04-03,22
2023-04-04,25
2023-04-05,27
2023-04-06,22
2023-04-07,23
2023-04-08,28
2023-04-09,34
2023-04-10,26
2023-04-11,22
2023-04-12,17
2023-04-13,19
2023-04-14,26
2023-04-15,26
2023-04-16,33
2023-04-17,21
2023-04-18,25
2023-04-19,23
2023-04-20,20
2023-04-21,18
2023-04-22,28
2023-04-23,30
2023-04-24,29
2023-04-25,27
2023-04-26,25
2023-04-27,31
2023-04-28,28
2023-04-29,30
2023-04-30,36
2023-05-01,21
2023-05-02,25
2023-05-03,21
2023-05-04,40
2023-05-05,45
2023-05-06,42
2023-05-07,48
2023-05-08,23
2023-05-09,18
2023-05-10,25
2023-05-11,26
2023-05-12,26
2023-05-13,33
2023-05-14,35
2023-05-15,24
2023-05-16,23
2023-05-17,20
2023-05-18,59
2023-05-19,32
2023-05-20,35
2023-05-21,32
2023-05-22,24
2023-05-23,28
2023-05-24,34
2023-05-25,28
