Time,quincy jones
2023-12-22,14
2023-12-23,15
2023-12-24,19
2023-12-25,18
2023-12-26,15
2023-12-27,16
2023-12-28,13
2023-12-29,17
2023-12-30,14
2023-12-31,14
2024-01-01,17
2024-01-02,11
2024-01-03,10
2024-01-04,14
2024-01-05,8
2024-01-06,15
2024-01-07,17
2024-01-08,15
2024-01-09,13
2024-01-10,14
2024-01-11,13
2024-01-12,13
2024-01-13,19
2024-01-14,18
2024-01-15,12
2024-01-16,11
2024-01-17,17
2024-01-18,19
2024-01-19,17
2024-01-20,21
2024-01-21,22
2024-01-22,13
2024-01-23,12
2024-01-24,13
2024-01-25,8
2024-01-26,12
2024-01-27,16
2024-01-28,15
2024-01-29,22
2024-01-30,50
2024-01-31,56
2024-02-01,51
2024-02-02,54
2024-02-03,84
2024-02-04,100
2024-02-05,58
2024-02-06,45
2024-02-07,48
2024-02-08,36
2024-02-09,43
2024-02-10,63
2024-02-11,64
2024-02-12,28
2024-02-13,48
2024-02-14,43
2024-02-15,36
2024-02-16,34
2024-02-17,46
2024-02-18,50
2024-02-19,41
2024-02-20,34
2024-02-21,25
2024-02-22,19
2024-02-23,26
2024-02-24,37
2024-02-25,32
2024-02-26,30
2024-02-27,18
2024-02-28,16
2024-02-29,17
2024-03-01,15
2024-03-02,25
2024-03-03,31
2024-03-04,22
2024-03-05,14
2024-03-06,16
2024-03-07,15
2024-03-08,12
2024-03-09,21
2024-03-10,24
2024-03-11,17
2024-03-12,11
2024-03-13,15
2024-03-14,27
2024-03-15,29
2024-03-16,27
2024-03-17,22
2024-03-18,18
2024-03-19,14
2024-03-20,15
2024-03-21,16
2024-03-22,12
2024-03-23,15
2024-03-24,15
2024-03-25,17
2024-03-26,25
2024-03-27,25
2024-03-28,25
2024-03-29,23
2024-03-30,23
2024-03-31,22
2024-04-01,14
2024-04-02,13
2024-04-03,13
2024-04-04,12
2024-04-05,13
2024-04-06,18
2024-04-07,18
2024-04-08,10
2024-04-09,14
2024-04-10,13
2024-04-11,11
2024-04-12,11
2024-04-13,13
2024-04-14,13
2024-04-15,11
2024-04-16,10
2024-04-17,9
2024-04-18,14
2024-04-19,13
2024-04-20,13
2024-04-21,17
2024-04-22,11
2024-04-23,15
2024-04-24,14
2024-04-25,15
2024-04-26,15
2024-04-27,9
2024-04-28,14
2024-04-29,10
2024-04-30,14
2024-05-01,8
2024-05-02,9
2024-05-03,10
2024-05-04,11
2024-05-05,15
2024-05-06,9
2024-05-07,6
2024-05-08,9
2024-05-09,9
2024-05-10,8
2024-05-11,16
2024-05-12,16
2024-05-13,12
2024-05-14,13
2024-05-15,11
2024-05-16,10
2024-05-17,13
2024-05-18,16
2024-05-19,17
2024-05-20,10
2024-05-21,11
2024-05-22,12
2024-05-23,12
2024-05-24,11
2024-05-25,13
2024-05-26,18
2024-05-27,17
2024-05-28,13
2024-05-29,12
2024-05-30,14
2024-05-31,6
2024-06-01,11
2024-06-02,14
2024-06-03,13
2024-06-04,10
2024-06-05,13
2024-06-06,12
2024-06-07,11
2024-06-08,16
2024-06-09,16
2024-06-10,13
2024-06-11,11
2024-06-12,8
2024-06-13,11
2024-06-14,14
2024-06-15,14
2024-06-16,13
2024-06-17,13
2024-06-18,11
2024-06-19,11
2024-06-20,10
2024-06-21,11
2024-06-22,12
2024-06-23,17
2024-06-24,12
2024-06-25,13
2024-06-26,9
2024-06-27,10
2024-06-28,7
2024-06-29,14
2024-06-30,11
2024-07-01,13
2024-07-02,16
2024-07-03,12
2024-07-04,12
2024-07-05,12
2024-07-06,9
2024-07-07,15
2024-07-08,26
2024-07-09,18
2024-07-10,29
2024-07-11,23
2024-07-12,19
2024-07-13,20
2024-07-14,16
2024-07-15,10
2024-07-16,14
2024-07-17,10
2024-07-18,12
2024-07-19,12
2024-07-20,15
2024-07-21,12
2024-07-22,12
2024-07-23,9
2024-07-24,13
2024-07-25,14
2024-07-26,11
2024-07-27,15
2024-07-28,15
2024-07-29,10
2024-07-30,9
2024-07-31,10
2024-08-01,11
2024-08-02,8
2024-08-03,9
2024-08-04,13
2024-08-05,9
2024-08-06,13
2024-08-07,18
2024-08-08,17
2024-08-09,14
2024-08-10,21
2024-08-11,22
2024-08-12,11
2024-08-13,12
2024-08-14,9
2024-08-15,11
2024-08-16,10
2024-08-17,9
2024-08-18,10
2024-08-19,25
2024-08-20,23
2024-08-21,18
2024-08-22,16
2024-08-23,17
2024-08-24,16
2024-08-25,21
2024-08-26,15
2024-08-27,13
2024-08-28,13
2024-08-29,12
2024-08-30,14
2024-08-31,11
2024-09-01,16
2024-09-02,16
2024-09-03,13
2024-09-04,11
2024-09-05,11
2024-09-06,13
2024-09-07,15
2024-09-08,16
2024-09-09,13
2024-09-10,15
2024-09-11,9
2024-09-12,10
2024-09-13,12
2024-09-14,15
2024-09-15,13
2024-09-16,14
