Time,quincy jones
2022-01-01,28
2022-01-02,31
2022-01-03,37
2022-01-04,32
2022-01-05,29
2022-01-06,26
2022-01-07,100
2022-01-08,69
2022-01-09,57
2022-01-10,36
2022-01-11,54
2022-01-12,35
2022-01-13,31
2022-01-14,32
2022-01-15,39
2022-01-16,26
2022-01-17,26
2022-01-18,19
2022-01-19,25
2022-01-20,21
2022-01-21,24
2022-01-22,28
2022-01-23,28
2022-01-24,42
2022-01-25,20
2022-01-26,24
2022-01-27,26
2022-01-28,24
2022-01-29,28
2022-01-30,35
2022-01-31,24
2022-02-01,28
2022-02-02,26
2022-02-03,29
2022-02-04,26
2022-02-05,36
2022-02-06,26
2022-02-07,29
2022-02-08,36
2022-02-09,28
2022-02-10,23
2022-02-11,23
2022-02-12,30
2022-02-13,30
2022-02-14,68
2022-02-15,37
2022-02-16,34
2022-02-17,35
2022-02-18,28
2022-02-19,42
2022-02-20,39
2022-02-21,34
2022-02-22,31
2022-02-23,36
2022-02-24,32
2022-02-25,31
2022-02-26,35
2022-02-27,36
2022-02-28,32
2022-03-01,29
2022-03-02,21
2022-03-03,36
2022-03-04,27
2022-03-05,39
2022-03-06,55
2022-03-07,25
2022-03-08,27
2022-03-09,24
2022-03-10,26
2022-03-11,22
2022-03-12,29
2022-03-13,33
2022-03-14,52
2022-03-15,48
2022-03-16,24
2022-03-17,34
2022-03-18,28
2022-03-19,31
2022-03-20,30
2022-03-21,22
2022-03-22,21
2022-03-23,24
2022-03-24,20
2022-03-25,21
2022-03-26,23
2022-03-27,28
2022-03-28,26
2022-03-29,24
2022-03-30,24
2022-03-31,26
2022-04-01,24
2022-04-02,38
2022-04-03,37
2022-04-04,29
2022-04-05,23
2022-04-06,22
2022-04-07,27
2022-04-08,26
2022-04-09,36
2022-04-10,28
2022-04-11,24
2022-04-12,26
2022-04-13,24
2022-04-14,25
2022-04-15,21
2022-04-16,34
2022-04-17,35
2022-04-18,28
2022-04-19,24
2022-04-20,26
2022-04-21,26
2022-04-22,19
2022-04-23,25
2022-04-24,28
2022-04-25,25
2022-04-26,24
2022-04-27,20
2022-04-28,19
2022-04-29,26
2022-04-30,32
2022-05-01,26
2022-05-02,20
2022-05-03,18
2022-05-04,19
2022-05-05,18
2022-05-06,20
2022-05-07,21
2022-05-08,24
2022-05-09,15
2022-05-10,18
2022-05-11,20
2022-05-12,18
2022-05-13,22
2022-05-14,27
2022-05-15,25
2022-05-16,46
2022-05-17,21
2022-05-18,18
2022-05-19,18
2022-05-20,22
2022-05-21,29
2022-05-22,34
2022-05-23,25
2022-05-24,24
2022-05-25,25
2022-05-26,24
2022-05-27,20
2022-05-28,33
2022-05-29,31
2022-05-30,30
2022-05-31,15
2022-06-01,23
2022-06-02,17
2022-06-03,25
2022-06-04,31
2022-06-05,25
2022-06-06,22
2022-06-07,19
2022-06-08,22
2022-06-09,23
2022-06-10,28
2022-06-11,18
2022-06-12,28
2022-06-13,23
2022-06-14,20
2022-06-15,24
2022-06-16,22
2022-06-17,22
2022-06-18,32
2022-06-19,31
2022-06-20,20
2022-06-21,22
2022-06-22,20
2022-06-23,24
2022-06-24,18
2022-06-25,25
2022-06-26,17
2022-06-27,24
2022-06-28,20
2022-06-29,24
2022-06-30,18
2022-07-01,21
2022-07-02,27
2022-07-03,31
2022-07-04,36
2022-07-05,21
2022-07-06,23
2022-07-07,20
2022-07-08,21
2022-07-09,22
2022-07-10,23
2022-07-11,31
2022-07-12,23
2022-07-13,18
2022-07-14,18
2022-07-15,18
2022-07-16,27
2022-07-17,19
2022-07-18,25
2022-07-19,22
2022-07-20,20
2022-07-21,23
2022-07-22,24
2022-07-23,25
2022-07-24,25
2022-07-25,16
2022-07-26,17
2022-07-27,23
2022-07-28,67
2022-07-29,30
2022-07-30,32
2022-07-31,30
2022-08-01,19
2022-08-02,18
2022-08-03,21
2022-08-04,21
2022-08-05,24
2022-08-06,27
2022-08-07,23
2022-08-08,17
2022-08-09,16
2022-08-10,19
2022-08-11,21
2022-08-12,18
2022-08-13,19
2022-08-14,24
2022-08-15,22
2022-08-16,23
2022-08-17,25
2022-08-18,17
2022-08-19,25
2022-08-20,21
2022-08-21,25
2022-08-22,19
2022-08-23,22
2022-08-24,18
2022-08-25,22
2022-08-26,19
2022-08-27,27
2022-08-28,26
2022-08-29,23
2022-08-30,27
2022-08-31,23
2022-09-01,19
2022-09-02,24
2022-09-03,26
2022-09-04,29
2022-09-05,21
2022-09-06,18
2022-09-07,16
2022-09-08,16
2022-09-09,18
2022-09-10,16
2022-09-11,26
2022-09-12,18
2022-09-13,17
2022-09-14,21
2022-09-15,15
2022-09-16,19
2022-09-17,26
2022-09-18,18
2022-09-19,15
2022-09-20,15
2022-09-21,15
2022-09-22,18
2022-09-23,24
2022-09-24,29
2022-09-25,25
2022-09-26,16
2022-09-27,18
