Time,sam's club
2023-04-26,48
2023-04-27,47
2023-04-28,53
2023-04-29,69
2023-04-30,71
2023-05-01,50
2023-05-02,51
2023-05-03,53
2023-05-04,50
2023-05-05,54
2023-05-06,69
2023-05-07,73
2023-05-08,51
2023-05-09,49
2023-05-10,52
2023-05-11,50
2023-05-12,57
2023-05-13,73
2023-05-14,64
2023-05-15,53
2023-05-16,50
2023-05-17,51
2023-05-18,54
2023-05-19,50
2023-05-20,68
2023-05-21,70
2023-05-22,52
2023-05-23,46
2023-05-24,49
2023-05-25,53
2023-05-26,63
2023-05-27,73
2023-05-28,82
2023-05-29,100
2023-05-30,49
2023-05-31,55
2023-06-01,55
2023-06-02,59
2023-06-03,76
2023-06-04,76
2023-06-05,53
2023-06-06,46
2023-06-07,50
2023-06-08,54
2023-06-09,56
2023-06-10,68
2023-06-11,73
2023-06-12,53
2023-06-13,51
2023-06-14,53
2023-06-15,46
2023-06-16,61
2023-06-17,72
2023-06-18,68
2023-06-19,56
2023-06-20,50
2023-06-21,46
2023-06-22,50
2023-06-23,56
2023-06-24,66
2023-06-25,63
2023-06-26,51
2023-06-27,51
2023-06-28,50
2023-06-29,55
2023-06-30,60
2023-07-01,73
2023-07-02,76
2023-07-03,73
2023-07-04,98
2023-07-05,47
2023-07-06,52
2023-07-07,55
2023-07-08,70
2023-07-09,66
2023-07-10,47
2023-07-11,50
2023-07-12,48
2023-07-13,50
2023-07-14,50
2023-07-15,61
2023-07-16,64
2023-07-17,51
2023-07-18,53
2023-07-19,51
2023-07-20,50
2023-07-21,53
2023-07-22,64
2023-07-23,68
2023-07-24,51
2023-07-25,49
2023-07-26,53
2023-07-27,50
2023-07-28,54
2023-07-29,69
2023-07-30,69
2023-07-31,51
2023-08-01,50
2023-08-02,50
2023-08-03,52
2023-08-04,57
2023-08-05,64
2023-08-06,70
2023-08-07,46
2023-08-08,48
2023-08-09,46
2023-08-10,45
2023-08-11,52
2023-08-12,67
2023-08-13,70
2023-08-14,49
2023-08-15,48
2023-08-16,48
2023-08-17,50
2023-08-18,52
2023-08-19,64
2023-08-20,69
2023-08-21,48
2023-08-22,45
2023-08-23,45
2023-08-24,46
2023-08-25,52
2023-08-26,55
2023-08-27,62
2023-08-28,45
2023-08-29,45
2023-08-30,45
2023-08-31,49
2023-09-01,52
2023-09-02,65
2023-09-03,77
2023-09-04,91
2023-09-05,45
2023-09-06,44
2023-09-07,47
2023-09-08,46
2023-09-09,60
2023-09-10,61
2023-09-11,42
2023-09-12,42
2023-09-13,42
2023-09-14,43
2023-09-15,49
2023-09-16,57
2023-09-17,60
2023-09-18,43
2023-09-19,44
2023-09-20,45
2023-09-21,45
2023-09-22,46
2023-09-23,55
2023-09-24,59
2023-09-25,44
2023-09-26,45
2023-09-27,41
2023-09-28,46
2023-09-29,45
2023-09-30,59
2023-10-01,52
2023-10-02,39
2023-10-03,40
2023-10-04,44
2023-10-05,45
2023-10-06,49
2023-10-07,65
2023-10-08,63
2023-10-09,49
2023-10-10,45
2023-10-11,47
2023-10-12,47
2023-10-13,48
2023-10-14,56
2023-10-15,62
2023-10-16,46
2023-10-17,43
2023-10-18,42
2023-10-19,44
2023-10-20,48
2023-10-21,59
2023-10-22,63
2023-10-23,46
2023-10-24,47
2023-10-25,47
2023-10-26,44
2023-10-27,47
2023-10-28,56
2023-10-29,55
2023-10-30,47
2023-10-31,47
2023-11-01,48
2023-11-02,48
2023-11-03,57
2023-11-04,68
2023-11-05,68
2023-11-06,49
2023-11-07,47
2023-11-08,46
2023-11-09,51
2023-11-10,58
2023-11-11,65
2023-11-12,67
2023-11-13,45
2023-11-14,49
2023-11-15,51
2023-11-16,49
2023-11-17,56
2023-11-18,68
2023-11-19,75
2023-11-20,57
2023-11-21,62
2023-11-22,75
2023-11-23,70
2023-11-24,84
2023-11-25,65
2023-11-26,67
2023-11-27,57
2023-11-28,50
2023-11-29,47
2023-11-30,49
2023-12-01,54
2023-12-02,66
2023-12-03,68
2023-12-04,52
2023-12-05,48
2023-12-06,48
2023-12-07,44
2023-12-08,51
2023-12-09,67
2023-12-10,70
2023-12-11,53
2023-12-12,50
2023-12-13,50
2023-12-14,44
2023-12-15,51
2023-12-16,67
2023-12-17,69
2023-12-18,49
2023-12-19,52
2023-12-20,56
2023-12-21,61
2023-12-22,68
2023-12-23,80
2023-12-24,80
2023-12-25,36
2023-12-26,50
2023-12-27,46
2023-12-28,50
2023-12-29,54
2023-12-30,65
2023-12-31,75
2024-01-01,71
2024-01-02,44
2024-01-03,42
2024-01-04,45
2024-01-05,47
2024-01-06,57
2024-01-07,57
2024-01-08,38
2024-01-09,38
2024-01-10,40
2024-01-11,43
2024-01-12,43
2024-01-13,53
2024-01-14,53
2024-01-15,46
2024-01-16,37
2024-01-17,43
2024-01-18,41
2024-01-19,46
2024-01-20,55
