Time,house_of_representatives
2022-04-01,91.0
2022-04-02,47.0
2022-04-03,33.0
2022-04-04,82.0
2022-04-05,77.0
2022-04-06,74.0
2022-04-07,79.0
2022-04-08,65.0
2022-04-09,29.0
2022-04-10,27.0
2022-04-11,55.0
2022-04-12,55.0
2022-04-13,56.0
2022-04-14,58.0
2022-04-15,42.0
2022-04-16,25.0
2022-04-17,24.0
2022-04-18,57.0
2022-04-19,66.0
2022-04-20,70.0
2022-04-21,73.0
2022-04-22,60.0
2022-04-23,31.0
2022-04-24,32.0
2022-04-25,62.0
2022-04-26,74.0
2022-04-27,74.0
2022-04-28,79.0
2022-04-29,64.0
2022-04-30,30.0
2022-05-01,35.0
2022-05-02,67.0
2022-05-03,82.0
2022-05-04,78.0
2022-05-05,64.0
2022-05-06,54.0
2022-05-07,33.0
2022-05-08,25.0
2022-05-09,68.0
2022-05-10,69.0
2022-05-11,89.0
2022-05-12,70.0
2022-05-13,58.0
2022-05-14,31.0
2022-05-15,24.0
2022-05-16,55.0
2022-05-17,79.0
2022-05-18,72.0
2022-05-19,65.0
2022-05-20,50.0
2022-05-21,27.0
2022-05-22,25.0
2022-05-23,44.0
2022-05-24,54.0
2022-05-25,68.0
2022-05-26,52.0
2022-05-27,34.0
2022-05-28,21.0
2022-05-29,23.0
2022-05-30,23.0
2022-05-31,36.0
2022-06-01,37.0
2022-06-02,37.0
2022-06-03,36.0
2022-06-04,19.0
2022-06-05,18.0
2022-06-06,38.0
2022-06-07,42.0
2022-06-08,56.0
2022-06-09,62.0
2022-06-10,43.0
2022-06-11,25.0
2022-06-12,26.0
2022-06-13,43.0
2022-06-14,38.0
2022-06-15,50.0
2022-06-16,40.0
2022-06-17,29.0
2022-06-18,23.0
2022-06-19,22.0
2022-06-20,28.0
2022-06-21,39.0
2022-06-22,36.0
2022-06-23,38.0
2022-06-24,51.0
2022-06-25,45.0
2022-06-26,34.0
2022-06-27,42.0
2022-06-28,42.0
2022-06-29,43.0
2022-06-30,36.0
2022-07-01,29.0
2022-07-02,25.0
2022-07-03,26.0
2022-07-04,26.0
2022-07-05,32.0
2022-07-06,29.0
2022-07-07,31.0
2022-07-08,28.0
2022-07-09,24.0
2022-07-10,27.0
2022-07-11,31.0
2022-07-12,29.0
2022-07-13,30.0
2022-07-14,31.0
2022-07-15,33.0
2022-07-16,26.0
2022-07-17,25.0
2022-07-18,29.0
2022-07-19,37.0
2022-07-20,56.0
2022-07-21,55.0
2022-07-22,42.0
2022-07-23,29.0
2022-07-24,26.0
2022-07-25,28.0
2022-07-26,34.0
2022-07-27,31.0
2022-07-28,38.0
2022-07-29,40.0
2022-07-30,38.0
2022-07-31,27.0
2022-08-01,32.0
2022-08-02,44.0
2022-08-03,49.0
2022-08-04,35.0
2022-08-05,29.0
2022-08-06,20.0
2022-08-07,34.0
2022-08-08,41.0
2022-08-09,38.0
2022-08-10,38.0
2022-08-11,39.0
2022-08-12,54.0
2022-08-13,27.0
2022-08-14,23.0
2022-08-15,35.0
2022-08-16,40.0
2022-08-17,47.0
2022-08-18,39.0
2022-08-19,36.0
2022-08-20,27.0
2022-08-21,25.0
2022-08-22,33.0
2022-08-23,45.0
2022-08-24,54.0
2022-08-25,46.0
2022-08-26,44.0
2022-08-27,19.0
2022-08-28,26.0
2022-08-29,49.93617021276596
2022-08-30,49.43617021276596
2022-08-31,50.93617021276596
2022-09-01,68.74822695035462
2022-09-02,48.93617021276596
2022-09-03,19.812056737588655
2022-09-04,19.312056737588655
2022-09-05,31.124113475177307
2022-09-06,51.43617021276596
2022-09-07,55.43617021276596
2022-09-08,53.43617021276596
2022-09-09,53.93617021276596
2022-09-10,18.812056737588655
2022-09-11,21.312056737588655
2022-09-12,57.93617021276596
2022-09-13,67.24822695035462
2022-09-14,70.74822695035462
2022-09-15,68.24822695035462
2022-09-16,70.24822695035462
2022-09-17,21.312056737588655
2022-09-18,32.12411347517731
2022-09-19,71.24822695035462
2022-09-20,73.74822695035462
2022-09-21,86.56028368794327
2022-09-22,72.74822695035462
2022-09-23,69.74822695035462
2022-09-24,20.812056737588655
2022-09-25,33.62411347517731
2022-09-26,69.24822695035462
2022-09-27,84.56028368794327
2022-09-28,70.49645390070923
2022-09-29,70.49645390070923
2022-09-30,70.49645390070923
2022-10-01,17.624113475177307
2022-10-02,35.24822695035461
2022-10-03,70.49645390070923
2022-10-04,70.49645390070923
2022-10-05,70.49645390070923
2022-10-06,70.49645390070923
2022-10-07,70.49645390070923
2022-10-08,17.624113475177307
2022-10-09,35.24822695035461
2022-10-10,70.49645390070923
2022-10-11,70.49645390070923
2022-10-12,70.49645390070923
2022-10-13,88.12056737588654
2022-10-14,70.49645390070923
2022-10-15,35.24822695035461
2022-10-16,35.24822695035461
2022-10-17,88.12056737588654
2022-10-18,105.74468085106383
2022-10-19,105.74468085106383
2022-10-20,88.12056737588654
2022-10-21,88.12056737588654
2022-10-22,35.24822695035461
2022-10-23,35.24822695035461
2022-10-24,88.12056737588654
2022-10-25,105.74468085106383
2022-10-26,105.74468085106383
2022-10-27,105.74468085106383
2022-10-28,88.12056737588654
2022-10-29,35.24822695035461
2022-10-30,52.87234042553192
2022-10-31,105.74468085106383
2022-11-01,105.74468085106383
2022-11-02,105.74468085106383
2022-11-03,123.36879432624114
2022-11-04,105.74468085106383
2022-11-05,52.87234042553192
2022-11-06,52.87234042553192
2022-11-07,140.99290780141845
2022-11-08,246.7375886524823
2022-11-09,1762.4113475177307
2022-11-10,863.5815602836881
2022-11-11,528.7234042553192
2022-11-12,458.22695035461
2022-11-13,810.7092198581561
2022-11-14,563.9716312056738
2022-11-15,599.2198581560284
2022-11-16,599.2198581560284
2022-11-17,563.9716312056738
2022-11-18,317.2340425531915
2022-11-19,176.24113475177307
2022-11-20,140.99290780141845
2022-11-21,158.61702127659575
2022-11-22,158.61702127659575
2022-11-23,105.74468085106383
2022-11-24,140.99290780141845
2022-11-25,70.49645390070923
2022-11-26,70.49645390070923
2022-11-27,70.49645390070923
2022-11-28,123.36879432624114
2022-11-29,140.99290780141845
2022-11-30,140.99290780141845
2022-12-01,123.36879432624114
2022-12-02,105.74468085106383
2022-12-03,52.87234042553192
2022-12-04,52.87234042553192
2022-12-05,105.74468085106383
2022-12-06,105.74468085106383
2022-12-07,211.48936170212767
2022-12-08,123.36879432624114
2022-12-09,105.74468085106383
2022-12-10,35.24822695035461
2022-12-11,35.24822695035461
2022-12-12,88.12056737588654
2022-12-13,105.74468085106383
2022-12-14,88.12056737588654
2022-12-15,88.12056737588654
2022-12-16,70.49645390070923
2022-12-17,35.24822695035461
2022-12-18,17.624113475177307
2022-12-19,52.87234042553192
2022-12-20,52.87234042553192
2022-12-21,52.87234042553192
2022-12-22,52.87234042553192
2022-12-23,35.24822695035461
2022-12-24,17.624113475177307
2022-12-25,17.624113475177307
2022-12-26,17.624113475177307
2022-12-27,35.24822695035461
2022-12-28,35.24822695035461
2022-12-29,35.24822695035461
2022-12-30,35.24822695035461
2022-12-31,17.624113475177307
2023-01-01,17.624113475177307
2023-01-02,52.87234042553192
2023-01-03,440.6028368794327
2023-01-04,475.8510638297873
2023-01-05,581.5957446808511
2023-01-06,528.7234042553192
2023-01-07,493.4751773049646
2023-01-08,105.74468085106383
2023-01-09,140.99290780141845
2023-01-10,158.61702127659575
2023-01-11,123.36879432624114
2023-01-12,105.74468085106383
2023-01-13,105.74468085106383
2023-01-14,52.87234042553192
2023-01-15,35.24822695035461
2023-01-16,35.24822695035461
2023-01-17,88.12056737588654
2023-01-18,88.12056737588654
2023-01-19,88.12056737588654
2023-01-20,88.12056737588654
2023-01-21,35.24822695035461
2023-01-22,35.24822695035461
2023-01-23,70.49645390070923
2023-01-24,88.12056737588654
2023-01-25,70.49645390070923
2023-01-26,70.49645390070923
2023-01-27,70.49645390070923
2023-01-28,17.624113475177307
2023-01-29,35.24822695035461
2023-01-30,70.49645390070923
2023-01-31,70.49645390070923
2023-02-01,70.49645390070923
2023-02-02,88.12056737588654
2023-02-03,70.49645390070923
2023-02-04,35.24822695035461
2023-02-05,35.24822695035461
2023-02-06,70.49645390070923
2023-02-07,88.12056737588654
2023-02-08,123.36879432624114
2023-02-09,88.12056737588654
2023-02-10,70.49645390070923
2023-02-11,35.24822695035461
2023-02-12,35.24822695035461
2023-02-13,70.49645390070923
2023-02-14,70.49645390070923
2023-02-15,88.12056737588654
2023-02-16,70.49645390070923
2023-02-17,52.87234042553192
2023-02-18,17.624113475177307
2023-02-19,17.624113475177307
2023-02-20,35.24822695035461
2023-02-21,70.49645390070923
2023-02-22,88.12056737588654
2023-02-23,70.49645390070923
2023-02-24,70.49645390070923
2023-02-25,17.624113475177307
2023-02-26,35.24822695035461
2023-02-27,70.49645390070923
2023-02-28,70.49645390070923
2023-03-01,88.12056737588654
2023-03-02,88.12056737588654
2023-03-03,70.49645390070923
2023-03-04,17.624113475177307
2023-03-05,35.24822695035461
2023-03-06,70.49645390070923
2023-03-07,70.49645390070923
2023-03-08,88.12056737588654
2023-03-09,88.12056737588654
2023-03-10,70.49645390070923
2023-03-11,35.24822695035461
2023-03-12,35.24822695035461
2023-03-13,52.87234042553192
2023-03-14,70.49645390070923
2023-03-15,70.49645390070923
2023-03-16,52.87234042553192
2023-03-17,52.87234042553192
2023-03-18,17.624113475177307
2023-03-19,17.624113475177307
2023-03-20,52.87234042553192
2023-03-21,70.49645390070923
2023-03-22,70.49645390070923
2023-03-23,70.49645390070923
2023-03-24,70.49645390070923
2023-03-25,35.24822695035461
2023-03-26,17.624113475177307
2023-03-27,70.49645390070923
2023-03-28,70.49645390070923
2023-03-29,70.49645390070923
2023-03-30,70.49645390070923
2023-03-31,52.87234042553192
2023-04-01,17.624113475177307
2023-04-02,17.624113475177307
2023-04-03,52.87234042553192
2023-04-04,70.49645390070923
2023-04-05,70.49645390070923
2023-04-06,105.74468085106383
2023-04-07,105.74468085106383
2023-04-08,35.24822695035461
2023-04-09,35.24822695035461
2023-04-10,52.87234042553192
2023-04-11,70.49645390070923
2023-04-12,70.49645390070923
2023-04-13,70.49645390070923
2023-04-14,52.87234042553192
2023-04-15,17.624113475177307
2023-04-16,35.24822695035461
2023-04-17,70.49645390070923
2023-04-18,70.49645390070923
2023-04-19,70.49645390070923
2023-04-20,70.49645390070923
2023-04-21,52.87234042553192
2023-04-22,17.624113475177307
2023-04-23,35.24822695035461
2023-04-24,70.49645390070923
2023-04-25,70.49645390070923
2023-04-26,72.25886524822695
2023-04-27,72.25886524822695
2023-04-28,56.397163120567384
2023-04-29,21.14893617021277
2023-04-30,31.723404255319153
2023-05-01,66.97163120567376
2023-05-02,54.63475177304965
2023-05-03,54.63475177304965
2023-05-04,54.63475177304965
2023-05-05,49.34751773049646
2023-05-06,19.386524822695037
2023-05-07,29.960992907801423
2023-05-08,52.87234042553192
2023-05-09,54.63475177304965
2023-05-10,68.7340425531915
2023-05-11,65.20921985815603
2023-05-12,51.10992907801419
2023-05-13,19.386524822695037
2023-05-14,19.386524822695037
2023-05-15,52.87234042553192
2023-05-16,65.20921985815603
2023-05-17,54.63475177304965
2023-05-18,54.63475177304965
2023-05-19,51.10992907801419
2023-05-20,19.386524822695037
2023-05-21,17.624113475177307
2023-05-22,49.34751773049646
2023-05-23,51.10992907801419
2023-05-24,49.34751773049646
2023-05-25,49.34751773049646
2023-05-26,35.24822695035461
2023-05-27,35.24822695035461
2023-05-28,31.723404255319153
2023-05-29,21.14893617021277
2023-05-30,38.773049645390074
2023-05-31,63.446808510638306
2023-06-01,74.0212765957447
2023-06-02,31.723404255319153
2023-06-03,17.624113475177307
2023-06-04,14.099290780141846
2023-06-05,31.723404255319153
2023-06-06,31.723404255319153
2023-06-07,35.24822695035461
2023-06-08,28.198581560283692
2023-06-09,28.198581560283692
2023-06-10,17.624113475177307
2023-06-11,17.624113475177307
2023-06-12,28.198581560283692
2023-06-13,28.198581560283692
2023-06-14,35.24822695035461
2023-06-15,31.723404255319153
2023-06-16,21.14893617021277
2023-06-17,14.099290780141846
2023-06-18,14.099290780141846
2023-06-19,21.14893617021277
2023-06-20,24.67375886524823
2023-06-21,38.773049645390074
2023-06-22,59.921985815602845
2023-06-23,31.723404255319153
2023-06-24,21.14893617021277
2023-06-25,17.624113475177307
2023-06-26,28.198581560283692
2023-06-27,28.198581560283692
2023-06-28,24.67375886524823
2023-06-29,21.14893617021277
2023-06-30,24.67375886524823
2023-07-01,17.624113475177307
2023-07-02,14.099290780141846
2023-07-03,17.624113475177307
2023-07-04,14.099290780141846
2023-07-05,21.14893617021277
2023-07-06,24.67375886524823
2023-07-07,21.14893617021277
2023-07-08,14.099290780141846
2023-07-09,14.099290780141846
2023-07-10,21.14893617021277
2023-07-11,21.14893617021277
2023-07-12,24.67375886524823
2023-07-13,24.67375886524823
2023-07-14,28.198581560283692
2023-07-15,17.624113475177307
2023-07-16,17.624113475177307
2023-07-17,24.67375886524823
2023-07-18,24.67375886524823
2023-07-19,31.723404255319153
2023-07-20,28.198581560283692
2023-07-21,24.67375886524823
2023-07-22,14.099290780141846
2023-07-23,17.624113475177307
2023-07-24,21.14893617021277
2023-07-25,24.67375886524823
2023-07-26,28.198581560283692
2023-07-27,31.723404255319153
2023-07-28,24.67375886524823
2023-07-29,17.624113475177307
2023-07-30,17.624113475177307
2023-07-31,24.67375886524823
2023-08-01,21.14893617021277
2023-08-02,21.14893617021277
2023-08-03,17.624113475177307
2023-08-04,21.14893617021277
2023-08-05,14.099290780141846
2023-08-06,14.099290780141846
2023-08-07,14.099290780141846
2023-08-08,21.14893617021277
2023-08-09,24.67375886524823
2023-08-10,21.14893617021277
2023-08-11,24.67375886524823
2023-08-12,14.099290780141846
2023-08-13,17.624113475177307
2023-08-14,24.67375886524823
2023-08-15,28.198581560283692
2023-08-16,28.198581560283692
2023-08-17,28.198581560283692
2023-08-18,28.198581560283692
2023-08-19,14.099290780141846
2023-08-20,10.574468085106385
2023-08-21,35.24822695035461
2023-08-22,38.773049645390074
2023-08-23,38.773049645390074
2023-08-24,38.773049645390074
2023-08-25,35.24822695035461
2023-08-26,14.099290780141846
2023-08-27,14.099290780141846
2023-08-28,38.773049645390074
2023-08-29,42.29787234042554
2023-08-30,45.822695035461
2023-08-31,49.34751773049646
2023-09-01,42.29787234042554
2023-09-02,14.099290780141846
2023-09-03,21.14893617021277
2023-09-04,24.67375886524823
2023-09-05,49.34751773049646
2023-09-06,52.872340425531924
2023-09-07,52.872340425531924
2023-09-08,56.397163120567384
2023-09-09,21.14893617021277
2023-09-10,21.14893617021277
2023-09-11,56.397163120567384
2023-09-12,63.446808510638306
2023-09-13,66.97163120567377
2023-09-14,74.0212765957447
2023-09-15,59.921985815602845
2023-09-16,24.67375886524823
2023-09-17,28.198581560283692
2023-09-18,74.0212765957447
2023-09-19,74.0212765957447
2023-09-20,77.54609929078015
2023-09-21,81.07092198581562
2023-09-22,74.0212765957447
2023-09-23,28.198581560283692
2023-09-24,28.198581560283692
2023-09-25,74.0212765957447
2023-09-26,84.59574468085108
2023-09-27,91.645390070922
2023-09-28,98.69503546099293
2023-09-29,102.21985815602838
2023-09-30,81.07092198581562
2023-10-01,59.921985815602845
2023-10-02,91.645390070922
2023-10-03,352.48226950354615
2023-10-04,239.68794326241138
2023-10-05,148.0425531914894
2023-10-06,109.2695035460993
2023-10-07,42.29787234042554
2023-10-08,35.24822695035461
2023-10-09,74.0212765957447
2023-10-10,95.17021276595746
2023-10-11,123.36879432624116
2023-10-12,123.36879432624116
2023-10-13,137.468085106383
2023-10-14,52.872340425531924
2023-10-15,45.822695035461
2023-10-16,119.84397163120569
2023-10-17,289.0354609929079
2023-10-18,246.73758865248232
2023-10-19,155.0921985815603
2023-10-20,232.63829787234047
2023-10-21,151.56737588652484
2023-10-22,63.446808510638306
2023-10-23,112.79432624113477
2023-10-24,148.0425531914894
2023-10-25,303.1347517730497
2023-10-26,172.71631205673762
2023-10-27,105.74468085106385
2023-10-28,35.24822695035461
2023-10-29,38.773049645390074
2023-10-30,98.69503546099293
2023-10-31,98.69503546099293
2023-11-01,105.74468085106385
2023-11-02,116.31914893617024
2023-11-03,95.17021276595746
2023-11-04,31.723404255319153
2023-11-05,35.24822695035461
2023-11-06,91.645390070922
2023-11-07,95.17021276595746
2023-11-08,162.14184397163123
2023-11-09,102.21985815602838
2023-11-10,63.446808510638306
2023-11-11,28.198581560283692
2023-11-12,28.198581560283692
2023-11-13,91.645390070922
2023-11-14,105.74468085106385
2023-11-15,109.2695035460993
2023-11-16,123.36879432624116
2023-11-17,91.645390070922
2023-11-18,24.67375886524823
2023-11-19,28.198581560283692
2023-11-20,56.397163120567384
2023-11-21,45.822695035461
2023-11-22,24.67375886524823
2023-11-23,14.099290780141846
2023-11-24,14.099290780141846
2023-11-25,17.624113475177307
2023-11-26,28.198581560283692
2023-11-27,66.97163120567377
2023-11-28,70.49645390070923
2023-11-29,91.645390070922
2023-11-30,88.12056737588654
2023-12-01,126.89361702127661
2023-12-02,42.29787234042554
2023-12-03,31.723404255319153
2023-12-04,84.59574468085108
2023-12-05,91.645390070922
2023-12-06,98.69503546099293
2023-12-07,95.17021276595746
2023-12-08,91.645390070922
2023-12-09,24.67375886524823
2023-12-10,28.198581560283692
2023-12-11,81.07092198581562
2023-12-12,84.59574468085108
2023-12-13,91.645390070922
2023-12-14,95.17021276595746
2023-12-15,66.97163120567377
2023-12-16,21.14893617021277
2023-12-17,21.14893617021277
2023-12-18,56.397163120567384
2023-12-19,59.921985815602845
2023-12-20,49.34751773049646
2023-12-21,42.29787234042554
2023-12-22,23.521412984178944
2023-12-23,14.167075831969452
2023-12-24,10.371112929623571
2023-12-25,10.371112929623571
2023-12-26,13.150300054555377
2023-12-27,14.167075831969452
2023-12-28,16.946262956901258
2023-12-29,17.963038734315333
2023-12-30,13.150300054555377
2023-12-31,14.167075831969452
2024-01-01,14.167075831969452
2024-01-02,32.13011456628479
2024-01-03,48.05960174577197
2024-01-04,42.50122749590835
2024-01-05,49.076377523186046
2024-01-06,17.963038734315333
2024-01-07,20.742225859247142
2024-01-08,52.87234042553193
2024-01-09,59.44749045280962
2024-01-10,67.03941625750139
2024-01-11,69.81860338243318
2024-01-12,53.889116202946
2024-01-13,21.759001636661218
2024-01-14,17.963038734315333
2024-01-15,25.5549645390071
2024-01-16,52.87234042553193
2024-01-17,69.81860338243318
2024-01-18,72.59779050736499
2024-01-19,56.66830332787781
2024-01-20,23.521412984178944
2024-01-21,22.36906710310966
2024-01-22,63.040098199672684
2024-01-23,65.07364975450083
2024-01-24,69.14075286415714
2024-01-25,65.07364975450083
2024-01-26,63.040098199672684
2024-01-27,22.36906710310966
2024-01-28,26.436170212765965
2024-01-29,73.20785597381344
2024-01-30,83.37561374795419
2024-01-31,79.30851063829789
2024-02-01,81.34206219312604
2024-02-02,67.10720130932899
2024-02-03,26.436170212765965
2024-02-04,32.53682487725042
2024-02-05,85.40916530278234
2024-02-06,83.37561374795419
2024-02-07,97.61047463175126
2024-02-08,77.27495908346974
2024-02-09,69.14075286415714
2024-02-10,32.53682487725042
2024-02-11,30.503273322422267
2024-02-12,61.00654664484453
2024-02-13,93.54337152209494
2024-02-14,203.35515548281512
2024-02-15,101.67757774140756
2024-02-16,63.040098199672684
2024-02-17,34.57037643207857
2024-02-18,30.503273322422267
2024-02-19,44.73813420621932
2024-02-20,73.20785597381344
2024-02-21,77.27495908346974
2024-02-22,75.24140752864159
2024-02-23,67.10720130932899
2024-02-24,30.503273322422267
2024-02-25,28.469721767594116
2024-02-26,79.30851063829789
2024-02-27,77.27495908346974
2024-02-28,81.34206219312604
2024-02-29,79.30851063829789
2024-03-01,69.14075286415714
2024-03-02,32.53682487725042
2024-03-03,32.53682487725042
2024-03-04,85.40916530278234
2024-03-05,97.61047463175126
2024-03-06,101.67757774140756
2024-03-07,87.44271685761049
2024-03-08,144.38216039279874
2024-03-09,46.77168576104747
2024-03-10,30.503273322422267
2024-03-11,67.10720130932899
2024-03-12,91.5098199672668
2024-03-13,124.04664484451722
2024-03-14,99.64402618657941
2024-03-15,69.14075286415714
2024-03-16,32.53682487725042
2024-03-17,26.436170212765965
2024-03-18,65.07364975450083
2024-03-19,71.17430441898529
2024-03-20,73.20785597381344
2024-03-21,67.10720130932899
2024-03-22,77.27495908346974
2024-03-23,38.63747954173487
2024-03-24,32.53682487725042
2024-03-25,58.97299509001638
2024-03-26,63.040098199672684
2024-03-27,67.10720130932899
2024-03-28,63.040098199672684
2024-03-29,32.53682487725042
2024-03-30,20.33551554828151
2024-03-31,20.33551554828151
2024-04-01,44.73813420621932
2024-04-02,52.87234042553193
2024-04-03,52.87234042553193
2024-04-04,54.90589198036008
2024-04-05,46.77168576104747
2024-04-06,18.30196399345336
2024-04-07,24.402618657937815
2024-04-08,48.80523731587563
2024-04-09,56.93944353518823
2024-04-10,56.93944353518823
2024-04-11,67.10720130932899
2024-04-12,61.00654664484453
2024-04-13,22.36906710310966
2024-04-14,24.402618657937815
2024-04-15,61.00654664484453
2024-04-16,65.07364975450083
2024-04-17,71.17430441898529
2024-04-18,71.17430441898529
2024-04-19,69.14075286415714
2024-04-20,67.10720130932899
2024-04-21,58.97299509001638
2024-04-22,75.24140752864159
2024-04-23,69.14075286415714
2024-04-24,63.040098199672684
2024-04-25,65.07364975450083
2024-04-26,50.83878887070378
2024-04-27,24.402618657937815
2024-04-28,26.436170212765965
2024-04-29,58.97299509001638
2024-04-30,58.97299509001638
2024-05-01,63.040098199672684
2024-05-02,73.20785597381344
2024-05-03,65.07364975450083
2024-05-04,34.57037643207857
2024-05-05,40.67103109656302
2024-05-06,63.040098199672684
2024-05-07,63.040098199672684
2024-05-08,63.040098199672684
2024-05-09,61.00654664484453
2024-05-10,52.87234042553193
2024-05-11,20.33551554828151
2024-05-12,16.26841243862521
2024-05-13,54.90589198036008
2024-05-14,54.90589198036008
2024-05-15,54.90589198036008
2024-05-16,54.90589198036008
2024-05-17,50.83878887070378
2024-05-18,32.53682487725042
2024-05-19,26.436170212765965
2024-05-20,46.77168576104747
2024-05-21,50.83878887070378
2024-05-22,48.80523731587563
2024-05-23,48.80523731587563
2024-05-24,28.469721767594116
2024-05-25,16.26841243862521
2024-05-26,16.26841243862521
2024-05-27,20.33551554828151
2024-05-28,34.57037643207857
2024-05-29,38.63747954173487
2024-05-30,36.60392798690672
2024-05-31,32.53682487725042
2024-06-01,20.33551554828151
2024-06-02,22.36906710310966
2024-06-03,32.53682487725042
2024-06-04,42.70458265139117
2024-06-05,36.60392798690672
2024-06-06,34.57037643207857
2024-06-07,26.436170212765965
2024-06-08,20.33551554828151
2024-06-09,18.30196399345336
2024-06-10,30.503273322422267
2024-06-11,38.63747954173487
2024-06-12,40.67103109656302
2024-06-13,36.60392798690672
2024-06-14,28.469721767594116
2024-06-15,46.77168576104747
2024-06-16,58.97299509001638
2024-06-17,42.70458265139117
2024-06-18,38.63747954173487
2024-06-19,24.402618657937815
2024-06-20,26.436170212765965
2024-06-21,28.469721767594116
2024-06-22,20.33551554828151
2024-06-23,18.30196399345336
2024-06-24,26.436170212765965
2024-06-25,30.503273322422267
2024-06-26,36.60392798690672
2024-06-27,26.436170212765965
2024-06-28,36.60392798690672
2024-06-29,28.469721767594116
2024-06-30,18.30196399345336
2024-07-01,28.469721767594116
2024-07-02,34.57037643207857
2024-07-03,30.503273322422267
2024-07-04,24.402618657937815
2024-07-05,24.402618657937815
2024-07-06,24.402618657937815
2024-07-07,22.36906710310966
2024-07-08,32.53682487725042
2024-07-09,28.469721767594116
2024-07-10,34.57037643207857
2024-07-11,40.67103109656302
2024-07-12,30.503273322422267
2024-07-13,22.36906710310966
2024-07-14,28.469721767594116
2024-07-15,36.60392798690672
2024-07-16,30.503273322422267
2024-07-17,32.53682487725042
2024-07-18,36.60392798690672
2024-07-19,34.57037643207857
2024-07-20,34.57037643207857
2024-07-21,44.73813420621932
2024-07-22,56.93944353518823
2024-07-23,42.70458265139117
2024-07-24,44.73813420621932
2024-07-25,44.73813420621932
2024-07-26,30.503273322422267
2024-07-27,26.436170212765965
2024-07-28,22.36906710310966
2024-07-29,30.503273322422267
2024-07-30,28.469721767594116
2024-07-31,30.503273322422267
2024-08-01,24.402618657937815
2024-08-02,20.33551554828151
2024-08-03,18.30196399345336
2024-08-04,24.402618657937815
2024-08-05,26.436170212765965
2024-08-06,32.53682487725042
2024-08-07,38.63747954173487
2024-08-08,30.503273322422267
2024-08-09,28.469721767594116
2024-08-10,20.33551554828151
2024-08-11,18.30196399345336
2024-08-12,30.503273322422267
2024-08-13,34.57037643207857
2024-08-14,40.67103109656302
2024-08-15,32.53682487725042
2024-08-16,32.53682487725042
2024-08-17,20.33551554828151
2024-08-18,21.860679214402623
2024-08-19,28.978109656301154
2024-08-20,49.822013093289705
2024-08-21,50.83878887070378
2024-08-22,50.83878887070378
2024-08-23,48.80523731587563
2024-08-24,25.927782324058928
2024-08-25,25.927782324058928
2024-08-26,47.78846153846155
2024-08-27,48.80523731587563
2024-08-28,51.855564648117856
2024-08-29,49.822013093289705
2024-08-30,46.77168576104748
2024-08-31,22.8774549918167
2024-09-01,22.8774549918167
2024-09-02,24.911006546644852
2024-09-03,50.83878887070378
2024-09-04,52.87234042553193
2024-09-05,55.92266775777416
2024-09-06,51.855564648117856
2024-09-07,23.894230769230774
2024-09-08,23.894230769230774
2024-09-09,56.93944353518823
2024-09-10,56.93944353518823
2024-09-11,56.93944353518823
2024-09-12,59.98977086743046
2024-09-13,58.97299509001638
2024-09-14,26.944558101473003
2024-09-15,26.944558101473003
2024-09-16,73.71624386252049
2024-09-17,76.25818330605567
2024-09-18,76.25818330605567
2024-09-19,76.25818330605567
2024-09-20,76.25818330605567
2024-09-21,25.41939443535189
2024-09-22,25.41939443535189
