Time,dsw
2023-12-22,82
2023-12-23,93
2023-12-24,79
2023-12-25,49
2023-12-26,78
2023-12-27,81
2023-12-28,75
2023-12-29,77
2023-12-30,83
2023-12-31,81
2024-01-01,58
2024-01-02,49
2024-01-03,51
2024-01-04,51
2024-01-05,58
2024-01-06,71
2024-01-07,67
2024-01-08,44
2024-01-09,45
2024-01-10,46
2024-01-11,46
2024-01-12,53
2024-01-13,61
2024-01-14,61
2024-01-15,57
2024-01-16,44
2024-01-17,44
2024-01-18,46
2024-01-19,47
2024-01-20,66
2024-01-21,64
2024-01-22,43
2024-01-23,42
2024-01-24,44
2024-01-25,43
2024-01-26,45
2024-01-27,61
2024-01-28,62
2024-01-29,43
2024-01-30,44
2024-01-31,42
2024-02-01,43
2024-02-02,45
2024-02-03,66
2024-02-04,64
2024-02-05,43
2024-02-06,43
2024-02-07,42
2024-02-08,44
2024-02-09,43
2024-02-10,59
2024-02-11,54
2024-02-12,34
2024-02-13,42
2024-02-14,41
2024-02-15,43
2024-02-16,46
2024-02-17,60
2024-02-18,65
2024-02-19,62
2024-02-20,55
2024-02-21,47
2024-02-22,46
2024-02-23,51
2024-02-24,71
2024-02-25,74
2024-02-26,48
2024-02-27,48
2024-02-28,47
2024-02-29,55
2024-03-01,55
2024-03-02,73
2024-03-03,76
2024-03-04,53
2024-03-05,49
2024-03-06,49
2024-03-07,51
2024-03-08,56
2024-03-09,75
2024-03-10,76
2024-03-11,50
2024-03-12,57
2024-03-13,60
2024-03-14,66
2024-03-15,69
2024-03-16,90
2024-03-17,87
2024-03-18,60
2024-03-19,64
2024-03-20,60
2024-03-21,74
2024-03-22,66
2024-03-23,84
2024-03-24,85
2024-03-25,60
2024-03-26,55
2024-03-27,58
2024-03-28,65
2024-03-29,76
2024-03-30,89
2024-03-31,84
2024-04-01,63
2024-04-02,55
2024-04-03,58
2024-04-04,56
2024-04-05,64
2024-04-06,80
2024-04-07,86
2024-04-08,57
2024-04-09,59
2024-04-10,61
2024-04-11,60
2024-04-12,72
2024-04-13,90
2024-04-14,100
2024-04-15,64
2024-04-16,60
2024-04-17,60
2024-04-18,64
2024-04-19,65
2024-04-20,90
2024-04-21,92
2024-04-22,64
2024-04-23,63
2024-04-24,65
2024-04-25,64
2024-04-26,61
2024-04-27,84
2024-04-28,93
2024-04-29,65
2024-04-30,68
2024-05-01,69
2024-05-02,65
2024-05-03,67
2024-05-04,85
2024-05-05,92
2024-05-06,63
2024-05-07,62
2024-05-08,68
2024-05-09,72
2024-05-10,72
2024-05-11,94
2024-05-12,96
2024-05-13,71
2024-05-14,63
2024-05-15,67
2024-05-16,69
2024-05-17,73
2024-05-18,89
2024-05-19,95
2024-05-20,65
2024-05-21,64
2024-05-22,61
2024-05-23,65
2024-05-24,73
2024-05-25,85
2024-05-26,89
2024-05-27,94
2024-05-28,60
2024-05-29,58
2024-05-30,65
2024-05-31,65
2024-06-01,80
2024-06-02,90
2024-06-03,63
2024-06-04,63
2024-06-05,63
2024-06-06,63
2024-06-07,64
2024-06-08,77
2024-06-09,84
2024-06-10,60
2024-06-11,55
2024-06-12,60
2024-06-13,60
2024-06-14,65
2024-06-15,74
2024-06-16,72
2024-06-17,55
2024-06-18,54
2024-06-19,66
2024-06-20,61
2024-06-21,64
2024-06-22,71
2024-06-23,81
2024-06-24,52
2024-06-25,53
2024-06-26,50
2024-06-27,50
2024-06-28,55
2024-06-29,68
2024-06-30,71
2024-07-01,51
2024-07-02,50
2024-07-03,56
2024-07-04,61
2024-07-05,54
2024-07-06,69
2024-07-07,73
2024-07-08,54
2024-07-09,49
2024-07-10,51
2024-07-11,52
2024-07-12,52
2024-07-13,63
2024-07-14,61
2024-07-15,51
2024-07-16,49
2024-07-17,54
2024-07-18,59
2024-07-19,61
2024-07-20,68
2024-07-21,72
2024-07-22,55
2024-07-23,55
2024-07-24,52
2024-07-25,56
2024-07-26,58
2024-07-27,68
2024-07-28,74
2024-07-29,54
2024-07-30,56
2024-07-31,55
2024-08-01,56
2024-08-02,64
2024-08-03,77
2024-08-04,90
2024-08-05,61
2024-08-06,55
2024-08-07,60
2024-08-08,63
2024-08-09,62
2024-08-10,77
2024-08-11,88
2024-08-12,61
2024-08-13,59
2024-08-14,59
2024-08-15,63
2024-08-16,65
2024-08-17,83
2024-08-18,93
2024-08-19,60
2024-08-20,55
2024-08-21,56
2024-08-22,56
2024-08-23,56
2024-08-24,70
2024-08-25,79
2024-08-26,53
2024-08-27,54
2024-08-28,50
2024-08-29,56
2024-08-30,62
2024-08-31,73
2024-09-01,85
2024-09-02,88
2024-09-03,55
2024-09-04,52
2024-09-05,51
2024-09-06,52
2024-09-07,71
2024-09-08,81
2024-09-09,52
2024-09-10,52
2024-09-11,47
2024-09-12,57
2024-09-13,53
2024-09-14,75
2024-09-15,72
2024-09-16,55
