Time,xrp price
2023-12-22,41
2023-12-23,34
2023-12-24,31
2023-12-25,37
2023-12-26,42
2023-12-27,44
2023-12-28,47
2023-12-29,40
2023-12-30,32
2023-12-31,31
2024-01-01,34
2024-01-02,49
2024-01-03,47
2024-01-04,45
2024-01-05,39
2024-01-06,34
2024-01-07,35
2024-01-08,43
2024-01-09,40
2024-01-10,46
2024-01-11,56
2024-01-12,45
2024-01-13,36
2024-01-14,34
2024-01-15,34
2024-01-16,33
2024-01-17,33
2024-01-18,30
2024-01-19,33
2024-01-20,27
2024-01-21,25
2024-01-22,35
2024-01-23,32
2024-01-24,31
2024-01-25,27
2024-01-26,24
2024-01-27,17
2024-01-28,18
2024-01-29,24
2024-01-30,25
2024-01-31,21
2024-02-01,22
2024-02-02,18
2024-02-03,19
2024-02-04,18
2024-02-05,26
2024-02-06,23
2024-02-07,21
2024-02-08,23
2024-02-09,24
2024-02-10,21
2024-02-11,19
2024-02-12,23
2024-02-13,24
2024-02-14,26
2024-02-15,32
2024-02-16,33
2024-02-17,20
2024-02-18,23
2024-02-19,27
2024-02-20,27
2024-02-21,27
2024-02-22,24
2024-02-23,24
2024-02-24,21
2024-02-25,22
2024-02-26,26
2024-02-27,38
2024-02-28,46
2024-02-29,54
2024-03-01,42
2024-03-02,45
2024-03-03,45
2024-03-04,58
2024-03-05,60
2024-03-06,45
2024-03-07,42
2024-03-08,43
2024-03-09,37
2024-03-10,34
2024-03-11,75
2024-03-12,71
2024-03-13,55
2024-03-14,47
2024-03-15,40
2024-03-16,35
2024-03-17,33
2024-03-18,35
2024-03-19,36
2024-03-20,36
2024-03-21,34
2024-03-22,33
2024-03-23,26
2024-03-24,26
2024-03-25,39
2024-03-26,34
2024-03-27,32
2024-03-28,34
2024-03-29,31
2024-03-30,27
2024-03-31,27
2024-04-01,26
2024-04-02,26
2024-04-03,28
2024-04-04,31
2024-04-05,29
2024-04-06,25
2024-04-07,22
2024-04-08,28
2024-04-09,30
2024-04-10,28
2024-04-11,25
2024-04-12,32
2024-04-13,30
2024-04-14,33
2024-04-15,30
2024-04-16,30
2024-04-17,27
2024-04-18,28
2024-04-19,29
2024-04-20,28
2024-04-21,27
2024-04-22,30
2024-04-23,29
2024-04-24,27
2024-04-25,25
2024-04-26,22
2024-04-27,17
2024-04-28,18
2024-04-29,22
2024-04-30,21
2024-05-01,24
2024-05-02,25
2024-05-03,24
2024-05-04,21
2024-05-05,19
2024-05-06,26
2024-05-07,27
2024-05-08,25
2024-05-09,24
2024-05-10,21
2024-05-11,17
2024-05-12,18
2024-05-13,23
2024-05-14,24
2024-05-15,23
2024-05-16,22
2024-05-17,20
2024-05-18,15
2024-05-19,17
2024-05-20,25
2024-05-21,28
2024-05-22,23
2024-05-23,30
2024-05-24,31
2024-05-25,20
2024-05-26,21
2024-05-27,18
2024-05-28,20
2024-05-29,22
2024-05-30,19
2024-05-31,20
2024-06-01,17
2024-06-02,16
2024-06-03,19
2024-06-04,22
2024-06-05,22
2024-06-06,20
2024-06-07,20
2024-06-08,19
2024-06-09,19
2024-06-10,22
2024-06-11,23
2024-06-12,22
2024-06-13,24
2024-06-14,19
2024-06-15,18
2024-06-16,16
2024-06-17,26
2024-06-18,24
2024-06-19,20
2024-06-20,24
2024-06-21,21
2024-06-22,15
2024-06-23,13
2024-06-24,20
2024-06-25,24
2024-06-26,20
2024-06-27,19
2024-06-28,19
2024-06-29,15
2024-06-30,16
2024-07-01,21
2024-07-02,20
2024-07-03,19
2024-07-04,21
2024-07-05,30
2024-07-06,20
2024-07-07,17
2024-07-08,24
2024-07-09,22
2024-07-10,24
2024-07-11,22
2024-07-12,25
2024-07-13,35
2024-07-14,32
2024-07-15,37
2024-07-16,53
2024-07-17,66
2024-07-18,59
2024-07-19,49
2024-07-20,38
2024-07-21,39
2024-07-22,46
2024-07-23,51
2024-07-24,54
2024-07-25,50
2024-07-26,43
2024-07-27,30
2024-07-28,37
2024-07-29,45
2024-07-30,52
2024-07-31,60
2024-08-01,46
2024-08-02,43
2024-08-03,31
2024-08-04,34
2024-08-05,69
2024-08-06,51
2024-08-07,64
2024-08-08,100
2024-08-09,59
2024-08-10,46
2024-08-11,40
2024-08-12,45
2024-08-13,43
2024-08-14,41
2024-08-15,41
2024-08-16,36
2024-08-17,30
2024-08-18,28
2024-08-19,39
2024-08-20,49
2024-08-21,43
2024-08-22,43
2024-08-23,41
2024-08-24,39
2024-08-25,35
2024-08-26,36
2024-08-27,33
2024-08-28,34
2024-08-29,32
2024-08-30,27
2024-08-31,23
2024-09-01,26
2024-09-02,30
2024-09-03,29
2024-09-04,26
2024-09-05,28
2024-09-06,30
2024-09-07,22
2024-09-08,19
2024-09-09,26
2024-09-10,23
2024-09-11,24
2024-09-12,34
2024-09-13,38
2024-09-14,32
2024-09-15,28
2024-09-16,30
