Time,google classroom
2025-12-11,89
2025-12-12,87
2025-12-13,20
2025-12-14,21
2025-12-15,86
2025-12-16,87
2025-12-17,83
2025-12-18,70
2025-12-19,45
2025-12-20,11
2025-12-21,9
2025-12-22,24
2025-12-23,15
2025-12-24,6
2025-12-25,5
2025-12-26,6
2025-12-27,5
2025-12-28,5
2025-12-29,6
2025-12-30,7
2025-12-31,6
2026-01-01,6
2026-01-02,7
2026-01-03,8
2026-01-04,12
2026-01-05,56
2026-01-06,82
2026-01-07,85
2026-01-08,82
2026-01-09,83
2026-01-10,16
2026-01-11,17
2026-01-12,87
2026-01-13,91
2026-01-14,86
2026-01-15,84
2026-01-16,81
2026-01-17,16
2026-01-18,12
2026-01-19,22
2026-01-20,80
2026-01-21,84
2026-01-22,86
2026-01-23,83
2026-01-24,18
2026-01-25,20
2026-01-26,100
2026-01-27,83
2026-01-28,83
2026-01-29,84
2026-01-30,78
2026-01-31,18
2026-02-01,19
2026-02-02,81
2026-02-03,80
2026-02-04,84
2026-02-05,81
2026-02-06,78
2026-02-07,18
2026-02-08,15
2026-02-09,66
2026-02-10,85
2026-02-11,86
2026-02-12,80
2026-02-13,55
2026-02-14,13
2026-02-15,12
2026-02-16,26
2026-02-17,44
2026-02-18,62
2026-02-19,62
2026-02-20,58
2026-02-21,15
2026-02-22,17
2026-02-23,70
2026-02-24,79
2026-02-25,79
2026-02-26,79
2026-02-27,71
2026-02-28,17
2026-03-01,18
2026-03-02,82
2026-03-03,82
2026-03-04,85
2026-03-05,81
2026-03-06,72
2026-03-07,16
2026-03-08,17
2026-03-09,79
2026-03-10,69
2026-03-11,72
2026-03-12,72
2026-03-13,53
2026-03-14,14
2026-03-15,15
2026-03-16,60
2026-03-17,64
2026-03-18,60
2026-03-19,55
2026-03-20,43
2026-03-21,13
2026-03-22,15
2026-03-23,67
2026-03-24,67
2026-03-25,65
2026-03-26,65
2026-03-27,56
2026-03-28,14
2026-03-29,16
2026-03-30,63
2026-03-31,55
2026-04-01,52
2026-04-02,40
2026-04-03,20
2026-04-04,9
2026-04-05,9
2026-04-06,39
2026-04-07,47
2026-04-08,45
2026-04-09,44
2026-04-10,42
2026-04-11,12
2026-04-12,15
2026-04-13,68
2026-04-14,63
2026-04-15,63
2026-04-16,69
2026-04-17,61
2026-04-18,14
2026-04-19,15
2026-04-20,68
2026-04-21,61
2026-04-22,65
2026-04-23,61
2026-04-24,54
2026-04-25,14
2026-04-26,16
2026-04-27,72
2026-04-28,69
2026-04-29,65
2026-04-30,60
2026-05-01,47
2026-05-02,14
2026-05-03,16
2026-05-04,62
2026-05-05,63
2026-05-06,61
2026-05-07,59
2026-05-08,54
2026-05-09,14
2026-05-10,15
2026-05-11,68
2026-05-12,63
2026-05-13,61
2026-05-14,58
2026-05-15,50
2026-05-16,14
2026-05-17,15
2026-05-18,53
2026-05-19,51
2026-05-20,47
2026-05-21,47
2026-05-22,40
2026-05-23,10
2026-05-24,9
2026-05-25,13
2026-05-26,40
2026-05-27,37
2026-05-28,41
2026-05-29,33
2026-05-30,9
2026-05-31,11
