Time,google classroom
2023-12-22,20
2023-12-23,5
2023-12-24,4
2023-12-25,4
2023-12-26,4
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,4
2023-12-31,4
2024-01-01,6
2024-01-02,30
2024-01-03,46
2024-01-04,53
2024-01-05,51
2024-01-06,8
2024-01-07,11
2024-01-08,73
2024-01-09,80
2024-01-10,84
2024-01-11,88
2024-01-12,77
2024-01-13,11
2024-01-14,8
2024-01-15,16
2024-01-16,66
2024-01-17,76
2024-01-18,82
2024-01-19,72
2024-01-20,12
2024-01-21,13
2024-01-22,82
2024-01-23,78
2024-01-24,83
2024-01-25,79
2024-01-26,74
2024-01-27,12
2024-01-28,12
2024-01-29,80
2024-01-30,88
2024-01-31,84
2024-02-01,84
2024-02-02,79
2024-02-03,12
2024-02-04,14
2024-02-05,80
2024-02-06,85
2024-02-07,81
2024-02-08,83
2024-02-09,78
2024-02-10,12
2024-02-11,12
2024-02-12,75
2024-02-13,100
2024-02-14,79
2024-02-15,83
2024-02-16,61
2024-02-17,10
2024-02-18,9
2024-02-19,21
2024-02-20,64
2024-02-21,66
2024-02-22,66
2024-02-23,59
2024-02-24,12
2024-02-25,13
2024-02-26,78
2024-02-27,78
2024-02-28,77
2024-02-29,76
2024-03-01,73
2024-03-02,12
2024-03-03,12
2024-03-04,78
2024-03-05,78
2024-03-06,72
2024-03-07,74
2024-03-08,65
2024-03-09,11
2024-03-10,11
2024-03-11,63
2024-03-12,62
2024-03-13,60
2024-03-14,60
2024-03-15,49
2024-03-16,9
2024-03-17,11
2024-03-18,67
2024-03-19,68
2024-03-20,67
2024-03-21,67
2024-03-22,56
2024-03-23,10
2024-03-24,10
2024-03-25,62
2024-03-26,57
2024-03-27,59
2024-03-28,49
2024-03-29,18
2024-03-30,6
2024-03-31,5
2024-04-01,28
2024-04-02,52
2024-04-03,53
2024-04-04,51
2024-04-05,49
2024-04-06,8
2024-04-07,9
2024-04-08,54
2024-04-09,67
2024-04-10,53
2024-04-11,62
2024-04-12,58
2024-04-13,9
2024-04-14,10
2024-04-15,64
2024-04-16,62
2024-04-17,59
2024-04-18,65
2024-04-19,56
2024-04-20,9
2024-04-21,9
2024-04-22,58
2024-04-23,53
2024-04-24,52
2024-04-25,52
2024-04-26,49
2024-04-27,8
2024-04-28,10
2024-04-29,58
2024-04-30,55
2024-05-01,60
2024-05-02,61
2024-05-03,53
2024-05-04,9
2024-05-05,10
2024-05-06,61
2024-05-07,58
2024-05-08,58
2024-05-09,58
2024-05-10,50
2024-05-11,9
2024-05-12,9
2024-05-13,61
2024-05-14,57
2024-05-15,53
2024-05-16,55
2024-05-17,49
2024-05-18,9
2024-05-19,10
2024-05-20,51
2024-05-21,49
2024-05-22,45
2024-05-23,40
2024-05-24,32
2024-05-25,6
2024-05-26,5
2024-05-27,8
2024-05-28,34
2024-05-29,31
2024-05-30,30
2024-05-31,24
2024-06-01,6
2024-06-02,6
2024-06-03,27
2024-06-04,23
2024-06-05,25
2024-06-06,21
2024-06-07,16
2024-06-08,5
2024-06-09,5
2024-06-10,21
2024-06-11,19
2024-06-12,17
2024-06-13,15
2024-06-14,10
2024-06-15,3
2024-06-16,3
2024-06-17,7
2024-06-18,9
2024-06-19,5
2024-06-20,8
2024-06-21,6
2024-06-22,3
2024-06-23,3
2024-06-24,7
2024-06-25,6
2024-06-26,5
2024-06-27,4
2024-06-28,3
2024-06-29,2
2024-06-30,2
2024-07-01,5
2024-07-02,4
2024-07-03,4
2024-07-04,2
2024-07-05,2
2024-07-06,2
2024-07-07,2
2024-07-08,5
2024-07-09,5
2024-07-10,5
2024-07-11,5
2024-07-12,4
2024-07-13,2
2024-07-14,2
2024-07-15,5
2024-07-16,5
2024-07-17,5
2024-07-18,5
2024-07-19,4
2024-07-20,2
2024-07-21,3
2024-07-22,5
2024-07-23,6
2024-07-24,6
2024-07-25,6
2024-07-26,5
2024-07-27,3
2024-07-28,3
2024-07-29,7
2024-07-30,8
2024-07-31,8
2024-08-01,10
2024-08-02,10
2024-08-03,4
2024-08-04,5
2024-08-05,14
2024-08-06,16
2024-08-07,19
2024-08-08,21
2024-08-09,23
2024-08-10,6
2024-08-11,7
2024-08-12,32
2024-08-13,37
2024-08-14,47
2024-08-15,54
2024-08-16,50
2024-08-17,9
2024-08-18,9
2024-08-19,55
2024-08-20,61
2024-08-21,64
2024-08-22,60
2024-08-23,60
2024-08-24,11
2024-08-25,12
2024-08-26,64
2024-08-27,68
2024-08-28,68
2024-08-29,76
2024-08-30,60
2024-08-31,9
2024-09-01,8
2024-09-02,14
2024-09-03,74
2024-09-04,76
2024-09-05,80
2024-09-06,73
2024-09-07,12
2024-09-08,15
2024-09-09,80
2024-09-10,78
2024-09-11,73
2024-09-12,81
2024-09-13,74
2024-09-14,12
2024-09-15,14
2024-09-16,77
