Time,gmail
2023-04-26,90
2023-04-27,83
2023-04-28,79
2023-04-29,56
2023-04-30,54
2023-05-01,93
2023-05-02,95
2023-05-03,88
2023-05-04,88
2023-05-05,81
2023-05-06,53
2023-05-07,54
2023-05-08,95
2023-05-09,88
2023-05-10,85
2023-05-11,85
2023-05-12,79
2023-05-13,53
2023-05-14,48
2023-05-15,82
2023-05-16,84
2023-05-17,80
2023-05-18,83
2023-05-19,76
2023-05-20,51
2023-05-21,47
2023-05-22,81
2023-05-23,80
2023-05-24,78
2023-05-25,77
2023-05-26,66
2023-05-27,44
2023-05-28,45
2023-05-29,50
2023-05-30,83
2023-05-31,77
2023-06-01,79
2023-06-02,71
2023-06-03,50
2023-06-04,50
2023-06-05,77
2023-06-06,78
2023-06-07,74
2023-06-08,74
2023-06-09,63
2023-06-10,46
2023-06-11,47
2023-06-12,75
2023-06-13,73
2023-06-14,70
2023-06-15,69
2023-06-16,61
2023-06-17,48
2023-06-18,42
2023-06-19,64
2023-06-20,71
2023-06-21,68
2023-06-22,63
2023-06-23,64
2023-06-24,47
2023-06-25,46
2023-06-26,67
2023-06-27,72
2023-06-28,66
2023-06-29,65
2023-06-30,62
2023-07-01,45
2023-07-02,44
2023-07-03,60
2023-07-04,46
2023-07-05,68
2023-07-06,71
2023-07-07,66
2023-07-08,49
2023-07-09,46
2023-07-10,74
2023-07-11,75
2023-07-12,70
2023-07-13,71
2023-07-14,71
2023-07-15,49
2023-07-16,48
2023-07-17,72
2023-07-18,70
2023-07-19,73
2023-07-20,68
2023-07-21,67
2023-07-22,49
2023-07-23,48
2023-07-24,73
2023-07-25,74
2023-07-26,71
2023-07-27,72
2023-07-28,66
2023-07-29,49
2023-07-30,48
2023-07-31,75
2023-08-01,76
2023-08-02,73
2023-08-03,73
2023-08-04,72
2023-08-05,50
2023-08-06,48
2023-08-07,78
2023-08-08,77
2023-08-09,82
2023-08-10,79
2023-08-11,73
2023-08-12,51
2023-08-13,48
2023-08-14,79
2023-08-15,83
2023-08-16,83
2023-08-17,83
2023-08-18,80
2023-08-19,54
2023-08-20,50
2023-08-21,89
2023-08-22,93
2023-08-23,95
2023-08-24,89
2023-08-25,81
2023-08-26,56
2023-08-27,52
2023-08-28,92
2023-08-29,94
2023-08-30,89
2023-08-31,93
2023-09-01,79
2023-09-02,48
2023-09-03,46
2023-09-04,57
2023-09-05,94
2023-09-06,98
2023-09-07,90
2023-09-08,80
2023-09-09,51
2023-09-10,51
2023-09-11,96
2023-09-12,88
2023-09-13,91
2023-09-14,90
2023-09-15,83
2023-09-16,50
2023-09-17,49
2023-09-18,91
2023-09-19,93
2023-09-20,88
2023-09-21,91
2023-09-22,84
2023-09-23,51
2023-09-24,50
2023-09-25,88
2023-09-26,94
2023-09-27,91
2023-09-28,89
2023-09-29,84
2023-09-30,51
2023-10-01,52
2023-10-02,90
2023-10-03,89
2023-10-04,93
2023-10-05,90
2023-10-06,82
2023-10-07,51
2023-10-08,48
2023-10-09,83
2023-10-10,89
2023-10-11,86
2023-10-12,87
2023-10-13,78
2023-10-14,49
2023-10-15,52
2023-10-16,92
2023-10-17,92
2023-10-18,91
2023-10-19,87
2023-10-20,79
2023-10-21,50
2023-10-22,51
2023-10-23,89
2023-10-24,91
2023-10-25,90
2023-10-26,83
2023-10-27,80
2023-10-28,47
2023-10-29,44
2023-10-30,88
2023-10-31,87
2023-11-01,89
2023-11-02,89
2023-11-03,81
2023-11-04,50
2023-11-05,52
2023-11-06,90
2023-11-07,88
2023-11-08,86
2023-11-09,85
2023-11-10,73
2023-11-11,50
2023-11-12,48
2023-11-13,84
2023-11-14,93
2023-11-15,100
2023-11-16,89
2023-11-17,81
2023-11-18,51
2023-11-19,48
2023-11-20,79
2023-11-21,78
2023-11-22,66
2023-11-23,44
2023-11-24,50
2023-11-25,48
2023-11-26,50
2023-11-27,90
2023-11-28,98
2023-11-29,96
2023-11-30,93
2023-12-01,85
2023-12-02,56
2023-12-03,53
2023-12-04,94
2023-12-05,91
2023-12-06,94
2023-12-07,89
2023-12-08,82
2023-12-09,54
2023-12-10,52
2023-12-11,87
2023-12-12,87
2023-12-13,85
2023-12-14,90
2023-12-15,85
2023-12-16,57
2023-12-17,52
2023-12-18,82
2023-12-19,87
2023-12-20,79
2023-12-21,78
2023-12-22,65
2023-12-23,49
2023-12-24,42
2023-12-25,52
2023-12-26,66
2023-12-27,66
2023-12-28,63
2023-12-29,61
2023-12-30,47
2023-12-31,44
2024-01-01,47
2024-01-02,78
2024-01-03,86
2024-01-04,86
2024-01-05,81
2024-01-06,57
2024-01-07,50
2024-01-08,90
2024-01-09,90
2024-01-10,95
2024-01-11,92
2024-01-12,86
2024-01-13,55
2024-01-14,52
2024-01-15,65
2024-01-16,88
2024-01-17,96
2024-01-18,93
2024-01-19,86
2024-01-20,56
