Time,spider man no way home
2023-12-22,52
2023-12-23,43
2023-12-24,48
2023-12-25,50
2023-12-26,44
2023-12-27,45
2023-12-28,40
2023-12-29,40
2023-12-30,43
2023-12-31,29
2024-01-01,66
2024-01-02,60
2024-01-03,42
2024-01-04,39
2024-01-05,44
2024-01-06,48
2024-01-07,48
2024-01-08,40
2024-01-09,33
2024-01-10,28
2024-01-11,29
2024-01-12,34
2024-01-13,47
2024-01-14,44
2024-01-15,49
2024-01-16,41
2024-01-17,78
2024-01-18,52
2024-01-19,39
2024-01-20,57
2024-01-21,52
2024-01-22,41
2024-01-23,30
2024-01-24,30
2024-01-25,34
2024-01-26,36
2024-01-27,48
2024-01-28,51
2024-01-29,63
2024-01-30,33
2024-01-31,28
2024-02-01,25
2024-02-02,28
2024-02-03,42
2024-02-04,88
2024-02-05,39
2024-02-06,29
2024-02-07,27
2024-02-08,25
2024-02-09,46
2024-02-10,45
2024-02-11,40
2024-02-12,26
2024-02-13,33
2024-02-14,28
2024-02-15,30
2024-02-16,35
2024-02-17,52
2024-02-18,100
2024-02-19,49
2024-02-20,32
2024-02-21,36
2024-02-22,36
2024-02-23,43
2024-02-24,44
2024-02-25,45
2024-02-26,40
2024-02-27,22
2024-02-28,24
2024-02-29,35
2024-03-01,47
2024-03-02,48
2024-03-03,49
2024-03-04,36
2024-03-05,29
2024-03-06,31
2024-03-07,26
2024-03-08,28
2024-03-09,43
2024-03-10,68
2024-03-11,54
2024-03-12,32
2024-03-13,35
2024-03-14,41
2024-03-15,46
2024-03-16,50
2024-03-17,73
2024-03-18,49
2024-03-19,34
2024-03-20,32
2024-03-21,35
2024-03-22,43
2024-03-23,41
2024-03-24,46
2024-03-25,24
2024-03-26,31
2024-03-27,26
2024-03-28,43
2024-03-29,45
2024-03-30,48
2024-03-31,69
2024-04-01,65
2024-04-02,39
2024-04-03,36
2024-04-04,36
2024-04-05,32
2024-04-06,45
2024-04-07,52
2024-04-08,36
2024-04-09,36
2024-04-10,48
2024-04-11,25
2024-04-12,36
2024-04-13,38
2024-04-14,44
2024-04-15,30
2024-04-16,27
2024-04-17,29
2024-04-18,29
2024-04-19,32
2024-04-20,42
2024-04-21,55
2024-04-22,50
2024-04-23,32
2024-04-24,28
2024-04-25,29
2024-04-26,29
2024-04-27,39
2024-04-28,64
2024-04-29,53
2024-04-30,30
2024-05-01,28
2024-05-02,27
2024-05-03,30
2024-05-04,43
2024-05-05,44
2024-05-06,37
2024-05-07,30
2024-05-08,29
2024-05-09,28
2024-05-10,33
2024-05-11,40
2024-05-12,49
2024-05-13,27
2024-05-14,23
2024-05-15,28
2024-05-16,25
2024-05-17,24
2024-05-18,40
2024-05-19,71
2024-05-20,40
2024-05-21,30
2024-05-22,26
2024-05-23,31
2024-05-24,36
2024-05-25,42
2024-05-26,46
2024-05-27,59
2024-05-28,63
2024-05-29,34
2024-05-30,30
2024-05-31,36
2024-06-01,50
2024-06-02,44
2024-06-03,52
2024-06-04,76
2024-06-05,49
2024-06-06,40
2024-06-07,34
2024-06-08,37
2024-06-09,49
2024-06-10,32
2024-06-11,29
2024-06-12,29
2024-06-13,30
2024-06-14,25
2024-06-15,33
2024-06-16,38
2024-06-17,31
2024-06-18,26
2024-06-19,26
2024-06-20,31
2024-06-21,25
2024-06-22,36
2024-06-23,35
2024-06-24,31
2024-06-25,26
2024-06-26,22
2024-06-27,26
2024-06-28,21
2024-06-29,34
2024-06-30,56
2024-07-01,35
2024-07-02,28
2024-07-03,27
2024-07-04,31
2024-07-05,21
2024-07-06,35
2024-07-07,31
2024-07-08,29
2024-07-09,22
2024-07-10,28
2024-07-11,26
2024-07-12,28
2024-07-13,39
2024-07-14,64
2024-07-15,34
2024-07-16,27
2024-07-17,24
2024-07-18,30
2024-07-19,28
2024-07-20,39
2024-07-21,42
2024-07-22,44
2024-07-23,54
2024-07-24,31
2024-07-25,27
2024-07-26,33
2024-07-27,45
2024-07-28,68
2024-07-29,50
2024-07-30,42
2024-07-31,40
2024-08-01,42
2024-08-02,44
2024-08-03,54
2024-08-04,62
2024-08-05,43
2024-08-06,40
2024-08-07,45
2024-08-08,44
2024-08-09,40
2024-08-10,65
2024-08-11,87
2024-08-12,48
2024-08-13,40
2024-08-14,41
2024-08-15,29
2024-08-16,35
2024-08-17,59
2024-08-18,63
2024-08-19,45
2024-08-20,57
2024-08-21,43
2024-08-22,41
2024-08-23,50
2024-08-24,72
2024-08-25,83
2024-08-26,44
2024-08-27,37
2024-08-28,36
2024-08-29,33
2024-08-30,39
2024-08-31,46
2024-09-01,57
2024-09-02,77
2024-09-03,41
2024-09-04,27
2024-09-05,31
2024-09-06,24
2024-09-07,35
2024-09-08,44
2024-09-09,30
2024-09-10,31
2024-09-11,28
2024-09-12,24
2024-09-13,29
2024-09-14,40
2024-09-15,38
2024-09-16,23
