Time,spider man no way home
2024-08-18,76
2024-08-19,54
2024-08-20,69
2024-08-21,52
2024-08-22,49
2024-08-23,61
2024-08-24,87
2024-08-25,100
2024-08-26,53
2024-08-27,44
2024-08-28,44
2024-08-29,40
2024-08-30,47
2024-08-31,55
2024-09-01,69
2024-09-02,93
2024-09-03,50
2024-09-04,33
2024-09-05,37
2024-09-06,29
2024-09-07,43
2024-09-08,53
2024-09-09,36
2024-09-10,37
2024-09-11,34
2024-09-12,29
2024-09-13,35
2024-09-14,48
2024-09-15,46
2024-09-16,27
2024-09-17,27
2024-09-18,37
2024-09-19,29
2024-09-20,35
2024-09-21,41
2024-09-22,47
2024-09-23,36
2024-09-24,26
2024-09-25,30
2024-09-26,28
2024-09-27,33
2024-09-28,66
2024-09-29,60
2024-09-30,32
2024-10-01,26
2024-10-02,28
2024-10-03,28
2024-10-04,35
2024-10-05,44
2024-10-06,37
2024-10-07,31
2024-10-08,23
2024-10-09,29
2024-10-10,30
2024-10-11,35
2024-10-12,35
2024-10-13,50
2024-10-14,36
2024-10-15,42
2024-10-16,24
2024-10-17,29
2024-10-18,27
2024-10-19,36
2024-10-20,32
2024-10-21,27
2024-10-22,29
2024-10-23,52
2024-10-24,35
2024-10-25,31
2024-10-26,38
2024-10-27,45
2024-10-28,28
2024-10-29,30
2024-10-30,28
2024-10-31,28
2024-11-01,35
2024-11-02,35
2024-11-03,47
2024-11-04,25
2024-11-05,31
2024-11-06,17
2024-11-07,29
2024-11-08,23
2024-11-09,41
2024-11-10,46
2024-11-11,32
2024-11-12,32
2024-11-13,28
2024-11-14,30
2024-11-15,34
2024-11-16,44
2024-11-17,42
2024-11-18,28
2024-11-19,57
2024-11-20,47
2024-11-21,42
2024-11-22,43
2024-11-23,44
2024-11-24,49
2024-11-25,37
2024-11-26,30
2024-11-27,39
2024-11-28,51
2024-11-29,49
2024-11-30,52
2024-12-01,48
2024-12-02,29
2024-12-03,25
2024-12-04,38
2024-12-05,34
2024-12-06,38
2024-12-07,48
2024-12-08,45
2024-12-09,26
2024-12-10,35
2024-12-11,37
2024-12-12,33
2024-12-13,33
2024-12-14,62
2024-12-15,60
2024-12-16,41
2024-12-17,42
2024-12-18,45
2024-12-19,41
2024-12-20,43
2024-12-21,46
2024-12-22,47
2024-12-23,50
2024-12-24,49
2024-12-25,61
2024-12-26,51
2024-12-27,36
2024-12-28,51
2024-12-29,72
2024-12-30,56
2024-12-31,69
2025-01-01,52
2025-01-02,70
2025-01-03,85
2025-01-04,79
2025-01-05,60
2025-01-06,57
2025-01-07,50
2025-01-08,47
2025-01-09,51
2025-01-10,52
2025-01-11,97
2025-01-12,70
2025-01-13,40
2025-01-14,40
2025-01-15,62
2025-01-16,43
2025-01-17,43
2025-01-18,67
2025-01-19,61
2025-01-20,70
2025-01-21,48
2025-01-22,44
2025-01-23,37
2025-01-24,38
2025-01-25,63
2025-01-26,59
2025-01-27,40
2025-01-28,29
2025-01-29,36
2025-01-30,38
2025-01-31,42
2025-02-01,57
2025-02-02,75
2025-02-03,40
2025-02-04,42
2025-02-05,38
2025-02-06,39
2025-02-07,42
2025-02-08,59
2025-02-09,54
2025-02-10,32
2025-02-11,37
2025-02-12,39
2025-02-13,39
2025-02-14,50
2025-02-15,66
2025-02-16,63
2025-02-17,52
2025-02-18,46
2025-02-19,44
2025-02-20,47
2025-02-21,38
2025-02-22,56
2025-02-23,61
2025-02-24,48
2025-02-25,42
2025-02-26,43
2025-02-27,33
2025-02-28,34
2025-03-01,54
2025-03-02,70
2025-03-03,42
2025-03-04,33
2025-03-05,41
2025-03-06,41
2025-03-07,37
2025-03-08,51
2025-03-09,56
2025-03-10,40
2025-03-11,35
2025-03-12,40
2025-03-13,41
2025-03-14,45
2025-03-15,52
2025-03-16,52
2025-03-17,34
2025-03-18,38
2025-03-19,34
2025-03-20,28
2025-03-21,25
2025-03-22,36
2025-03-23,54
2025-03-24,31
2025-03-25,29
2025-03-26,42
2025-03-27,41
2025-03-28,36
2025-03-29,46
2025-03-30,53
2025-03-31,44
2025-04-01,64
2025-04-02,38
2025-04-03,36
2025-04-04,32
2025-04-05,53
2025-04-06,36
2025-04-07,36
2025-04-08,38
2025-04-09,32
2025-04-10,25
2025-04-11,33
2025-04-12,42
2025-04-13,48
2025-04-14,36
2025-04-15,29
2025-04-16,26
2025-04-17,34
2025-04-18,28
2025-04-19,37
2025-04-20,34
2025-04-21,34
2025-04-22,25
2025-04-23,25
2025-04-24,26
2025-04-25,20
2025-04-26,35
2025-04-27,33
2025-04-28,26
2025-04-29,25
2025-04-30,24
2025-05-01,23
2025-05-02,34
2025-05-03,42
2025-05-04,49
2025-05-05,28
2025-05-06,34
2025-05-07,30
2025-05-08,32
2025-05-09,29
2025-05-10,39
2025-05-11,43
2025-05-12,37
2025-05-13,31
2025-05-14,26
