Time,first_republic_bank
2022-01-01,22.0
2022-01-02,29.0
2022-01-03,70.0
2022-01-04,100.0
2022-01-05,71.0
2022-01-06,45.0
2022-01-07,48.0
2022-01-08,30.0
2022-01-09,25.0
2022-01-10,40.0
2022-01-11,52.0
2022-01-12,76.0
2022-01-13,62.0
2022-01-14,53.0
2022-01-15,36.0
2022-01-16,22.0
2022-01-17,37.0
2022-01-18,50.0
2022-01-19,57.0
2022-01-20,47.0
2022-01-21,36.0
2022-01-22,28.0
2022-01-23,18.0
2022-01-24,50.0
2022-01-25,46.0
2022-01-26,48.0
2022-01-27,52.0
2022-01-28,46.0
2022-01-29,16.0
2022-01-30,23.0
2022-01-31,56.0
2022-02-01,61.0
2022-02-02,63.0
2022-02-03,44.0
2022-02-04,59.0
2022-02-05,27.0
2022-02-06,22.0
2022-02-07,48.0
2022-02-08,56.0
2022-02-09,73.0
2022-02-10,73.0
2022-02-11,52.0
2022-02-12,33.0
2022-02-13,15.0
2022-02-14,45.0
2022-02-15,53.0
2022-02-16,75.0
2022-02-17,56.0
2022-02-18,43.0
2022-02-19,30.0
2022-02-20,21.0
2022-02-21,31.0
2022-02-22,50.0
2022-02-23,56.0
2022-02-24,55.0
2022-02-25,45.0
2022-02-26,22.0
2022-02-27,27.0
2022-02-28,48.0
2022-03-01,63.0
2022-03-02,66.0
2022-03-03,57.0
2022-03-04,47.0
2022-03-05,40.0
2022-03-06,20.0
2022-03-07,51.0
2022-03-08,55.0
2022-03-09,75.0
2022-03-10,63.0
2022-03-11,56.0
2022-03-12,25.0
2022-03-13,32.0
2022-03-14,53.0
2022-03-15,60.0
2022-03-16,57.0
2022-03-17,51.0
2022-03-18,62.0
2022-03-19,35.0
2022-03-20,28.0
2022-03-21,51.0
2022-03-22,51.0
2022-03-23,56.0
2022-03-24,52.0
2022-03-25,53.0
2022-03-26,24.0
2022-03-27,22.0
2022-03-28,47.0
2022-03-29,49.0
2022-03-30,64.0
2022-03-31,57.0
2022-04-01,58.0
2022-04-02,36.0
2022-04-03,23.0
2022-04-04,74.0
2022-04-05,64.0
2022-04-06,64.0
2022-04-07,49.0
2022-04-08,64.0
2022-04-09,32.0
2022-04-10,35.0
2022-04-11,58.0
2022-04-12,69.0
2022-04-13,55.0
2022-04-14,58.0
2022-04-15,61.0
2022-04-16,39.0
2022-04-17,26.0
2022-04-18,70.0
2022-04-19,66.0
2022-04-20,56.0
2022-04-21,53.0
2022-04-22,51.0
2022-04-23,29.0
2022-04-24,20.0
2022-04-25,41.0
2022-04-26,48.0
2022-04-27,58.0
2022-04-28,40.0
2022-04-29,61.0
2022-04-30,32.0
2022-05-01,25.0
2022-05-02,65.0
2022-05-03,48.0
2022-05-04,83.0
2022-05-05,59.0
2022-05-06,56.0
2022-05-07,39.0
2022-05-08,14.0
2022-05-09,60.0
2022-05-10,64.0
2022-05-11,57.0
2022-05-12,50.0
2022-05-13,47.0
2022-05-14,32.0
2022-05-15,20.0
2022-05-16,45.0
2022-05-17,48.0
2022-05-18,55.0
2022-05-19,45.0
2022-05-20,57.0
2022-05-21,30.0
2022-05-22,19.0
2022-05-23,51.0
2022-05-24,54.0
2022-05-25,51.0
2022-05-26,43.0
2022-05-27,48.0
2022-05-28,20.0
2022-05-29,21.0
2022-05-30,23.0
2022-05-31,65.0
2022-06-01,63.0
2022-06-02,56.0
2022-06-03,62.0
2022-06-04,45.0
2022-06-05,24.0
2022-06-06,65.0
2022-06-07,65.0
2022-06-08,60.0
2022-06-09,52.0
2022-06-10,53.0
2022-06-11,25.0
2022-06-12,20.0
2022-06-13,49.0
2022-06-14,59.0
2022-06-15,68.0
2022-06-16,62.0
2022-06-17,47.0
2022-06-18,30.0
2022-06-19,28.0
2022-06-20,43.0
2022-06-21,51.0
2022-06-22,63.0
2022-06-23,59.0
2022-06-24,47.0
2022-06-25,34.0
2022-06-26,16.0
2022-06-27,62.0
2022-06-28,64.0
2022-06-29,59.0
2022-06-30,58.0
2022-07-01,74.0
2022-07-02,45.0
2022-07-03,29.0
2022-07-04,19.0
2022-07-05,75.0
2022-07-06,69.0
2022-07-07,65.0
2022-07-08,53.0
2022-07-09,35.0
2022-07-10,29.0
2022-07-11,62.0
2022-07-12,65.0
2022-07-13,72.0
2022-07-14,54.0
2022-07-15,62.0
2022-07-16,43.0
2022-07-17,29.0
2022-07-18,73.0
2022-07-19,63.0
2022-07-20,53.0
2022-07-21,58.0
2022-07-22,52.0
2022-07-23,35.0
2022-07-24,22.0
2022-07-25,54.0
2022-07-26,66.0
2022-07-27,57.0
2022-07-28,87.0
2022-07-29,80.0
2022-07-30,44.0
2022-07-31,30.0
2022-08-01,65.0
2022-08-02,71.0
2022-08-03,67.0
2022-08-04,61.0
2022-08-05,70.0
2022-08-06,44.0
2022-08-07,21.0
2022-08-08,63.0
2022-08-09,70.0
2022-08-10,65.0
2022-08-11,54.0
2022-08-12,68.0
2022-08-13,42.0
2022-08-14,21.0
2022-08-15,52.0
2022-08-16,69.0
