Time,texas roadhouse
2022-01-01,60
2022-01-02,44
2022-01-03,30
2022-01-04,28
2022-01-05,27
2022-01-06,21
2022-01-07,34
2022-01-08,61
2022-01-09,47
2022-01-10,24
2022-01-11,23
2022-01-12,25
2022-01-13,30
2022-01-14,31
2022-01-15,52
2022-01-16,40
2022-01-17,28
2022-01-18,20
2022-01-19,22
2022-01-20,24
2022-01-21,34
2022-01-22,59
2022-01-23,45
2022-01-24,27
2022-01-25,20
2022-01-26,22
2022-01-27,24
2022-01-28,35
2022-01-29,76
2022-01-30,56
2022-01-31,23
2022-02-01,22
2022-02-02,31
2022-02-03,23
2022-02-04,32
2022-02-05,63
2022-02-06,57
2022-02-07,28
2022-02-08,22
2022-02-09,24
2022-02-10,24
2022-02-11,40
2022-02-12,73
2022-02-13,52
2022-02-14,65
2022-02-15,43
2022-02-16,26
2022-02-17,23
2022-02-18,35
2022-02-19,68
2022-02-20,64
2022-02-21,33
2022-02-22,23
2022-02-23,24
2022-02-24,25
2022-02-25,36
2022-02-26,68
2022-02-27,62
2022-02-28,27
2022-03-01,25
2022-03-02,23
2022-03-03,25
2022-03-04,32
2022-03-05,64
2022-03-06,53
2022-03-07,24
2022-03-08,23
2022-03-09,23
2022-03-10,25
2022-03-11,31
2022-03-12,58
2022-03-13,59
2022-03-14,25
2022-03-15,24
2022-03-16,26
2022-03-17,27
2022-03-18,38
2022-03-19,61
2022-03-20,49
2022-03-21,25
2022-03-22,22
2022-03-23,24
2022-03-24,26
2022-03-25,36
2022-03-26,63
2022-03-27,50
2022-03-28,20
2022-03-29,20
2022-03-30,22
2022-03-31,22
2022-04-01,35
2022-04-02,58
2022-04-03,49
2022-04-04,21
2022-04-05,20
2022-04-06,20
2022-04-07,23
2022-04-08,33
2022-04-09,56
2022-04-10,46
2022-04-11,22
2022-04-12,21
2022-04-13,21
2022-04-14,23
2022-04-15,36
2022-04-16,51
2022-04-17,53
2022-04-18,20
2022-04-19,19
2022-04-20,19
2022-04-21,21
2022-04-22,29
2022-04-23,50
2022-04-24,43
2022-04-25,20
2022-04-26,19
2022-04-27,20
2022-04-28,20
2022-04-29,29
2022-04-30,47
2022-05-01,48
2022-05-02,20
2022-05-03,20
2022-05-04,20
2022-05-05,22
2022-05-06,33
2022-05-07,63
2022-05-08,100
2022-05-09,25
2022-05-10,22
2022-05-11,21
2022-05-12,24
2022-05-13,28
2022-05-14,49
2022-05-15,45
2022-05-16,22
2022-05-17,21
2022-05-18,21
2022-05-19,22
2022-05-20,32
2022-05-21,50
2022-05-22,43
2022-05-23,23
2022-05-24,23
2022-05-25,23
2022-05-26,26
2022-05-27,32
2022-05-28,42
2022-05-29,42
2022-05-30,41
2022-05-31,23
2022-06-01,22
2022-06-02,24
2022-06-03,33
2022-06-04,43
2022-06-05,39
2022-06-06,22
2022-06-07,23
2022-06-08,24
2022-06-09,25
2022-06-10,33
2022-06-11,42
2022-06-12,41
2022-06-13,23
2022-06-14,22
2022-06-15,24
2022-06-16,24
2022-06-17,36
2022-06-18,57
2022-06-19,91
2022-06-20,31
2022-06-21,22
2022-06-22,22
2022-06-23,25
2022-06-24,32
2022-06-25,39
2022-06-26,41
2022-06-27,26
2022-06-28,22
2022-06-29,24
2022-06-30,25
2022-07-01,32
2022-07-02,38
2022-07-03,38
2022-07-04,41
2022-07-05,22
2022-07-06,21
2022-07-07,23
2022-07-08,28
2022-07-09,41
2022-07-10,39
2022-07-11,25
2022-07-12,21
2022-07-13,21
2022-07-14,25
2022-07-15,31
2022-07-16,46
2022-07-17,41
2022-07-18,25
2022-07-19,23
2022-07-20,22
2022-07-21,25
2022-07-22,32
2022-07-23,43
2022-07-24,41
2022-07-25,23
2022-07-26,23
2022-07-27,22
2022-07-28,26
2022-07-29,32
2022-07-30,42
2022-07-31,41
2022-08-01,28
2022-08-02,24
2022-08-03,24
2022-08-04,24
2022-08-05,33
2022-08-06,47
2022-08-07,44
2022-08-08,24
2022-08-09,23
2022-08-10,22
2022-08-11,25
2022-08-12,32
2022-08-13,44
2022-08-14,45
2022-08-15,23
2022-08-16,22
2022-08-17,22
2022-08-18,24
2022-08-19,32
2022-08-20,46
2022-08-21,43
2022-08-22,21
2022-08-23,20
2022-08-24,20
2022-08-25,22
2022-08-26,30
2022-08-27,44
2022-08-28,42
2022-08-29,21
2022-08-30,19
2022-08-31,20
2022-09-01,22
2022-09-02,29
2022-09-03,42
2022-09-04,46
2022-09-05,44
2022-09-06,19
2022-09-07,18
2022-09-08,18
2022-09-09,26
2022-09-10,40
2022-09-11,34
2022-09-12,20
2022-09-13,19
2022-09-14,20
2022-09-15,21
2022-09-16,28
2022-09-17,44
2022-09-18,37
2022-09-19,20
2022-09-20,20
2022-09-21,19
2022-09-22,21
2022-09-23,29
2022-09-24,45
2022-09-25,42
2022-09-26,19
2022-09-27,19
