Time,texas roadhouse
2023-12-22,46
2023-12-23,56
2023-12-24,60
2023-12-25,32
2023-12-26,36
2023-12-27,38
2023-12-28,42
2023-12-29,53
2023-12-30,67
2023-12-31,66
2024-01-01,58
2024-01-02,29
2024-01-03,29
2024-01-04,28
2024-01-05,39
2024-01-06,59
2024-01-07,53
2024-01-08,24
2024-01-09,21
2024-01-10,26
2024-01-11,27
2024-01-12,34
2024-01-13,56
2024-01-14,44
2024-01-15,27
2024-01-16,21
2024-01-17,22
2024-01-18,27
2024-01-19,33
2024-01-20,59
2024-01-21,50
2024-01-22,24
2024-01-23,22
2024-01-24,24
2024-01-25,27
2024-01-26,42
2024-01-27,71
2024-01-28,55
2024-01-29,25
2024-01-30,28
2024-01-31,27
2024-02-01,28
2024-02-02,40
2024-02-03,71
2024-02-04,61
2024-02-05,23
2024-02-06,22
2024-02-07,25
2024-02-08,25
2024-02-09,32
2024-02-10,62
2024-02-11,41
2024-02-12,22
2024-02-13,29
2024-02-14,72
2024-02-15,49
2024-02-16,42
2024-02-17,72
2024-02-18,68
2024-02-19,33
2024-02-20,24
2024-02-21,26
2024-02-22,29
2024-02-23,35
2024-02-24,69
2024-02-25,59
2024-02-26,28
2024-02-27,24
2024-02-28,24
2024-02-29,24
2024-03-01,38
2024-03-02,68
2024-03-03,59
2024-03-04,27
2024-03-05,25
2024-03-06,25
2024-03-07,25
2024-03-08,36
2024-03-09,63
2024-03-10,55
2024-03-11,27
2024-03-12,25
2024-03-13,28
2024-03-14,28
2024-03-15,41
2024-03-16,68
2024-03-17,57
2024-03-18,25
2024-03-19,25
2024-03-20,25
2024-03-21,26
2024-03-22,36
2024-03-23,61
2024-03-24,55
2024-03-25,26
2024-03-26,26
2024-03-27,27
2024-03-28,28
2024-03-29,41
2024-03-30,53
2024-03-31,63
2024-04-01,25
2024-04-02,22
2024-04-03,24
2024-04-04,25
2024-04-05,37
2024-04-06,57
2024-04-07,49
2024-04-08,21
2024-04-09,22
2024-04-10,23
2024-04-11,24
2024-04-12,35
2024-04-13,54
2024-04-14,46
2024-04-15,22
2024-04-16,22
2024-04-17,23
2024-04-18,24
2024-04-19,33
2024-04-20,56
2024-04-21,50
2024-04-22,23
2024-04-23,21
2024-04-24,24
2024-04-25,27
2024-04-26,33
2024-04-27,52
2024-04-28,46
2024-04-29,23
2024-04-30,22
2024-05-01,23
2024-05-02,26
2024-05-03,32
2024-05-04,51
2024-05-05,40
2024-05-06,25
2024-05-07,23
2024-05-08,23
2024-05-09,26
2024-05-10,40
2024-05-11,69
2024-05-12,100
2024-05-13,28
2024-05-14,25
2024-05-15,23
2024-05-16,23
2024-05-17,35
2024-05-18,50
2024-05-19,42
2024-05-20,24
2024-05-21,24
2024-05-22,26
2024-05-23,27
2024-05-24,33
2024-05-25,47
2024-05-26,43
2024-05-27,40
2024-05-28,22
2024-05-29,23
2024-05-30,28
2024-05-31,32
2024-06-01,45
2024-06-02,44
2024-06-03,23
2024-06-04,23
2024-06-05,25
2024-06-06,26
2024-06-07,34
2024-06-08,44
2024-06-09,43
2024-06-10,24
2024-06-11,25
2024-06-12,24
2024-06-13,27
2024-06-14,35
2024-06-15,52
2024-06-16,89
2024-06-17,28
2024-06-18,27
2024-06-19,26
2024-06-20,27
2024-06-21,34
2024-06-22,41
2024-06-23,42
2024-06-24,26
2024-06-25,39
2024-06-26,34
2024-06-27,34
2024-06-28,35
2024-06-29,44
2024-06-30,38
2024-07-01,27
2024-07-02,23
2024-07-03,28
2024-07-04,41
2024-07-05,35
2024-07-06,38
2024-07-07,39
2024-07-08,23
2024-07-09,24
2024-07-10,26
2024-07-11,28
2024-07-12,33
2024-07-13,41
2024-07-14,40
2024-07-15,24
2024-07-16,23
2024-07-17,24
2024-07-18,26
2024-07-19,31
2024-07-20,44
2024-07-21,41
2024-07-22,24
2024-07-23,22
2024-07-24,25
2024-07-25,26
2024-07-26,33
2024-07-27,46
2024-07-28,38
2024-07-29,25
2024-07-30,24
2024-07-31,24
2024-08-01,24
2024-08-02,34
2024-08-03,41
2024-08-04,42
2024-08-05,23
2024-08-06,22
2024-08-07,23
2024-08-08,25
2024-08-09,34
2024-08-10,43
2024-08-11,41
2024-08-12,24
2024-08-13,23
2024-08-14,23
2024-08-15,24
2024-08-16,33
2024-08-17,47
2024-08-18,42
2024-08-19,24
2024-08-20,22
2024-08-21,23
2024-08-22,23
2024-08-23,31
2024-08-24,42
2024-08-25,41
2024-08-26,22
2024-08-27,20
2024-08-28,20
2024-08-29,23
2024-08-30,29
2024-08-31,41
2024-09-01,46
2024-09-02,41
2024-09-03,21
2024-09-04,20
2024-09-05,21
2024-09-06,25
2024-09-07,40
2024-09-08,36
2024-09-09,20
2024-09-10,19
2024-09-11,26
2024-09-12,32
2024-09-13,34
2024-09-14,48
2024-09-15,35
2024-09-16,21
