Time,snake game
2023-04-26,64
2023-04-27,64
2023-04-28,68
2023-04-29,11
2023-04-30,11
2023-05-01,65
2023-05-02,68
2023-05-03,65
2023-05-04,66
2023-05-05,68
2023-05-06,11
2023-05-07,10
2023-05-08,66
2023-05-09,59
2023-05-10,55
2023-05-11,71
2023-05-12,53
2023-05-13,9
2023-05-14,8
2023-05-15,49
2023-05-16,48
2023-05-17,46
2023-05-18,45
2023-05-19,48
2023-05-20,8
2023-05-21,8
2023-05-22,41
2023-05-23,39
2023-05-24,38
2023-05-25,36
2023-05-26,27
2023-05-27,7
2023-05-28,7
2023-05-29,7
2023-05-30,26
2023-05-31,26
2023-06-01,25
2023-06-02,23
2023-06-03,7
2023-06-04,7
2023-06-05,20
2023-06-06,23
2023-06-07,23
2023-06-08,20
2023-06-09,17
2023-06-10,7
2023-06-11,7
2023-06-12,16
2023-06-13,18
2023-06-14,15
2023-06-15,15
2023-06-16,11
2023-06-17,6
2023-06-18,7
2023-06-19,8
2023-06-20,11
2023-06-21,11
2023-06-22,9
2023-06-23,10
2023-06-24,7
2023-06-25,6
2023-06-26,8
2023-06-27,8
2023-06-28,7
2023-06-29,9
2023-06-30,8
2023-07-01,6
2023-07-02,6
2023-07-03,7
2023-07-04,6
2023-07-05,7
2023-07-06,8
2023-07-07,6
2023-07-08,5
2023-07-09,5
2023-07-10,7
2023-07-11,7
2023-07-12,8
2023-07-13,8
2023-07-14,7
2023-07-15,5
2023-07-16,6
2023-07-17,8
2023-07-18,8
2023-07-19,7
2023-07-20,9
2023-07-21,8
2023-07-22,6
2023-07-23,6
2023-07-24,7
2023-07-25,8
2023-07-26,8
2023-07-27,8
2023-07-28,7
2023-07-29,6
2023-07-30,5
2023-07-31,6
2023-08-01,8
2023-08-02,8
2023-08-03,10
2023-08-04,11
2023-08-05,6
2023-08-06,5
2023-08-07,11
2023-08-08,16
2023-08-09,17
2023-08-10,23
2023-08-11,29
2023-08-12,7
2023-08-13,7
2023-08-14,30
2023-08-15,36
2023-08-16,44
2023-08-17,52
2023-08-18,54
2023-08-19,7
2023-08-20,7
2023-08-21,51
2023-08-22,55
2023-08-23,56
2023-08-24,73
2023-08-25,70
2023-08-26,9
2023-08-27,9
2023-08-28,66
2023-08-29,71
2023-08-30,72
2023-08-31,85
2023-09-01,73
2023-09-02,9
2023-09-03,9
2023-09-04,9
2023-09-05,70
2023-09-06,84
2023-09-07,79
2023-09-08,97
2023-09-09,10
2023-09-10,9
2023-09-11,79
2023-09-12,92
2023-09-13,93
2023-09-14,99
2023-09-15,100
2023-09-16,12
2023-09-17,10
2023-09-18,88
2023-09-19,93
2023-09-20,94
2023-09-21,97
2023-09-22,96
2023-09-23,11
2023-09-24,10
2023-09-25,66
2023-09-26,90
2023-09-27,93
2023-09-28,96
2023-09-29,97
2023-09-30,12
2023-10-01,10
2023-10-02,85
2023-10-03,82
2023-10-04,91
2023-10-05,92
2023-10-06,87
2023-10-07,11
2023-10-08,11
2023-10-09,52
2023-10-10,80
2023-10-11,86
2023-10-12,82
2023-10-13,75
2023-10-14,11
2023-10-15,11
2023-10-16,69
2023-10-17,84
2023-10-18,79
2023-10-19,80
2023-10-20,83
2023-10-21,10
2023-10-22,11
2023-10-23,71
2023-10-24,79
2023-10-25,78
2023-10-26,80
2023-10-27,79
2023-10-28,11
2023-10-29,10
2023-10-30,72
2023-10-31,71
2023-11-01,69
2023-11-02,71
2023-11-03,68
2023-11-04,10
2023-11-05,9
2023-11-06,58
2023-11-07,51
2023-11-08,65
2023-11-09,68
2023-11-10,43
2023-11-11,10
2023-11-12,9
2023-11-13,53
2023-11-14,59
2023-11-15,59
2023-11-16,63
2023-11-17,69
2023-11-18,10
2023-11-19,10
2023-11-20,36
2023-11-21,38
2023-11-22,16
2023-11-23,9
2023-11-24,8
2023-11-25,8
2023-11-26,8
2023-11-27,46
2023-11-28,53
2023-11-29,69
2023-11-30,79
2023-12-01,82
2023-12-02,12
2023-12-03,11
2023-12-04,70
2023-12-05,72
2023-12-06,70
2023-12-07,77
2023-12-08,87
2023-12-09,11
2023-12-10,11
2023-12-11,66
2023-12-12,75
2023-12-13,76
2023-12-14,71
2023-12-15,61
2023-12-16,11
2023-12-17,9
2023-12-18,48
2023-12-19,53
2023-12-20,48
2023-12-21,40
2023-12-22,24
2023-12-23,9
2023-12-24,9
2023-12-25,8
2023-12-26,7
2023-12-27,7
2023-12-28,7
2023-12-29,7
2023-12-30,7
2023-12-31,7
2024-01-01,7
2024-01-02,17
2024-01-03,29
2024-01-04,34
2024-01-05,35
2024-01-06,7
2024-01-07,7
2024-01-08,40
2024-01-09,43
2024-01-10,44
2024-01-11,49
2024-01-12,51
2024-01-13,8
2024-01-14,7
2024-01-15,8
2024-01-16,31
2024-01-17,46
2024-01-18,53
2024-01-19,44
2024-01-20,8
