Time,snake game
2023-12-22,32
2023-12-23,12
2023-12-24,12
2023-12-25,10
2023-12-26,9
2023-12-27,9
2023-12-28,9
2023-12-29,9
2023-12-30,9
2023-12-31,9
2024-01-01,9
2024-01-02,23
2024-01-03,37
2024-01-04,44
2024-01-05,45
2024-01-06,9
2024-01-07,9
2024-01-08,52
2024-01-09,56
2024-01-10,57
2024-01-11,63
2024-01-12,66
2024-01-13,11
2024-01-14,9
2024-01-15,11
2024-01-16,40
2024-01-17,60
2024-01-18,68
2024-01-19,57
2024-01-20,11
2024-01-21,10
2024-01-22,59
2024-01-23,66
2024-01-24,67
2024-01-25,69
2024-01-26,71
2024-01-27,12
2024-01-28,10
2024-01-29,61
2024-01-30,69
2024-01-31,67
2024-02-01,75
2024-02-02,72
2024-02-03,10
2024-02-04,11
2024-02-05,62
2024-02-06,70
2024-02-07,67
2024-02-08,72
2024-02-09,91
2024-02-10,14
2024-02-11,14
2024-02-12,75
2024-02-13,88
2024-02-14,86
2024-02-15,100
2024-02-16,97
2024-02-17,14
2024-02-18,13
2024-02-19,24
2024-02-20,72
2024-02-21,72
2024-02-22,82
2024-02-23,86
2024-02-24,13
2024-02-25,11
2024-02-26,72
2024-02-27,72
2024-02-28,72
2024-02-29,82
2024-03-01,80
2024-03-02,13
2024-03-03,11
2024-03-04,66
2024-03-05,77
2024-03-06,72
2024-03-07,83
2024-03-08,78
2024-03-09,12
2024-03-10,11
2024-03-11,54
2024-03-12,58
2024-03-13,64
2024-03-14,62
2024-03-15,57
2024-03-16,11
2024-03-17,10
2024-03-18,59
2024-03-19,63
2024-03-20,63
2024-03-21,62
2024-03-22,65
2024-03-23,11
2024-03-24,9
2024-03-25,48
2024-03-26,54
2024-03-27,54
2024-03-28,54
2024-03-29,25
2024-03-30,8
2024-03-31,8
2024-04-01,30
2024-04-02,47
2024-04-03,46
2024-04-04,48
2024-04-05,55
2024-04-06,10
2024-04-07,9
2024-04-08,47
2024-04-09,60
2024-04-10,59
2024-04-11,62
2024-04-12,70
2024-04-13,10
2024-04-14,9
2024-04-15,58
2024-04-16,60
2024-04-17,59
2024-04-18,68
2024-04-19,71
2024-04-20,10
2024-04-21,8
2024-04-22,62
2024-04-23,64
2024-04-24,63
2024-04-25,64
2024-04-26,65
2024-04-27,10
2024-04-28,9
2024-04-29,59
2024-04-30,64
2024-05-01,64
2024-05-02,67
2024-05-03,61
2024-05-04,10
2024-05-05,9
2024-05-06,63
2024-05-07,68
2024-05-08,63
2024-05-09,64
2024-05-10,66
2024-05-11,9
2024-05-12,9
2024-05-13,70
2024-05-14,66
2024-05-15,63
2024-05-16,63
2024-05-17,58
2024-05-18,10
2024-05-19,8
2024-05-20,55
2024-05-21,56
2024-05-22,55
2024-05-23,50
2024-05-24,41
2024-05-25,9
2024-05-26,8
2024-05-27,8
2024-05-28,37
2024-05-29,38
2024-05-30,37
2024-05-31,32
2024-06-01,8
2024-06-02,8
2024-06-03,29
2024-06-04,29
2024-06-05,29
2024-06-06,27
2024-06-07,22
2024-06-08,7
2024-06-09,8
2024-06-10,22
2024-06-11,20
2024-06-12,19
2024-06-13,19
2024-06-14,14
2024-06-15,7
2024-06-16,7
2024-06-17,12
2024-06-18,12
2024-06-19,9
2024-06-20,12
2024-06-21,10
2024-06-22,6
2024-06-23,5
2024-06-24,10
2024-06-25,10
2024-06-26,9
2024-06-27,9
2024-06-28,8
2024-06-29,6
2024-06-30,6
2024-07-01,8
2024-07-02,8
2024-07-03,8
2024-07-04,6
2024-07-05,6
2024-07-06,6
2024-07-07,6
2024-07-08,7
2024-07-09,8
2024-07-10,8
2024-07-11,8
2024-07-12,8
2024-07-13,5
2024-07-14,5
2024-07-15,8
2024-07-16,9
2024-07-17,8
2024-07-18,8
2024-07-19,7
2024-07-20,7
2024-07-21,5
2024-07-22,7
2024-07-23,8
2024-07-24,8
2024-07-25,8
2024-07-26,8
2024-07-27,5
2024-07-28,6
2024-07-29,7
2024-07-30,8
2024-07-31,7
2024-08-01,8
2024-08-02,9
2024-08-03,6
2024-08-04,5
2024-08-05,9
2024-08-06,12
2024-08-07,13
2024-08-08,16
2024-08-09,20
2024-08-10,6
2024-08-11,6
2024-08-12,22
2024-08-13,27
2024-08-14,34
2024-08-15,41
2024-08-16,50
2024-08-17,9
2024-08-18,7
2024-08-19,46
2024-08-20,59
2024-08-21,59
2024-08-22,63
2024-08-23,71
2024-08-24,10
2024-08-25,9
2024-08-26,65
2024-08-27,68
2024-08-28,77
2024-08-29,85
2024-08-30,74
2024-08-31,9
2024-09-01,9
2024-09-02,9
2024-09-03,70
2024-09-04,83
2024-09-05,84
2024-09-06,96
2024-09-07,10
2024-09-08,9
2024-09-09,85
2024-09-10,93
2024-09-11,80
2024-09-12,93
2024-09-13,91
2024-09-14,11
2024-09-15,9
2024-09-16,84
