Time,movies
2023-12-22,63
2023-12-23,75
2023-12-24,80
2023-12-25,100
2023-12-26,82
2023-12-27,69
2023-12-28,68
2023-12-29,66
2023-12-30,79
2023-12-31,77
2024-01-01,86
2024-01-02,57
2024-01-03,53
2024-01-04,49
2024-01-05,53
2024-01-06,77
2024-01-07,74
2024-01-08,47
2024-01-09,42
2024-01-10,43
2024-01-11,42
2024-01-12,51
2024-01-13,71
2024-01-14,75
2024-01-15,61
2024-01-16,47
2024-01-17,44
2024-01-18,42
2024-01-19,48
2024-01-20,74
2024-01-21,70
2024-01-22,43
2024-01-23,41
2024-01-24,43
2024-01-25,40
2024-01-26,46
2024-01-27,71
2024-01-28,64
2024-01-29,41
2024-01-30,38
2024-01-31,38
2024-02-01,37
2024-02-02,44
2024-02-03,69
2024-02-04,71
2024-02-05,41
2024-02-06,37
2024-02-07,39
2024-02-08,38
2024-02-09,42
2024-02-10,64
2024-02-11,62
2024-02-12,39
2024-02-13,42
2024-02-14,44
2024-02-15,46
2024-02-16,49
2024-02-17,73
2024-02-18,80
2024-02-19,58
2024-02-20,40
2024-02-21,37
2024-02-22,38
2024-02-23,45
2024-02-24,66
2024-02-25,67
2024-02-26,42
2024-02-27,34
2024-02-28,36
2024-02-29,38
2024-03-01,43
2024-03-02,67
2024-03-03,71
2024-03-04,42
2024-03-05,38
2024-03-06,37
2024-03-07,37
2024-03-08,44
2024-03-09,71
2024-03-10,73
2024-03-11,50
2024-03-12,41
2024-03-13,39
2024-03-14,41
2024-03-15,47
2024-03-16,64
2024-03-17,73
2024-03-18,44
2024-03-19,40
2024-03-20,41
2024-03-21,36
2024-03-22,47
2024-03-23,68
2024-03-24,65
2024-03-25,44
2024-03-26,40
2024-03-27,41
2024-03-28,44
2024-03-29,49
2024-03-30,66
2024-03-31,73
2024-04-01,46
2024-04-02,40
2024-04-03,40
2024-04-04,40
2024-04-05,48
2024-04-06,62
2024-04-07,62
2024-04-08,39
2024-04-09,37
2024-04-10,40
2024-04-11,39
2024-04-12,46
2024-04-13,58
2024-04-14,61
2024-04-15,38
2024-04-16,35
2024-04-17,35
2024-04-18,38
2024-04-19,44
2024-04-20,63
2024-04-21,65
2024-04-22,42
2024-04-23,38
2024-04-24,36
2024-04-25,37
2024-04-26,42
2024-04-27,63
2024-04-28,64
2024-04-29,40
2024-04-30,36
2024-05-01,35
2024-05-02,39
2024-05-03,46
2024-05-04,63
2024-05-05,67
2024-05-06,41
2024-05-07,37
2024-05-08,37
2024-05-09,39
2024-05-10,44
2024-05-11,60
2024-05-12,68
2024-05-13,45
2024-05-14,41
2024-05-15,38
2024-05-16,39
2024-05-17,46
2024-05-18,63
2024-05-19,61
2024-05-20,44
2024-05-21,40
2024-05-22,39
2024-05-23,41
2024-05-24,47
2024-05-25,64
2024-05-26,68
2024-05-27,71
2024-05-28,46
2024-05-29,43
2024-05-30,42
2024-05-31,45
2024-06-01,65
2024-06-02,66
2024-06-03,45
2024-06-04,42
2024-06-05,45
2024-06-06,44
2024-06-07,47
2024-06-08,67
2024-06-09,68
2024-06-10,47
2024-06-11,45
2024-06-12,47
2024-06-13,41
2024-06-14,52
2024-06-15,67
2024-06-16,74
2024-06-17,51
2024-06-18,51
2024-06-19,50
2024-06-20,50
2024-06-21,54
2024-06-22,69
2024-06-23,71
2024-06-24,49
2024-06-25,46
2024-06-26,42
2024-06-27,44
2024-06-28,47
2024-06-29,67
2024-06-30,69
2024-07-01,47
2024-07-02,46
2024-07-03,47
2024-07-04,67
2024-07-05,65
2024-07-06,72
2024-07-07,76
2024-07-08,48
2024-07-09,46
2024-07-10,46
2024-07-11,46
2024-07-12,53
2024-07-13,66
2024-07-14,65
2024-07-15,46
2024-07-16,45
2024-07-17,45
2024-07-18,45
2024-07-19,50
2024-07-20,67
2024-07-21,70
2024-07-22,48
2024-07-23,48
2024-07-24,46
2024-07-25,52
2024-07-26,59
2024-07-27,74
2024-07-28,78
2024-07-29,57
2024-07-30,54
2024-07-31,49
2024-08-01,49
2024-08-02,53
2024-08-03,76
2024-08-04,80
2024-08-05,55
2024-08-06,49
2024-08-07,50
2024-08-08,50
2024-08-09,57
2024-08-10,71
2024-08-11,78
2024-08-12,54
2024-08-13,49
2024-08-14,49
2024-08-15,48
2024-08-16,55
2024-08-17,75
2024-08-18,82
2024-08-19,51
2024-08-20,46
2024-08-21,44
2024-08-22,44
2024-08-23,50
2024-08-24,68
2024-08-25,79
2024-08-26,50
2024-08-27,42
2024-08-28,43
2024-08-29,44
2024-08-30,52
2024-08-31,68
2024-09-01,80
2024-09-02,78
2024-09-03,47
2024-09-04,42
2024-09-05,41
2024-09-06,48
2024-09-07,72
2024-09-08,71
2024-09-09,46
2024-09-10,42
2024-09-11,39
2024-09-12,43
2024-09-13,51
2024-09-14,72
2024-09-15,66
2024-09-16,44
