Time,movies
2022-08-29,43
2022-08-30,41
2022-08-31,39
2022-09-01,40
2022-09-02,48
2022-09-03,78
2022-09-04,76
2022-09-05,73
2022-09-06,42
2022-09-07,39
2022-09-08,36
2022-09-09,41
2022-09-10,62
2022-09-11,63
2022-09-12,42
2022-09-13,36
2022-09-14,37
2022-09-15,38
2022-09-16,45
2022-09-17,64
2022-09-18,63
2022-09-19,41
2022-09-20,38
2022-09-21,37
2022-09-22,37
2022-09-23,47
2022-09-24,62
2022-09-25,67
2022-09-26,42
2022-09-27,40
2022-09-28,40
2022-09-29,39
2022-09-30,48
2022-10-01,67
2022-10-02,69
2022-10-03,44
2022-10-04,42
2022-10-05,43
2022-10-06,43
2022-10-07,49
2022-10-08,69
2022-10-09,68
2022-10-10,51
2022-10-11,44
2022-10-12,44
2022-10-13,46
2022-10-14,55
2022-10-15,70
2022-10-16,72
2022-10-17,48
2022-10-18,44
2022-10-19,43
2022-10-20,43
2022-10-21,50
2022-10-22,71
2022-10-23,71
2022-10-24,48
2022-10-25,42
2022-10-26,42
2022-10-27,43
2022-10-28,50
2022-10-29,68
2022-10-30,74
2022-10-31,55
2022-11-01,46
2022-11-02,40
2022-11-03,39
2022-11-04,46
2022-11-05,66
2022-11-06,63
2022-11-07,44
2022-11-08,39
2022-11-09,35
2022-11-10,42
2022-11-11,59
2022-11-12,74
2022-11-13,72
2022-11-14,44
2022-11-15,39
2022-11-16,40
2022-11-17,41
2022-11-18,45
2022-11-19,64
2022-11-20,69
2022-11-21,48
2022-11-22,46
2022-11-23,52
2022-11-24,68
2022-11-25,73
2022-11-26,71
2022-11-27,75
2022-11-28,40
2022-11-29,38
2022-11-30,39
2022-12-01,40
2022-12-02,45
2022-12-03,64
2022-12-04,67
2022-12-05,45
2022-12-06,42
2022-12-07,42
2022-12-08,45
2022-12-09,50
2022-12-10,67
2022-12-11,77
2022-12-12,49
2022-12-13,43
2022-12-14,46
2022-12-15,49
2022-12-16,56
2022-12-17,73
2022-12-18,73
2022-12-19,56
2022-12-20,56
2022-12-21,58
2022-12-22,60
2022-12-23,75
2022-12-24,79
2022-12-25,100
2022-12-26,89
2022-12-27,73
2022-12-28,72
2022-12-29,65
2022-12-30,66
2022-12-31,76
2023-01-01,85
2023-01-02,78
2023-01-03,53
2023-01-04,48
2023-01-05,48
2023-01-06,54
2023-01-07,77
2023-01-08,80
2023-01-09,51
2023-01-10,45
2023-01-11,46
2023-01-12,48
2023-01-13,53
2023-01-14,79
2023-01-15,81
2023-01-16,68
2023-01-17,46
2023-01-18,43
2023-01-19,44
2023-01-20,51
2023-01-21,74
2023-01-22,74
2023-01-23,49
2023-01-24,47
2023-01-25,44
2023-01-26,44
2023-01-27,51
2023-01-28,77
2023-01-29,79
2023-01-30,48
2023-01-31,46
2023-02-01,46
2023-02-02,44
2023-02-03,53
2023-02-04,80
2023-02-05,84
2023-02-06,48
2023-02-07,44
2023-02-08,43
2023-02-09,43
2023-02-10,46
2023-02-11,74
2023-02-12,72
2023-02-13,43
2023-02-14,47
2023-02-15,48
2023-02-16,44
2023-02-17,57
2023-02-18,79
2023-02-19,85
2023-02-20,60
2023-02-21,46
2023-02-22,44
2023-02-23,45
2023-02-24,50
2023-02-25,75
2023-02-26,80
2023-02-27,46
2023-02-28,41
2023-03-01,42
2023-03-02,42
2023-03-03,48
2023-03-04,79
2023-03-05,75
2023-03-06,49
2023-03-07,42
2023-03-08,43
2023-03-09,43
2023-03-10,53
2023-03-11,75
2023-03-12,83
2023-03-13,58
2023-03-14,49
2023-03-15,48
2023-03-16,46
2023-03-17,57
2023-03-18,82
2023-03-19,78
2023-03-20,49
2023-03-21,45
2023-03-22,44
2023-03-23,46
2023-03-24,55
2023-03-25,75
2023-03-26,74
2023-03-27,49
2023-03-28,45
2023-03-29,42
2023-03-30,44
2023-03-31,51
2023-04-01,70
2023-04-02,72
2023-04-03,47
2023-04-04,46
2023-04-05,49
2023-04-06,52
2023-04-07,64
2023-04-08,76
2023-04-09,78
2023-04-10,55
2023-04-11,47
2023-04-12,42
2023-04-13,42
2023-04-14,51
2023-04-15,72
2023-04-16,77
2023-04-17,45
2023-04-18,40
2023-04-19,41
2023-04-20,42
2023-04-21,50
2023-04-22,78
2023-04-23,77
2023-04-24,48
2023-04-25,42
2023-04-26,43
2023-04-27,43
2023-04-28,50
2023-04-29,75
2023-04-30,77
2023-05-01,49
2023-05-02,43
2023-05-03,40
2023-05-04,43
2023-05-05,47
2023-05-06,68
2023-05-07,70
2023-05-08,47
2023-05-09,42
2023-05-10,41
2023-05-11,39
2023-05-12,50
2023-05-13,69
2023-05-14,74
2023-05-15,49
2023-05-16,45
2023-05-17,43
2023-05-18,43
2023-05-19,51
2023-05-20,73
2023-05-21,73
2023-05-22,47
2023-05-23,43
2023-05-24,43
2023-05-25,46
