Time,nearpod
2023-12-22,4
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,1
2023-12-27,1
2023-12-28,1
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,18
2024-01-03,38
2024-01-04,53
2024-01-05,42
2024-01-06,2
2024-01-07,2
2024-01-08,71
2024-01-09,70
2024-01-10,85
2024-01-11,87
2024-01-12,61
2024-01-13,2
2024-01-14,1
2024-01-15,4
2024-01-16,45
2024-01-17,66
2024-01-18,78
2024-01-19,53
2024-01-20,2
2024-01-21,2
2024-01-22,71
2024-01-23,74
2024-01-24,74
2024-01-25,70
2024-01-26,56
2024-01-27,2
2024-01-28,3
2024-01-29,83
2024-01-30,86
2024-01-31,83
2024-02-01,79
2024-02-02,63
2024-02-03,2
2024-02-04,2
2024-02-05,84
2024-02-06,83
2024-02-07,78
2024-02-08,71
2024-02-09,57
2024-02-10,2
2024-02-11,3
2024-02-12,66
2024-02-13,76
2024-02-14,67
2024-02-15,69
2024-02-16,42
2024-02-17,2
2024-02-18,2
2024-02-19,14
2024-02-20,74
2024-02-21,73
2024-02-22,70
2024-02-23,54
2024-02-24,2
2024-02-25,2
2024-02-26,84
2024-02-27,73
2024-02-28,70
2024-02-29,68
2024-03-01,52
2024-03-02,2
2024-03-03,1
2024-03-04,72
2024-03-05,65
2024-03-06,61
2024-03-07,59
2024-03-08,42
2024-03-09,2
2024-03-10,2
2024-03-11,50
2024-03-12,51
2024-03-13,51
2024-03-14,46
2024-03-15,29
2024-03-16,2
2024-03-17,2
2024-03-18,71
2024-03-19,71
2024-03-20,68
2024-03-21,62
2024-03-22,43
2024-03-23,2
2024-03-24,2
2024-03-25,61
2024-03-26,55
2024-03-27,51
2024-03-28,39
2024-03-29,9
2024-03-30,1
2024-03-31,1
2024-04-01,31
2024-04-02,53
2024-04-03,54
2024-04-04,50
2024-04-05,41
2024-04-06,2
2024-04-07,2
2024-04-08,54
2024-04-09,66
2024-04-10,51
2024-04-11,60
2024-04-12,48
2024-04-13,2
2024-04-14,2
2024-04-15,66
2024-04-16,59
2024-04-17,59
2024-04-18,56
2024-04-19,41
2024-04-20,1
2024-04-21,2
2024-04-22,62
2024-04-23,55
2024-04-24,45
2024-04-25,49
2024-04-26,38
2024-04-27,2
2024-04-28,1
2024-04-29,57
2024-04-30,52
2024-05-01,47
2024-05-02,48
2024-05-03,38
2024-05-04,1
2024-05-05,1
2024-05-06,52
2024-05-07,44
2024-05-08,41
2024-05-09,37
2024-05-10,30
2024-05-11,1
2024-05-12,1
2024-05-13,40
2024-05-14,37
2024-05-15,35
2024-05-16,28
2024-05-17,24
2024-05-18,1
2024-05-19,2
2024-05-20,29
2024-05-21,27
2024-05-22,24
2024-05-23,19
2024-05-24,13
2024-05-25,0
2024-05-26,0
2024-05-27,1
2024-05-28,18
2024-05-29,17
2024-05-30,15
2024-05-31,11
2024-06-01,1
2024-06-02,1
2024-06-03,14
2024-06-04,13
2024-06-05,11
2024-06-06,10
2024-06-07,6
2024-06-08,0
2024-06-09,0
2024-06-10,8
2024-06-11,8
2024-06-12,7
2024-06-13,7
2024-06-14,3
2024-06-15,0
2024-06-16,1
2024-06-17,5
2024-06-18,5
2024-06-19,2
2024-06-20,3
2024-06-21,2
2024-06-22,0
2024-06-23,1
2024-06-24,4
2024-06-25,3
2024-06-26,3
2024-06-27,3
2024-06-28,2
2024-06-29,1
2024-06-30,0
2024-07-01,2
2024-07-02,3
2024-07-03,2
2024-07-04,0
2024-07-05,1
2024-07-06,0
2024-07-07,0
2024-07-08,3
2024-07-09,3
2024-07-10,3
2024-07-11,4
2024-07-12,2
2024-07-13,0
2024-07-14,0
2024-07-15,3
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,2
2024-07-20,0
2024-07-21,0
2024-07-22,3
2024-07-23,3
2024-07-24,5
2024-07-25,5
2024-07-26,3
2024-07-27,1
2024-07-28,1
2024-07-29,5
2024-07-30,4
2024-07-31,5
2024-08-01,5
2024-08-02,7
2024-08-03,1
2024-08-04,1
2024-08-05,12
2024-08-06,17
2024-08-07,20
2024-08-08,21
2024-08-09,18
2024-08-10,1
2024-08-11,2
2024-08-12,29
2024-08-13,32
2024-08-14,42
2024-08-15,49
2024-08-16,42
2024-08-17,2
2024-08-18,2
2024-08-19,67
2024-08-20,68
2024-08-21,71
2024-08-22,70
2024-08-23,58
2024-08-24,2
2024-08-25,2
2024-08-26,81
2024-08-27,84
2024-08-28,78
2024-08-29,81
2024-08-30,57
2024-08-31,2
2024-09-01,2
2024-09-02,3
2024-09-03,82
2024-09-04,85
2024-09-05,86
2024-09-06,66
2024-09-07,2
2024-09-08,3
2024-09-09,100
2024-09-10,86
2024-09-11,88
2024-09-12,84
2024-09-13,61
2024-09-14,2
2024-09-15,2
2024-09-16,84
