Time,nearpod
2024-08-18,2
2024-08-19,67
2024-08-20,68
2024-08-21,71
2024-08-22,70
2024-08-23,58
2024-08-24,2
2024-08-25,2
2024-08-26,81
2024-08-27,84
2024-08-28,78
2024-08-29,81
2024-08-30,57
2024-08-31,2
2024-09-01,2
2024-09-02,3
2024-09-03,82
2024-09-04,85
2024-09-05,86
2024-09-06,66
2024-09-07,2
2024-09-08,3
2024-09-09,100
2024-09-10,86
2024-09-11,88
2024-09-12,84
2024-09-13,61
2024-09-14,2
2024-09-15,2
2024-09-16,84
2024-09-17,83
2024-09-18,81
2024-09-19,77
2024-09-20,55
2024-09-21,3
2024-09-22,3
2024-09-23,77
2024-09-24,80
2024-09-25,74
2024-09-26,64
2024-09-27,41
2024-09-28,1
2024-09-29,2
2024-09-30,71
2024-10-01,70
2024-10-02,65
2024-10-03,56
2024-10-04,46
2024-10-05,1
2024-10-06,1
2024-10-07,62
2024-10-08,63
2024-10-09,55
2024-10-10,46
2024-10-11,32
2024-10-12,1
2024-10-13,2
2024-10-14,35
2024-10-15,65
2024-10-16,65
2024-10-17,65
2024-10-18,43
2024-10-19,1
2024-10-20,3
2024-10-21,71
2024-10-22,73
2024-10-23,66
2024-10-24,65
2024-10-25,46
2024-10-26,2
2024-10-27,2
2024-10-28,69
2024-10-29,67
2024-10-30,62
2024-10-31,52
2024-11-01,41
2024-11-02,1
2024-11-03,2
2024-11-04,64
2024-11-05,34
2024-11-06,54
2024-11-07,62
2024-11-08,48
2024-11-09,2
2024-11-10,1
2024-11-11,45
2024-11-12,69
2024-11-13,68
2024-11-14,64
2024-11-15,52
2024-11-16,1
2024-11-17,2
2024-11-18,68
2024-11-19,68
2024-11-20,60
2024-11-21,55
2024-11-22,39
2024-11-23,1
2024-11-24,1
2024-11-25,24
2024-11-26,18
2024-11-27,3
2024-11-28,1
2024-11-29,0
2024-11-30,0
2024-12-01,0
2024-12-02,69
2024-12-03,67
2024-12-04,62
2024-12-05,55
2024-12-06,43
2024-12-07,1
2024-12-08,2
2024-12-09,53
2024-12-10,52
2024-12-11,46
2024-12-12,48
2024-12-13,34
2024-12-14,1
2024-12-15,1
2024-12-16,43
2024-12-17,36
2024-12-18,28
2024-12-19,21
2024-12-20,10
2024-12-21,1
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-25,0
2024-12-26,0
2024-12-27,0
2024-12-28,0
2024-12-29,0
2024-12-30,1
2024-12-31,0
2025-01-01,0
2025-01-02,11
2025-01-03,10
2025-01-04,1
2025-01-05,1
2025-01-06,31
2025-01-07,52
2025-01-08,61
2025-01-09,60
2025-01-10,39
2025-01-11,2
2025-01-12,2
2025-01-13,70
2025-01-14,71
2025-01-15,61
2025-01-16,60
2025-01-17,45
2025-01-18,1
2025-01-19,0
2025-01-20,4
2025-01-21,39
2025-01-22,44
2025-01-23,51
2025-01-24,45
2025-01-25,2
2025-01-26,1
2025-01-27,60
2025-01-28,63
2025-01-29,58
2025-01-30,58
2025-01-31,49
2025-02-01,2
2025-02-02,1
2025-02-03,55
2025-02-04,63
2025-02-05,55
2025-02-06,55
2025-02-07,42
2025-02-08,2
2025-02-09,1
2025-02-10,53
2025-02-11,55
2025-02-12,50
2025-02-13,45
2025-02-14,30
2025-02-15,2
2025-02-16,1
2025-02-17,12
2025-02-18,50
2025-02-19,43
2025-02-20,45
2025-02-21,41
2025-02-22,2
2025-02-23,2
2025-02-24,64
2025-02-25,60
2025-02-26,55
2025-02-27,54
2025-02-28,40
2025-03-01,1
2025-03-02,1
2025-03-03,51
2025-03-04,54
2025-03-05,45
2025-03-06,45
2025-03-07,35
2025-03-08,2
2025-03-09,1
2025-03-10,43
2025-03-11,42
2025-03-12,37
2025-03-13,38
2025-03-14,26
2025-03-15,1
2025-03-16,1
2025-03-17,43
2025-03-18,44
2025-03-19,43
2025-03-20,37
2025-03-21,27
2025-03-22,1
2025-03-23,1
2025-03-24,51
2025-03-25,52
2025-03-26,45
2025-03-27,43
2025-03-28,29
2025-03-29,1
2025-03-30,1
2025-03-31,41
2025-04-01,49
2025-04-02,44
2025-04-03,44
2025-04-04,29
2025-04-05,2
2025-04-06,2
2025-04-07,49
2025-04-08,41
2025-04-09,42
2025-04-10,38
2025-04-11,31
2025-04-12,2
2025-04-13,1
2025-04-14,40
2025-04-15,36
2025-04-16,31
2025-04-17,27
2025-04-18,8
2025-04-19,1
2025-04-20,0
2025-04-21,29
2025-04-22,42
2025-04-23,37
2025-04-24,33
2025-04-25,28
2025-04-26,1
2025-04-27,1
2025-04-28,43
2025-04-29,37
2025-04-30,34
2025-05-01,34
2025-05-02,25
2025-05-03,1
2025-05-04,2
2025-05-05,37
2025-05-06,32
2025-05-07,30
2025-05-08,27
2025-05-09,22
2025-05-10,1
2025-05-11,1
2025-05-12,31
2025-05-13,26
2025-05-14,25
